candidate_id,best_joint_epoch,final_epoch,final_minus_best_test,final_minus_best_strict,p95_min_epoch,final_minus_min_p95,min_inter_max_epoch,final_minus_max_min_inter,proxy_vaccept_final,source_overflow_first_active,source_overflow_final,source_overflow_delta
ADV2_FUSE5_R20_E260,250,260,0.16715686274510233,-1.2566666666666606,241,3.009088648431735,241,-0.35397907216878366,1.0,0.3512235997195832,0.29896424638702,-0.05225935333256321
ADV2_FUSE6_R17_E260,256,260,-1.662745098039224,-2.2650000000000006,258,3.38402704924723,225,-1.7390141841690934,1.0,0.4324733384124088,0.388853119734634,-0.043620218677774825
ADV2_R17_CORESTRICT_E260,242,260,-0.29803921568627345,-0.21333333333332405,248,4.694029801139358,245,-1.6421591595030094,1.0,0.4107575576613643,0.3776147688204705,-0.03314278884089378
ADV2_R17_PROXYHI_E260,246,260,-1.632843137254909,-4.11666666666666,254,3.9481583800573574,254,-3.4680533499146264,1.0,0.3979515719943604,0.3904946952188811,-0.007456876775479293
ADV2_R20_SAT70_E260,230,260,-1.2093137254902047,-2.780000000000001,252,2.844468112075006,252,-1.998300932262552,1.0,0.317900219338401,0.3016285311770128,-0.016271688161388187
ADV2_R20_VACMID_E260,258,260,-0.8308823529411882,-1.9783333333333388,247,3.1793595901291596,256,-0.32885217225006613,0.9980769230769232,0.323343809398894,0.2898808688338978,-0.03346294056499621
ADV2_R28_FUSE6_E260,260,260,0.0,0.0,260,0.0,246,-0.991158488053415,1.0,0.3930883515134487,0.3692473873346175,-0.023840964178831192
ADV2_R28_PROXYLOW_E260,256,260,-2.7534313725490307,-4.143333333333331,251,4.024578529525087,251,-2.604028404087586,1.0,0.3303529593681312,0.3034566748715095,-0.02689628449662168
ADV2_SOURCECAP32_R20_E260,250,260,0.3421568627450995,-0.5600000000000023,240,2.0414997771662087,247,-1.4219422493402192,0.9990384615384617,0.4902684885168782,0.4737926159721694,-0.016475872544708836
ADV2_SRCLOW_R17_E260,254,260,-1.1877450980392155,-2.5316666666666663,248,1.2883188977941558,249,-0.5198867839445427,0.9980769230769232,0.245088682934212,0.2107563105053217,-0.034332372428890284
ADV2_T13_CONSERVE_E260,230,260,-2.259313725490202,-3.231666666666655,225,0.023910653387154923,255,-1.386838176861417,0.9990384615384617,0.2569929139832786,0.2234322473894584,-0.033560666593820204
ADV2_T13_TAILGUARD_E260,252,260,-2.1598039215686384,-2.998333333333335,233,1.0649841113550451,253,-1.3816584240944394,0.9990384615384617,0.3222307041116643,0.3041323329070206,-0.01809837120464375
ADV2_TAILCV_R17_E260,246,260,-1.652941176470577,-2.9116666666666617,257,4.0763413283097165,235,-2.118086320550148,1.0,0.520210390975997,0.4652967062490504,-0.05491368472694658
ADV2_TAILCV_R20_E260,220,260,-0.34705882352940876,-0.1950000000000074,258,3.965195025983924,234,-1.8291218225738959,0.9990384615384617,0.4469673434065165,0.4212945752706872,-0.025672768135829305
