group_type,group,n,best_joint_test_tx_mean,final_overall_tx_mean,final_strict_udu_mean,final_receiver_floor_mean,final_sat_strict_floor_mean,final_p95_mean,final_p99_mean,final_min_inter_mean,final_proxy_auc_mean,final_proxy_vac_rate_mean,final_proxy_vaccept_mean,final_source_overflow_mean,prototype_radius_p95_mean_deg_mean,tx_domain_components_mean_mean
family,R,12,88.08435457516339,87.16221405228758,80.31194444444445,69.85,68.06652777777778,52.300934516138966,75.96170581339884,83.25126471292313,0.5683545042306949,0.34917141315169054,0.9995192307692307,0.357606708364606,5.8081118719275215,1.7777777777777775
family,T,2,87.6843137254902,85.47475490196078,78.735,64.4,66.43666666666667,51.560401969339964,74.72059339151718,83.66727553029651,0.5654506440346057,0.3462296486474,0.9990384615384617,0.2637822901482395,5.330245477332101,1.6666666666666667
base,R17,5,88.7506862745098,87.46382352941175,80.21700000000001,70.42833333333333,68.52133333333333,52.631488050857705,76.2183166947785,83.02084061438542,0.5671730691653032,0.36366089527423556,0.9996153846153846,0.36660312010567153,5.692216133529345,1.6666666666666665
base,R20,5,87.39029411764707,87.01470588235294,80.28566666666667,67.91,67.52833333333334,52.32828279760571,75.88731787813609,83.45114174399745,0.5690101338349856,0.3446999637782574,0.9992307692307693,0.35711216752815744,5.995472178432316,1.7666666666666664
base,R28,2,88.15367647058824,86.77696078431373,80.615,73.25416666666666,68.275,51.406179975675215,75.50614844810659,83.32763238158162,0.5696690178834475,0.32412633127891094,1.0,0.3363520311030635,5.629450451660972,2.0833333333333335
base,T13,2,87.6843137254902,85.47475490196078,78.735,64.4,66.43666666666667,51.560401969339964,74.72059339151718,83.66727553029651,0.5654506440346057,0.3462296486474,0.9990384615384617,0.2637822901482395,5.330245477332101,1.6666666666666667
mechanism_tag,CONSERVE,1,87.76470588235294,85.50539215686274,79.19666666666667,66.925,66.76666666666667,50.763089477653246,74.6628428285868,83.77845065076659,0.5669660893770364,0.3210203561645288,0.9990384615384617,0.2234322473894584,5.2948902837539995,1.6666666666666667
mechanism_tag,CORESTRICT,1,88.36715686274509,88.06911764705882,81.555,69.06666666666666,66.68166666666667,53.156252314920486,75.98321443811797,83.30161496947999,0.5743999105233413,0.3454258866035021,1.0,0.3776147688204705,5.29263973642248,1.5
mechanism_tag,FUSE5,1,88.69509803921568,88.86225490196078,82.485,71.34166666666667,67.81333333333333,51.71606909968327,74.42869511713272,84.32292580048362,0.570448139997629,0.3049878549117308,1.0,0.29896424638702,5.738312994860397,2.1666666666666665
mechanism_tag,FUSE6,2,88.05416666666667,87.22279411764706,81.47166666666666,71.28333333333333,70.59083333333334,51.01579867476606,75.8655506379364,83.42447231415666,0.5681097748187872,0.3518582231150223,1.0,0.37905025353462574,5.551212769152592,2.75
mechanism_tag,PROXYHI,1,87.02549019607844,85.39264705882353,76.30666666666667,67.70833333333333,66.64166666666667,53.01068432855391,75.88438927165572,81.22071981705933,0.570984297990799,0.3922552516827216,1.0,0.3904946952188811,6.8593779834308,1.3333333333333333
mechanism_tag,PROXYLOW,1,89.32205882352942,86.56862745098039,79.47333333333333,75.18333333333334,65.21833333333333,53.242090874934334,75.84636660680472,82.54570629644311,0.5637512991061577,0.3272349405747193,1.0,0.3034566748715095,5.445858808752437,1.3333333333333333
mechanism_tag,SAT70,1,86.82205882352942,85.61274509803921,78.19,63.80833333333333,64.78,52.07851692340392,76.08834145234798,82.83598873195965,0.5655803850063911,0.3434113005032906,1.0,0.3016285311770128,5.248967933756242,1.5
mechanism_tag,SOURCECAP32,1,86.15686274509804,86.49901960784314,80.12,69.05,67.15666666666667,51.32670533934069,72.62360710151069,83.27138807238791,0.5670744955539704,0.3233625667599531,0.9990384615384617,0.4737926159721694,6.916189362512851,1.8333333333333333
mechanism_tag,SRCLOW,1,89.99852941176471,88.81078431372549,82.75333333333333,74.63333333333334,69.46666666666667,52.5450764800044,77.37541930476992,84.45796326388745,0.5629816110317524,0.327873838520967,0.9980769230769232,0.2107563105053217,5.655206668134267,1.3333333333333333
mechanism_tag,TAILCV,2,88.29338235294117,87.29338235294118,79.85499999999999,69.55416666666666,68.66916666666667,53.286060480415884,77.0025269922001,82.77759954634186,0.5671239302708553,0.38458250508858605,0.9995192307692309,0.4432956407598688,5.695838609733027,1.6666666666666665
mechanism_tag,TAILGUARD,1,87.60392156862746,85.44411764705882,78.27333333333333,61.875,66.10666666666667,52.357714461026674,74.77834395444755,83.55610040982641,0.563935198692175,0.3714389411302713,0.9990384615384617,0.3041323329070206,5.365600670910203,1.6666666666666667
mechanism_tag,VACMID,1,87.92990196078432,87.09901960784313,80.20666666666666,65.73333333333333,70.52,51.932100522462605,77.57428120817332,84.65472588237954,0.5745665013790131,0.3526238618561855,0.9980769230769232,0.2898808688338978,6.04668621748954,1.5
is_fuse_label,fuse_label,3,88.26781045751635,87.76928104575164,81.80944444444445,71.30277777777776,69.665,51.249222149738465,75.3865987976685,83.72395680959899,0.5688892298784012,0.33623476704725846,1.0,0.3523549178187572,5.613579511055193,2.5555555555555554
is_fuse_label,not_fuse_label,11,87.96158645276293,86.68983957219251,79.61681818181818,68.4628787878788,67.33424242424243,52.45312288028474,75.8928963773468,83.19798701698852,0.5676806953820314,0.35216472308848285,0.9993006993006993,0.34198002974686176,5.774281353148079,1.5454545454545454
is_tail_label,not_tail_label,11,88.01729055258467,86.98774509803921,80.29363636363638,69.63787878787878,67.83878787878788,51.982016610044454,75.6543871459066,83.38531164665095,0.5684520254185149,0.3401738458006949,0.9994755244755243,0.3298292242040903,5.781868684310745,1.7878787878787876
is_tail_label,tail_label,3,88.06356209150327,86.67696078431372,79.32777777777778,66.99444444444445,67.815,52.97661180728614,76.26113264628258,83.03709983417004,0.5660610197446284,0.3802013171024812,0.9993589743589745,0.39690787147558604,5.585759296792085,1.6666666666666667
