row,target_clean,target_leo_mean,target_class_0,target_class_1,target_class_2,target_class_3,target_class_4,target_class_5,leo_delta_vs_x0_pp,leo_delta_vs_x2_pp
X0_A1_RUNTIME,78.46964285714286,68.12460317460318,73.31428571428573,35.06071428571428,61.089285714285715,58.44880952380952,95.95,84.88452380952381,0.0,-0.08273809523809916
X1_CROSS_RX_CLEAN,79.1327380952381,68.51666666666667,74.16547619047618,35.452380952380956,62.20952380952381,58.26190476190476,96.14285714285715,84.86785714285715,0.39206349206348534,0.3093253968253862
X2_CROSS_RX_VIEWS,78.42023809523809,68.20734126984128,75.37261904761904,34.319047619047616,59.93809523809524,58.679761904761904,95.39999999999999,85.5345238095238,0.08273809523809916,0.0
X3_WARM_EMA,78.73392857142856,68.36924603174604,73.98214285714285,34.64761904761905,63.544047619047625,58.964285714285715,95.71785714285716,83.35952380952381,0.24464285714286405,0.16190476190476488
X4_COVERAGE_KL,78.4297619047619,67.85396825396826,72.30119047619047,34.43452380952381,60.81428571428572,59.07976190476191,96.21428571428571,84.27976190476191,-0.2706349206349188,-0.35337301587301795
X5_BALANCED_L,78.25,64.51527777777777,64.52142857142856,30.664285714285715,53.201190476190476,61.4345238095238,91.9940476190476,85.27619047619048,-3.6093253968254118,-3.692063492063511
X6_BOUNDED_DOMAIN,78.73154761904762,67.09563492063492,72.25595238095238,33.12738095238095,60.280952380952385,59.964285714285715,93.53928571428571,83.40595238095239,-1.0289682539682588,-1.111706349206358
X7_COMBINED,75.99761904761905,64.0986111111111,63.48333333333333,28.998809523809523,53.56428571428572,60.27142857142857,91.61904761904763,86.65476190476191,-4.025992063492083,-4.108730158730182
