row,epoch,lr,stage_source_val_sat_floor_tx,stage_source_val_sat_mean_tx,train_ecrs_cross_rx_clean_count,train_ecrs_cross_rx_configured,train_ecrs_cross_rx_executed,train_ecrs_cross_rx_identity_grad_norm,train_ecrs_cross_rx_leo_count,train_ecrs_cross_rx_raw_loss,train_ecrs_cross_rx_successful_steps,train_ecrs_cross_rx_valid_anchors,train_ecrs_cross_rx_weighted_loss,train_grad_backbone,train_loss,train_loss_tx_labeled,train_sat_anchor_anchor_grad_norm,train_sat_anchor_pair_grad_norm,train_sat_anchor_satellite_grad_norm,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,train_w_loss_tx_labeled,val_tx_acc
X2_E400,1,4e-05,31.385185185185186,31.94320987654321,128.0,1.0,1.0,0.0004777751164510846,0.0,0.20140206377516995,110.5,127.94144144144144,0.010070103375862042,4.998712065645396,17.65329060253796,12.420567607020473,0.0,1.393767275617587,0.0,0.0045045045045045045,0.0,12.420567607020473,39.34074074074074
X2_E400,2,4e-05,35.97037037037037,36.49135802469136,128.0,1.0,1.0,0.00036895545781590044,0.0,0.19522700942045934,332.5,127.88738738738739,0.009761350661482628,4.996559530272431,16.544198190843737,11.682038659448022,0.0,0.7807466914438758,0.0,0.0,0.0,11.682038659448022,56.644444444444446
X2_E400,3,8e-05,35.74814814814815,36.17160493827161,128.0,1.0,1.0,0.0006046667112968862,0.0,0.12355848687054875,553.7792792792793,127.89189189189189,0.0061779244549085835,4.99576708907015,13.25786423897958,9.006940401352203,0.0,0.2839855048457354,0.0,0.009009009009009009,0.0,9.006940401352203,81.52962962962962
X2_E400,4,8e-05,35.54074074074074,36.102469135802465,128.0,1.0,1.0,0.0011775789316743612,0.0,0.07831775554799819,773.8333333333334,127.93693693693693,0.003915887845151529,4.996315624877238,10.409866397445267,6.621123113073744,0.0,0.046057816934574614,0.0,0.0045045045045045045,0.0,6.621123113073744,86.17407407407407
X2_E400,5,0.00012,35.2037037037037,35.6395061728395,128.0,1.0,1.0,0.0014843769604340196,0.0,0.0627855073140414,995.5,127.89189189189189,0.0031392754150999223,4.996673206169874,8.451243838748416,4.984328983066319,0.0,0.05380026449530441,0.0,0.0,0.0,4.984328983066319,89.9888888888889
X2_E400,6,0.00012,35.077777777777776,35.598765432098766,128.0,1.0,1.0,0.0016395511338487267,0.0,0.04796997689314791,1217.5,127.9054054054054,0.0023984988951564743,4.994784958470941,6.801133024799931,3.6805070611807675,0.0,0.06881209895933572,0.0,0.0,0.0,3.6805070611807675,92.28888888888889
X2_E400,7,0.00016,34.370370370370374,35.04197530864197,128.0,1.0,1.0,0.0021813646890223026,0.0,0.040689107731219615,1439.5,127.90990990990991,0.0020344554257069438,4.994973742877213,5.967653894209647,3.0898226204219164,0.0,0.03512048805854906,0.0,0.0,0.0,3.0898226204219164,94.33333333333333
X2_E400,8,0.00016,35.08148148148148,35.79259259259259,128.0,1.0,1.0,0.001832040143199265,0.0,0.03916068167450863,1661.5,127.96396396396396,0.0019580341213768734,4.994350536602444,5.712390560287613,2.970862689050468,0.0,0.03416235544939284,0.0,0.0,0.0,2.970862689050468,94.81851851851852
X2_E400,9,0.0002,36.78888888888889,37.455555555555556,128.0,1.0,1.0,0.0012593369465321302,0.0,0.03444427198117918,1883.5,127.88738738738739,0.0017222136346652667,4.993364417295009,5.135065316079973,2.5559979806075224,0.0,0.05897213725329856,0.0,0.0,0.0,2.5559979806075224,94.95925925925926
X2_E400,10,0.0002,36.30740740740741,36.946913580246914,128.0,1.0,1.0,0.0014476662036031485,0.0,0.03389400668727519,2105.5,127.98198198198199,0.0016947003769182793,4.991430780762688,4.821916064700565,2.358887113160915,0.0,0.05208261602349342,0.0,0.0,0.0,2.358887113160915,95.74444444444444
X2_E400,11,0.0002,38.68518518518518,39.45432098765432,128.0,1.0,1.0,0.001679865294136107,0.0,0.030115568530032628,2327.5,127.92792792792793,0.001505778456785347,4.991714967089832,4.39096868252969,2.072098140109767,0.0,0.06437699661552214,0.0,0.0,0.0,2.072098140109767,96.01851851851852
X2_E400,12,0.0002,41.14074074074074,42.13333333333333,128.0,1.0,1.0,0.0020409701392054558,0.0,0.033406397402244575,2549.5,127.95495495495496,0.0016703199074621447,4.988685445469429,4.6032485875997455,2.2455881396392443,0.0,0.1205031768401603,0.0,0.0,0.0,2.2455881396392443,96.45925925925926
X2_E400,13,0.0001999812735370286,40.48148148148148,41.27407407407407,128.0,1.0,1.0,0.0014527719467878342,0.0,0.030385021959339176,2771.09009009009,127.96846846846847,0.001519251118896808,4.991105836314506,4.311665963482213,2.0499222118843785,0.0,0.09050782914782275,0.0,0.0045045045045045045,0.0,2.0499222118843785,96.46666666666667
X2_E400,14,0.0001999812735370286,43.114814814814814,44.14074074074074,128.0,1.0,1.0,0.0015680042561143637,0.0,0.032915281873880174,2992.5,127.94144144144144,0.0016457641175473508,4.991314100251124,4.401638579261196,2.1515686959028244,0.0,0.050670825485465774,0.0,0.0,0.0,2.1515686959028244,95.87407407407407
X2_E400,15,0.00019992510194101246,45.022222222222226,46.04197530864198,128.0,1.0,1.0,0.001691208453848958,0.0,0.034420388193170726,3214.5,127.86036036036036,0.001721019439722662,4.990183927930388,4.422984394404265,2.171392785402032,0.0,0.12510082341852144,0.0,0.0,0.0,2.171392785402032,97.08888888888889
X2_E400,16,0.00019992510194101246,45.56666666666667,46.65432098765432,128.0,1.0,1.0,0.0017982546705752611,0.0,0.03219011385593697,3436.5,127.88738738738739,0.001609505721520494,4.987142649659534,4.182974259058635,1.9871105967878222,0.0,0.09628368448425238,0.0,0.0,0.0,1.9871105967878222,97.16296296296296
X2_E400,17,0.00019983150858740302,45.196296296296296,45.8320987654321,128.0,1.0,1.0,0.0010674429358914495,0.0,0.029631050566037244,3658.5,127.85585585585585,0.0014815525490383414,4.987469899544169,3.995251188407073,1.8410678873727988,0.0,0.06611646273677774,0.0,0.0,0.0,1.8410678873727988,97.17777777777778
X2_E400,18,0.00019983150858740302,45.337037037037035,46.36172839506173,128.0,1.0,1.0,0.0019318663980811834,0.0,0.02806576494618344,3880.5,127.92792792792793,0.0014032882730110007,4.987431192884464,3.824329694112142,1.7273094083543297,0.0,0.06407426210887486,0.0,0.0,0.0,1.7273094083543297,97.24444444444444
X2_E400,19,0.0001997005324244774,45.25185185185185,46.70246913580247,128.0,1.0,1.0,0.0007037690375000238,0.0,0.030131789343326713,4102.130630630631,127.93243243243244,0.0015065894908177044,4.987490624390555,4.055681482628659,1.9193941612501402,0.0,0.030912097913400296,0.0,0.0045045045045045045,0.0,1.9193941612501402,96.73703703703704
X2_E400,20,0.0001997005324244774,45.955555555555556,47.10123456790124,128.0,1.0,1.0,0.0010471780551597476,0.0,0.03152357612978793,4323.5,127.92792792792793,0.001576178840493027,4.987733619447906,4.056850441404291,1.9347221808390573,0.0,0.197463044066995,0.0,0.0,0.0,1.9347221808390573,97.15555555555555
X2_E400,21,0.00019953222795713037,47.714814814814815,48.52098765432098,128.0,1.0,1.0,0.0014595636166632175,0.0,0.03608107159904263,4545.5,127.90990990990991,0.0018040536129561374,4.9878321847499185,4.389721681942811,2.2054362964925467,0.0,0.10629533149353501,0.0,0.0,0.0,2.2054362964925467,97.02222222222223
X2_E400,22,0.00019953222795713037,49.24814814814815,50.739506172839505,128.0,1.0,1.0,0.0013237061211839318,0.0,0.03326846122309599,4767.5,127.92792792792793,0.0016634230838741412,4.984716653986898,4.1444312393128335,2.0105461294989326,0.0,0.10428693517356669,0.0,0.0,0.0,2.0105461294989326,97.23333333333333
X2_E400,23,0.0001993266652241925,48.837037037037035,49.824691358024694,128.0,1.0,1.0,0.0015193994622677565,0.0,0.03396150576913528,4989.5,127.92342342342343,0.001698075317595827,4.988302668197254,4.170730942004436,2.0523593032749385,0.0,0.059603154512312434,0.0,0.0,0.0,2.0523593032749385,97.02592592592593
X2_E400,24,0.0001993266652241925,49.12222222222222,50.18888888888889,128.0,1.0,1.0,0.0013898542383685708,0.0,0.03928725893330248,5211.5,127.95495495495496,0.001964362987150748,4.986270156275044,4.462339703564171,2.2903948999471493,0.0,0.13546201969587446,0.0,0.0,0.0,2.2903948999471493,96.49259259259259
X2_E400,25,0.00019908392976928396,51.2,52.282716049382714,128.0,1.0,1.0,0.0014814329333603382,0.0,0.03895805228311728,5433.5,127.84684684684684,0.0019479026437562294,4.985587881432299,4.560788081035958,2.363050282739841,0.0,0.16267783921417764,0.0,0.0,0.0,2.363050282739841,97.82592592592593
X2_E400,26,0.00019908392976928396,51.45925925925926,52.80493827160493,128.0,1.0,1.0,0.0016874098218977451,0.0,0.03926850977488259,5655.5,127.9054054054054,0.001963425516621371,4.986118981088386,4.409471974179551,2.2538278404254095,0.0,0.05710895474402799,0.0,0.0,0.0,2.2538278404254095,97.81851851851852
X2_E400,27,0.000198804122605216,52.54814814814815,54.17407407407408,128.0,1.0,1.0,0.000507730117533356,0.0,0.039656274512028404,5876.783783783784,127.88738738738739,0.0019828137566438673,4.9873356964572,4.470256318380167,2.3074957230338105,0.0,0.02765205416575174,0.0,0.0045045045045045045,0.0,2.3074957230338105,97.87777777777778
X2_E400,28,0.000198804122605216,50.544444444444444,51.74074074074074,128.0,1.0,1.0,0.0004634228243958205,0.0,0.03712828107844059,6098.171171171171,127.95045045045045,0.001856414087575792,4.9816516065685725,4.35591225205241,2.1921013098982005,0.0,0.09612198248969474,0.0,0.0045045045045045045,0.0,2.1921013098982005,98.04814814814814
X2_E400,29,0.00019848736017195526,51.47037037037037,52.62839506172839,128.0,1.0,1.0,0.0005443585687316954,0.0,0.03990994041606911,6319.5,127.91891891891892,0.0019954970594514496,4.975919497598357,4.531174557703036,2.342465453386844,0.0,0.023711164675450952,0.0,0.0,0.0,2.342465453386844,97.83333333333333
X2_E400,30,0.00019848736017195526,51.85925925925926,52.80617283950617,128.0,1.0,1.0,0.00033421124680899084,0.0,0.037531900930499996,6541.5,127.94594594594595,0.001876595073160264,4.982604787137604,4.42804255678847,2.2739506700151675,0.0,0.044447100892760064,0.0,0.0,0.0,2.2739506700151675,97.9888888888889
X2_E400,31,0.00019813377428816792,54.48148148148148,55.64074074074074,128.0,1.0,1.0,0.0011529558105394244,0.0,0.03578312218192255,6763.5,127.95045045045045,0.0017891561418199107,4.983426061681999,4.176310371708226,2.069375751321917,0.0,0.03956105356623287,0.0,0.0,0.0,2.069375751321917,98.25925925925925
X2_E400,32,0.00019813377428816792,54.77037037037037,56.38148148148148,128.0,1.0,1.0,0.00217015715315938,0.0,0.04058167945941596,6985.5,127.87837837837837,0.002029084003308694,4.985657752575356,4.579962743295206,2.4187017293260977,0.0,0.05595898599573317,0.0,0.0,0.0,2.4187017293260977,97.57777777777778
X2_E400,33,0.00019774351209636413,54.17407407407408,55.444444444444436,128.0,1.0,1.0,0.0006518843001686037,0.0,0.03677968810543953,7207.5,127.88288288288288,0.0018389844298881215,4.9830242457540965,4.430241263664521,2.178005711284575,0.0,0.04286164316505986,0.0,0.0,0.0,2.178005711284575,98.08518518518518
X2_E400,34,0.00019774351209636413,55.56666666666667,56.779012345679014,128.0,1.0,1.0,0.0007505685789510608,0.0,0.03896590420199655,7429.5,127.95945945945945,0.0019482952395985915,4.984043710806453,4.5219085264850305,2.2599730843359285,0.0,0.04676462216025622,0.0,0.0,0.0,2.2599730843359285,98.17407407407407
X2_E400,35,0.00019731673600166582,55.455555555555556,56.61604938271605,128.0,1.0,1.0,0.0011788104893639684,0.0,0.049187456778527774,7651.445945945946,127.92792792792793,0.0024593728796752337,4.983266617587359,5.26786715490324,2.846432071816814,0.0,0.08691491468937457,0.0,0.0045045045045045045,0.0,2.846432071816814,97.9962962962963
X2_E400,36,0.00019731673600166582,56.885185185185186,58.00987654320988,128.0,1.0,1.0,0.006892439443618059,0.0,0.045862478127731324,7872.5,127.92792792792793,0.002293123940884837,4.980437875817859,4.9819246541272415,2.6156372184286245,0.0,0.07152085747078435,0.0,0.0,0.0,2.6156372184286245,98.32962962962964
