run_id,adapter,reject_policy,adapter_kind,source_pair_count,val_pair_mse_before,val_pair_mse_after,val_pair_cos_before,val_pair_cos_after,val_proto_acc_before,val_proto_acc_after,train_pair_mse_before,train_pair_mse_after,phase,head_type,metric,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,known_query_count,unknown_query_count
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_LIN_MIN05,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.09968847036361694,False,0.6038235294117648,0.16117647058823528,44.26470588235295,False,False,0.22823529411764706,0.7061855670103093,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_LIN_SRC9999,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9688473343849182,False,0.6038235294117648,0.6026470588235294,0.11764705882353343,True,False,0.9976470588235294,0.6040683962264151,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_MLP64_MIN05,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.180685356259346,False,0.6038235294117648,0.20529411764705882,39.852941176470594,False,False,0.3044117647058823,0.6743961352657005,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_MLP64_SRC9999,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.8909657597541809,False,0.6038235294117648,0.5782352941176471,2.558823529411769,False,False,0.956764705882353,0.6043652013525976,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_PROTO_COS_MIN05,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.031152648851275444,True,0.6038235294117648,0.07970588235294118,52.411764705882355,False,False,0.10617647058823529,0.7506925207756233,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_PROTO_COS_SRC9999,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_source_prototype_reject,,cosine,source_accept,1.0,False,0.6038235294117648,0.6035294117647059,0.02941176470588891,True,False,0.9982352941176471,0.6045963464938127,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_AFFINE,ADAPT_PROTO_MAH_MIN05,affine,27,0.15435630083084106,0.11720133572816849,0.9063748121261597,0.7239438891410828,0.8333333730697632,0.5,0.10098468512296677,0.062588170170784,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.04361370578408241,True,0.6038235294117648,0.0838235294117647,52.0,False,False,0.11147058823529411,0.7519788918205804,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_IDENTITY,ADAPT_LIN_MIN05,identity,27,0.15435630083084106,0.15435630083084106,0.9063748121261597,0.9063748121261597,0.8333333730697632,0.8333333730697632,0.10098468512296677,0.10098468512296677,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.12772585451602936,False,0.6223529411764706,0.17411764705882352,44.82352941176471,False,False,0.25323529411764706,0.6875725900116144,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_IDENTITY,ADAPT_LIN_SRC9999,identity,27,0.15435630083084106,0.15435630083084106,0.9063748121261597,0.9063748121261597,0.8333333730697632,0.8333333730697632,0.10098468512296677,0.10098468512296677,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9688473343849182,False,0.6223529411764706,0.6214705882352941,0.08823529411764452,True,False,0.9982352941176471,0.6225692398350029,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT_IDENTITY,ADAPT_MLP64_MIN05,identity,27,0.15435630083084106,0.15435630083084106,0.9063748121261597,0.9063748121261597,0.8333333730697632,0.8333333730697632,0.10098468512296677,0.10098468512296677,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.17133955657482147,False,0.6223529411764706,0.21235294117647058,41.0,False,False,0.31823529411764706,0.66728280961183,3400,321
