run_id,adapter,reject_policy,adapter_kind,source_pair_count,val_pair_mse_before,val_pair_mse_after,val_pair_cos_before,val_pair_cos_after,val_proto_acc_before,val_proto_acc_after,phase,head_type,metric,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,known_query_count,unknown_query_count
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_LIN_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.13084112107753754,False,0.6223529411764706,0.17,45.23529411764705,False,False,0.24911764705882353,0.6824085005903188,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_LIN_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9657320976257324,False,0.6223529411764706,0.6214705882352941,0.08823529411764452,True,False,0.9982352941176471,0.6225692398350029,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_MLP64_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.14953270554542542,False,0.6223529411764706,0.2114705882352941,41.088235294117645,False,False,0.3079411764705882,0.6867239732569246,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_MLP64_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.8660436272621155,False,0.6223529411764706,0.5947058823529412,2.764705882352936,False,False,0.9544117647058824,0.6231124807395994,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_COS_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.037383176386356354,True,0.6223529411764706,0.07882352941176471,54.35294117647058,False,False,0.10205882352941177,0.7723342939481268,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_COS_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,0.9719626307487488,False,0.6223529411764706,0.6214705882352941,0.08823529411764452,True,False,0.995,0.6245935560153709,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_MAH_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.037383176386356354,True,0.6223529411764706,0.0826470588235294,53.970588235294116,False,False,0.09823529411764706,0.8413173652694611,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_LIN_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.11214952915906906,False,0.5858823529411765,0.1538235294117647,43.20588235294118,False,False,0.24911764705882353,0.6174734356552538,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_LIN_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9657320976257324,False,0.5858823529411765,0.5844117647058824,0.14705882352941124,True,False,0.9973529411764706,0.5859628428192274,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_MLP64_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.16199377179145813,False,0.5858823529411765,0.19558823529411765,39.02941176470589,False,False,0.31823529411764706,0.6146025878003697,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_MLP64_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.8504672646522522,False,0.5858823529411765,0.5629411764705883,2.2941176470588243,False,False,0.96,0.5863970588235294,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_PROTO_COS_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.04984423518180847,True,0.5858823529411765,0.08,50.58823529411766,False,False,0.11558823529411764,0.6921119592875318,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_PROTO_COS_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,0.9688473343849182,False,0.5858823529411765,0.5855882352941176,0.02941176470588891,True,False,0.995,0.5885308897428319,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_PROTO_MAH_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.06542056053876877,False,0.5858823529411765,0.07882352941176471,50.70588235294118,False,False,0.10411764705882352,0.7570621468926554,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_LIN_MIN05,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.12461059540510178,False,0.5591176470588235,0.15970588235294117,39.94117647058823,False,False,0.23676470588235293,0.6745341614906832,3400,321
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_LIN_SRC9999,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9563862681388855,False,0.5591176470588235,0.5576470588235294,0.14705882352941124,True,False,0.9964705882352941,0.5596221959858324,3400,321
