candidate_id,gpu,arm,k_old,seed,target_old_query_per_tx,raw_old_acc_pct,deployed_old_acc_pct,baseline_old_acc_pct,raw_full_acc_pct,deployed_full_acc_pct,coverage_pct,unknown_far_pct,unknown_reject_pct,old_reject_pct,old_to_seen_new_pct,auroc_pct,fpr95_pct,rollback_triggered,rollback_accepted,loss_initial,loss_final,old80_support_cv_acc_pct
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_A_MSE_SUBSPACE_KOLD2_KNEW0,0,A,2,231810,,68.33333373069763,68.33333373069763,25.833332538604736,51.249998807907104,51.249998807907104,100.0,100.0,0.0,0.0,0.0,65.38020833333333,71.66666666666667,False,True,6.88308048248291,0.738060712814331,75.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_B_MSE_SUBSPACE_KOLD3_KNEW0,0,B,3,231990,,57.91666507720947,57.91666507720947,28.749999403953552,43.437498807907104,43.437498807907104,100.0,100.0,0.0,0.0,0.0,64.25,80.83333333333333,False,True,5.051578521728516,0.8460318446159363,100.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_C_MSE_SUBSPACE_KOLD5_KNEW0,0,C,5,232170,,65.41666388511658,65.41666388511658,23.333333432674408,49.06249940395355,49.06249940395355,100.0,100.0,0.0,0.0,0.0,67.296875,74.58333333333333,False,True,5.736117839813232,1.0088142156600952,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_D_MSE_SUBSPACE_KOLD10_KNEW0,0,D,10,232350,,68.33333373069763,68.33333373069763,32.083332538604736,51.249998807907104,51.249998807907104,100.0,100.0,0.0,0.0,0.0,65.82291666666666,82.08333333333333,False,True,3.202597141265869,0.7118251919746399,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_E_MSE_SUBSPACE_KOLD5_KNEW0,0,E,5,232530,,66.25000238418579,66.25000238418579,32.083332538604736,49.687498807907104,49.687498807907104,100.0,100.0,0.0,0.0,0.0,62.109375,85.41666666666666,False,True,4.907742023468018,0.8312014937400818,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_F_MSE_SUBSPACE_KOLD10_KNEW0,0,F,10,232710,,69.9999988079071,69.9999988079071,30.000001192092896,52.49999761581421,52.49999761581421,100.0,100.0,0.0,0.0,0.0,68.53125,77.91666666666667,False,True,5.859872817993164,1.0920429229736328,86.66666746139526
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_A_MSE_SUBSPACE_KOLD2_KNEW0,1,A,2,231820,,66.66666865348816,66.66666865348816,17.916665971279144,50.0,50.0,100.0,100.0,0.0,0.0,0.0,60.005208333333336,97.5,False,True,5.748190402984619,1.182412028312683,66.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_B_MSE_SUBSPACE_KOLD3_KNEW0,1,B,3,232000,,57.083332538604736,57.083332538604736,16.249999403953552,42.81249940395355,42.81249940395355,100.0,100.0,0.0,0.0,0.0,62.16145833333333,82.91666666666667,False,True,4.585970401763916,0.6003595590591431,94.44444179534912
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_C_MSE_SUBSPACE_KOLD5_KNEW0,1,C,5,232180,,57.499998807907104,57.499998807907104,30.416667461395264,43.12500059604645,43.12500059604645,100.0,100.0,0.0,0.0,0.0,56.666666666666664,92.08333333333333,False,True,4.180442810058594,0.7217718362808228,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_D_MSE_SUBSPACE_KOLD10_KNEW0,1,D,10,232360,,69.58333253860474,69.58333253860474,34.583333134651184,52.18750238418579,52.18750238418579,100.0,100.0,0.0,0.0,0.0,62.411458333333336,94.16666666666667,False,True,4.415534496307373,0.8221234679222107,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_E_MSE_SUBSPACE_KOLD5_KNEW0,1,E,5,232540,,71.24999761581421,71.24999761581421,27.916666865348816,53.437501192092896,53.437501192092896,100.0,100.0,0.0,0.0,0.0,57.630208333333336,83.75,False,True,3.8256335258483887,0.7229544520378113,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_F_MSE_SUBSPACE_KOLD10_KNEW0,1,F,10,232720,,69.58333253860474,69.58333253860474,27.916666865348816,52.18750238418579,52.18750238418579,100.0,100.0,0.0,0.0,0.0,68.38541666666667,76.25,False,True,4.987785339355469,1.2059803009033203,78.33333611488342
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_A_MSE_SUBSPACE_KOLD2_KNEW0,2,A,2,231830,,64.58333134651184,64.58333134651184,34.583333134651184,48.4375,48.4375,100.0,100.0,0.0,0.0,0.0,57.39062499999999,82.08333333333333,False,True,4.54130220413208,0.456999808549881,100.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_B_MSE_SUBSPACE_KOLD3_KNEW0,2,B,3,232010,,58.33333134651184,58.33333134651184,25.0,43.75,43.75,100.0,100.0,0.0,0.0,0.0,62.411458333333336,71.66666666666667,False,True,5.638918399810791,0.8384624123573303,94.44444179534912
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_C_MSE_SUBSPACE_KOLD5_KNEW0,2,C,5,232190,,65.83333611488342,65.83333611488342,20.416666567325592,49.37500059604645,49.37500059604645,100.0,100.0,0.0,0.0,0.0,65.32291666666666,96.25,False,True,5.204780578613281,1.099732756614685,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_D_MSE_SUBSPACE_KOLD10_KNEW0,2,D,10,232370,,64.58333134651184,64.58333134651184,28.749999403953552,48.4375,48.4375,100.0,100.0,0.0,0.0,0.0,62.09895833333333,87.91666666666667,False,True,6.15083122253418,0.9277265071868896,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_E_MSE_SUBSPACE_KOLD5_KNEW0,2,E,5,232550,,65.83333611488342,65.83333611488342,27.500000596046448,49.37500059604645,49.37500059604645,100.0,100.0,0.0,0.0,0.0,68.63020833333333,82.5,False,True,5.293458938598633,0.8894578218460083,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_F_MSE_SUBSPACE_KOLD10_KNEW0,2,F,10,232730,,77.49999761581421,77.49999761581421,32.499998807907104,58.125001192092896,58.125001192092896,100.0,100.0,0.0,0.0,0.0,71.203125,75.83333333333333,False,True,4.4736127853393555,0.9357176423072815,80.0000011920929
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_A_MSE_SUBSPACE_KOLD2_KNEW0,3,A,2,231840,,60.83333492279053,60.83333492279053,36.250001192092896,45.625001192092896,45.625001192092896,100.0,100.0,0.0,0.0,0.0,68.140625,79.16666666666666,False,True,7.035018444061279,1.3037863969802856,83.33333134651184
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_B_MSE_SUBSPACE_KOLD3_KNEW0,3,B,3,232020,,64.58333134651184,64.58333134651184,32.499998807907104,48.4375,48.4375,100.0,100.0,0.0,0.0,0.0,68.59375,82.5,False,True,6.625213623046875,1.3263871669769287,88.88888955116272
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_C_MSE_SUBSPACE_KOLD5_KNEW0,3,C,5,232200,,64.99999761581421,64.99999761581421,23.333333432674408,48.750001192092896,48.750001192092896,100.0,100.0,0.0,0.0,0.0,70.921875,66.66666666666666,False,True,6.400719165802002,1.0836774110794067,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_D_MSE_SUBSPACE_KOLD10_KNEW0,3,D,10,232380,,73.7500011920929,73.7500011920929,30.416667461395264,55.31250238418579,55.31250238418579,100.0,100.0,0.0,0.0,0.0,52.192708333333336,96.25,False,True,4.219772815704346,0.9368807673454285,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_E_MSE_SUBSPACE_KOLD5_KNEW0,3,E,5,232560,,67.91666746139526,67.91666746139526,27.08333432674408,50.93749761581421,50.93749761581421,100.0,100.0,0.0,0.0,0.0,60.119791666666664,81.66666666666667,False,True,4.632565021514893,0.6656209826469421,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_F_MSE_SUBSPACE_KOLD10_KNEW0,3,F,10,232740,,65.41666388511658,65.41666388511658,37.91666626930237,49.06249940395355,49.06249940395355,100.0,100.0,0.0,0.0,0.0,66.63020833333333,95.0,False,True,2.9298057556152344,0.9938154220581055,80.0000011920929
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_A_MSE_SUBSPACE_KOLD2_KNEW0,4,A,2,231850,,70.41666507720947,70.41666507720947,34.583333134651184,52.812498807907104,52.812498807907104,100.0,100.0,0.0,0.0,0.0,60.60416666666667,72.08333333333333,False,True,5.129616737365723,0.6114481687545776,91.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_B_MSE_SUBSPACE_KOLD3_KNEW0,4,B,3,232030,,58.74999761581421,58.74999761581421,21.250000596046448,44.062501192092896,44.062501192092896,100.0,100.0,0.0,0.0,0.0,58.020833333333336,85.0,False,True,6.194808483123779,1.0878198146820068,72.22222089767456
