row,epoch,steps,L_unique,U_unique,records,accepted,L_exposures,U_exposures,daot_executed,rc4_executed,identity_active,hard_count_sum,hard_count_nonzero_steps,partial_count_sum,partial_count_nonzero_steps,negative_count_sum,negative_count_nonzero_steps,satellite_samples_sum,satellite_samples_nonzero_steps,actions,legacy_audits,legacy_recovery_worse,legacy_recovery_better,cstar_audits,cstar_valid,E80plus_satellite_selected,E80plus_satellite_by_scene,source_val_pct,hours,gaps,bad_actions,xu_cosine_mean,normalized_valid_blocks_nonzero_steps,legal_anchors_nonzero_steps
F-M00,178,39616,6300,56700,39616,39616,5070848,2747200,0,0,0,0,0,0,0,0,0,0,0,"{""NORMAL"": 39616}",0,0,0,0,0,2204131,"{""leo_rain_weak"": 765469, ""leo_low_elev_weak"": 766098, ""leo_clear_weak"": 672564}",98.45555555555555,,0,0,,,
F-A1,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,380407,13471,923119,10044,0,0,0,0,"{""NORMAL"": 44400}",0,0,0,0,0,2686483,"{""leo_rain_weak"": 926349, ""leo_low_elev_weak"": 926935, ""leo_clear_weak"": 833199}",98.55555555555556,13.799351299795477,0,0,,,
F-M14,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,81589,8429,3894801,33808,1552506,31307,81589,8429,"{""NORMAL"": 44400}",0,0,0,178,0,2686483,"{""leo_rain_weak"": 926349, ""leo_low_elev_weak"": 926935, ""leo_clear_weak"": 833199}",98.54074074074074,13.68485658460646,0,0,0.24420151180691188,44400,44400
F-M11,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,106588,9386,2560971,34385,907491,32723,106588,9386,"{""NORMAL"": 43333, ""HOLD_CURRICULUM"": 11, ""CORRECT"": 1056}",148,148,0,0,0,2749015,"{""leo_low_elev_weak"": 916323, ""leo_rain_weak"": 916267, ""leo_clear_weak"": 916425}",98.58888888888889,11.726926661115527,0,0,,,
F-M05,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,104282,10578,0,0,3674712,39960,104282,10578,"{""NORMAL"": 44400}",0,0,0,178,0,2686483,"{""leo_rain_weak"": 926349, ""leo_low_elev_weak"": 926935, ""leo_clear_weak"": 833199}",98.56296296296296,12.137487840246694,0,0,0.23443594740496743,44400,44400
F-M08,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,114208,9423,2973298,34486,1042017,30368,114208,9423,"{""NORMAL"": 43313, ""HOLD_CURRICULUM"": 11, ""CORRECT"": 1076}",149,149,0,0,0,2749015,"{""leo_low_elev_weak"": 916323, ""leo_rain_weak"": 916267, ""leo_clear_weak"": 916425}",98.57407407407408,12.291031614602673,0,0,0.22835480620463688,44400,44400
F-M07,177,39456,6300,56700,39456,39456,5050368,10077372,35016,39456,35016,74468,7827,0,0,2216694,34976,74468,7827,"{""NORMAL"": 38027, ""HOLD_CURRICULUM"": 11, ""CORRECT"": 1418}",151,151,0,0,0,2249391,"{""leo_low_elev_weak"": 749658, ""leo_rain_weak"": 749542, ""leo_clear_weak"": 750191}",98.58888888888889,,0,0,,39456,
F-M12,200,44400,6300,56700,44400,44400,5683200,11340000,39960,44400,39960,102293,11566,3623542,35520,745698,30361,102293,11566,"{""NORMAL"": 44400}",0,0,0,178,0,2686483,"{""leo_rain_weak"": 926349, ""leo_low_elev_weak"": 926935, ""leo_clear_weak"": 833199}",98.52222222222223,12.02320278331107,0,0,0.22886502693096797,44400,44400
F-M13,163,36365,6300,56700,36365,36365,4654720,9287924,31925,36365,31925,95998,8062,1691053,26813,930892,25437,95998,8062,"{""NORMAL"": 36365}",0,0,0,146,0,1871932,"{""leo_rain_weak"": 654823, ""leo_low_elev_weak"": 655288, ""leo_clear_weak"": 561821}",98.55185185185185,,0,0,0.23991401171362078,36365,36365
