row,kind,step,valid,reason,online_ce,recovered_ce,G_lag,readability,direction_imbalance,monitor_delta_upper95,gap
F-M14,cstar,0,False,RECOVERY_UNRELIABLE,2.7170450687408447,2.703626871109009,,,,0.04873367846012115,
F-M14,cstar,250,False,RECOVERY_UNRELIABLE,2.705078125,2.792553663253784,,,,0.35623049535685114,
F-M14,cstar,500,False,RECOVERY_UNRELIABLE,2.7010138034820557,4.406571865081787,,,,2.371866003970305,
F-M14,cstar,750,False,RECOVERY_UNRELIABLE,2.6909494400024414,4.211529731750488,,,,2.1252618250085242,
F-M14,cstar,1000,False,RECOVERY_UNRELIABLE,2.671893358230591,4.737523078918457,,,,2.8811093151403795,
F-M14,cstar,1250,False,RECOVERY_UNRELIABLE,2.6679985523223877,5.442477226257324,,,,3.7620544567704197,
F-M14,cstar,1500,False,RECOVERY_UNRELIABLE,2.6597275733947754,5.205664157867432,,,,3.5227332651615137,
F-M14,cstar,1750,False,RECOVERY_UNRELIABLE,2.6458792686462402,4.914516925811768,,,,3.1450547050767454,
F-M14,cstar,2000,False,RECOVERY_UNRELIABLE,2.652646541595459,4.798173427581787,,,,3.1083920679158634,
F-M14,cstar,2250,False,RECOVERY_UNRELIABLE,2.652088165283203,5.148016929626465,,,,3.579521421260303,
F-M14,cstar,2500,False,RECOVERY_UNRELIABLE,2.6505126953125,6.861236572265625,,,,6.0534375520712755,
F-M14,cstar,2750,False,RECOVERY_UNRELIABLE,2.6488099098205566,4.898419380187988,,,,3.14622856936521,
F-M14,cstar,3000,False,RECOVERY_UNRELIABLE,2.665422201156616,3.5821573734283447,,,,1.2549674612449275,
F-M14,cstar,3250,False,RECOVERY_UNRELIABLE,2.6617684364318848,3.0775065422058105,,,,0.6425545736319486,
F-M14,cstar,3500,False,RECOVERY_UNRELIABLE,2.664968252182007,2.8517544269561768,,,,0.3413790635930167,
F-M14,cstar,3750,False,RECOVERY_UNRELIABLE,2.6577651500701904,2.8901944160461426,,,,0.4351103103326427,
F-M14,cstar,4000,False,RECOVERY_UNRELIABLE,2.6682281494140625,2.8054816722869873,,,,0.25696870711114667,
F-M14,cstar,4250,False,RECOVERY_UNRELIABLE,2.6652536392211914,2.8772969245910645,,,,0.3637469279434946,
F-M14,cstar,4500,False,RECOVERY_UNRELIABLE,2.667738914489746,3.287222146987915,,,,0.9461383676528928,
F-M14,cstar,4750,False,RECOVERY_UNRELIABLE,2.669674873352051,3.0901682376861572,,,,0.649256090124448,
F-M14,cstar,5000,False,RECOVERY_UNRELIABLE,2.6699697971343994,3.411547899246216,,,,1.110385475158691,
F-M14,cstar,5250,False,RECOVERY_UNRELIABLE,2.675255537033081,3.6345174312591553,,,,1.5264300053980613,
F-M14,cstar,5500,False,RECOVERY_UNRELIABLE,2.6887896060943604,3.2084052562713623,,,,0.883817444394032,
F-M14,cstar,5750,False,RECOVERY_UNRELIABLE,2.6842851638793945,3.7887940406799316,,,,1.4920909060703382,
F-M14,cstar,6000,False,RECOVERY_UNRELIABLE,2.6981310844421387,3.124833822250366,,,,0.7890381205744209,
F-M14,cstar,6250,False,RECOVERY_UNRELIABLE,2.691575527191162,3.1923434734344482,,,,0.8612252902653481,
F-M14,cstar,6500,False,RECOVERY_UNRELIABLE,2.6895928382873535,2.766544818878174,,,,0.19418987092044618,
F-M14,cstar,6750,False,RECOVERY_UNRELIABLE,2.7027721405029297,4.5496907234191895,,,,2.749492086337672,
F-M14,cstar,7000,False,RECOVERY_UNRELIABLE,2.689218521118164,3.7488298416137695,,,,1.736354908314016,
F-M14,cstar,7250,False,RECOVERY_UNRELIABLE,2.699610948562622,2.951392412185669,,,,0.49781451132562426,
F-M14,cstar,7500,False,RECOVERY_UNRELIABLE,2.6896517276763916,2.870710611343384,,,,0.3647375378178225,
F-M14,cstar,7750,False,RECOVERY_UNRELIABLE,2.6898372173309326,3.1108670234680176,,,,0.7138878997829218,
F-M14,cstar,8000,False,RECOVERY_UNRELIABLE,2.6914093494415283,2.8740978240966797,,,,0.373384911533859,
F-M14,cstar,8250,False,RECOVERY_UNRELIABLE,2.6777384281158447,3.078111410140991,,,,0.6308327657149895,
F-M14,cstar,8500,False,RECOVERY_UNRELIABLE,2.6886813640594482,2.920883893966675,,,,0.4571912038988535,
F-M14,cstar,8750,False,RECOVERY_UNRELIABLE,2.687183380126953,5.297863006591797,,,,4.199561482187774,
F-M14,cstar,9000,False,RECOVERY_UNRELIABLE,2.6959450244903564,4.349961280822754,,,,2.659786278357108,
F-M14,cstar,9250,False,RECOVERY_UNRELIABLE,2.6837410926818848,3.502250909805298,,,,1.2372644888858,
F-M14,cstar,9500,False,RECOVERY_UNRELIABLE,2.6817214488983154,3.4619500637054443,,,,1.2607488449580135,
F-M14,cstar,9750,False,RECOVERY_UNRELIABLE,2.6921119689941406,3.268361806869507,,,,0.9085862698819902,
F-M14,cstar,10000,False,RECOVERY_UNRELIABLE,2.68935489654541,3.2106664180755615,,,,0.8754558255771793,
F-M14,cstar,10250,False,RECOVERY_UNRELIABLE,2.687601089477539,3.2682435512542725,,,,0.9598742949631475,
F-M14,cstar,10500,False,RECOVERY_UNRELIABLE,2.690673589706421,4.319774150848389,,,,2.3232673885756068,
F-M14,cstar,10750,False,RECOVERY_UNRELIABLE,2.686790704727173,4.875993728637695,,,,3.490181755953365,
F-M14,cstar,11000,False,RECOVERY_UNRELIABLE,2.6935043334960938,4.670912265777588,,,,3.2436496293213626,
F-M14,cstar,11250,False,RECOVERY_UNRELIABLE,2.6916887760162354,4.494610786437988,,,,2.6225146596464843,
F-M14,cstar,11500,False,RECOVERY_UNRELIABLE,2.6903629302978516,3.3423221111297607,,,,1.0817021436989305,
F-M14,cstar,11750,False,RECOVERY_UNRELIABLE,2.6867048740386963,2.9702260494232178,,,,0.5236132361160383,
F-M14,cstar,12000,False,RECOVERY_UNRELIABLE,2.6925270557403564,4.117054462432861,,,,2.330771612442202,
F-M14,cstar,12250,False,RECOVERY_UNRELIABLE,2.686629056930542,7.5959272384643555,,,,7.072215596040088,
F-M14,cstar,12500,False,RECOVERY_UNRELIABLE,2.6883955001831055,8.246025085449219,,,,8.144039719568358,
F-M14,cstar,12750,False,RECOVERY_UNRELIABLE,2.6866860389709473,7.759433746337891,,,,7.580805244561697,
F-M14,cstar,13000,False,RECOVERY_UNRELIABLE,2.686004877090454,4.345531463623047,,,,2.644441878861851,
F-M14,cstar,13250,False,RECOVERY_UNRELIABLE,2.701331377029419,6.8723344802856445,,,,6.5853270851241215,
F-M14,cstar,13500,False,RECOVERY_UNRELIABLE,2.693693161010742,8.739500999450684,,,,9.409113148533635,
F-M14,cstar,13750,False,RECOVERY_UNRELIABLE,2.7026567459106445,7.920997142791748,,,,7.918616293271382,
F-M14,cstar,14000,False,RECOVERY_UNRELIABLE,2.693636894226074,3.2151002883911133,,,,0.9039369122849569,
F-M14,cstar,14250,False,RECOVERY_UNRELIABLE,2.6957411766052246,4.520493030548096,,,,2.64222189731068,
F-M14,cstar,14500,False,RECOVERY_UNRELIABLE,2.691174030303955,9.979510307312012,,,,10.9732262659404,
F-M14,cstar,14750,False,RECOVERY_UNRELIABLE,2.6943936347961426,8.925661087036133,,,,9.065248002939752,
F-M14,cstar,15000,False,RECOVERY_UNRELIABLE,2.7001795768737793,7.710180759429932,,,,7.838403157624933,
F-M14,cstar,15250,False,RECOVERY_UNRELIABLE,2.6957409381866455,7.283493518829346,,,,6.836572704149615,
F-M14,cstar,15500,False,RECOVERY_UNRELIABLE,2.6934266090393066,8.29064655303955,,,,8.554488460189763,
F-M14,cstar,15750,False,RECOVERY_UNRELIABLE,2.6953887939453125,8.094802856445312,,,,8.456046989626353,
F-M14,cstar,16000,False,RECOVERY_UNRELIABLE,2.69907546043396,8.47868824005127,,,,8.888564404116735,
F-M14,cstar,16250,False,RECOVERY_UNRELIABLE,2.6831700801849365,8.065225601196289,,,,8.318607286115485,
F-M14,cstar,16500,False,RECOVERY_UNRELIABLE,2.691861867904663,3.7744176387786865,,,,1.7250668636957804,
F-M14,cstar,16750,False,RECOVERY_UNRELIABLE,2.6983702182769775,4.324819087982178,,,,2.379218323777119,
F-M14,cstar,17000,False,RECOVERY_UNRELIABLE,2.6905314922332764,5.051520347595215,,,,3.6234537938237175,
F-M14,cstar,17250,False,RECOVERY_UNRELIABLE,2.694247245788574,8.3810453414917,,,,8.837227730320556,
F-M14,cstar,17500,False,RECOVERY_UNRELIABLE,2.6932637691497803,7.153769493103027,,,,6.667379178620045,
F-M14,cstar,17750,False,RECOVERY_UNRELIABLE,2.6854281425476074,6.897082805633545,,,,6.325691243575677,
F-M14,cstar,18000,False,RECOVERY_UNRELIABLE,2.692172050476074,9.771688461303711,,,,10.733073482116064,
F-M14,cstar,18250,False,RECOVERY_UNRELIABLE,2.693068504333496,4.419911861419678,,,,2.5741277167201035,
F-M14,cstar,18500,False,RECOVERY_UNRELIABLE,2.6941511631011963,10.089366912841797,,,,11.3682689341406,
F-M14,cstar,18750,False,RECOVERY_UNRELIABLE,2.687120199203491,5.857898235321045,,,,4.762624449531237,
F-M14,cstar,19000,False,RECOVERY_UNRELIABLE,2.686659812927246,4.388769149780273,,,,2.5437406813436083,
F-M14,cstar,19250,False,RECOVERY_UNRELIABLE,2.6869521141052246,6.8071064949035645,,,,6.356150185399584,
F-M14,cstar,19500,False,RECOVERY_UNRELIABLE,2.6919093132019043,7.7822265625,,,,8.030940716928905,
F-M14,cstar,19750,False,RECOVERY_UNRELIABLE,2.6888439655303955,8.087108612060547,,,,8.137081514729392,
F-M14,cstar,20000,False,RECOVERY_UNRELIABLE,2.69350266456604,5.2211198806762695,,,,3.716556539121601,
F-M14,cstar,20250,False,RECOVERY_UNRELIABLE,2.6958439350128174,8.80716323852539,,,,9.624132933053701,
F-M14,cstar,20500,False,RECOVERY_UNRELIABLE,2.691953420639038,9.748970985412598,,,,10.727855546077091,
F-M14,cstar,20750,False,RECOVERY_UNRELIABLE,2.6943202018737793,9.569230079650879,,,,10.67905935462978,
F-M14,cstar,21000,False,RECOVERY_UNRELIABLE,2.6884055137634277,9.357864379882812,,,,10.4434839632776,
F-M14,cstar,21250,False,RECOVERY_UNRELIABLE,2.6896653175354004,8.181239128112793,,,,8.631038510037786,
F-M14,cstar,21500,False,RECOVERY_UNRELIABLE,2.6894214153289795,9.784223556518555,,,,11.09043007892039,
F-M14,cstar,21750,False,RECOVERY_UNRELIABLE,2.6948065757751465,9.183446884155273,,,,9.940329230642977,
F-M14,cstar,22000,False,RECOVERY_UNRELIABLE,2.6831283569335938,4.437839984893799,,,,2.7949880177776016,
F-M14,cstar,22250,False,RECOVERY_UNRELIABLE,2.6938090324401855,8.45128345489502,,,,8.937721544686287,
F-M14,cstar,22500,False,RECOVERY_UNRELIABLE,2.69354248046875,7.160464286804199,,,,6.695280806620914,
F-M14,cstar,22750,False,RECOVERY_UNRELIABLE,2.6949267387390137,9.145986557006836,,,,9.918792489469052,
F-M14,cstar,23000,False,RECOVERY_UNRELIABLE,2.6893768310546875,9.581009864807129,,,,10.798723811109856,
F-M14,cstar,23250,False,RECOVERY_UNRELIABLE,2.6844840049743652,9.475103378295898,,,,10.53759344501628,
F-M14,cstar,23500,False,RECOVERY_UNRELIABLE,2.688941240310669,9.946831703186035,,,,11.244175366312264,
F-M14,cstar,23750,False,RECOVERY_UNRELIABLE,2.6861412525177,9.910656929016113,,,,11.124540024896461,
F-M14,cstar,24000,False,RECOVERY_UNRELIABLE,2.6935927867889404,9.664152145385742,,,,10.592600970185465,
F-M14,cstar,24250,False,RECOVERY_UNRELIABLE,2.693061590194702,7.7993245124816895,,,,8.037251726935304,
F-M14,cstar,24500,False,RECOVERY_UNRELIABLE,2.690248966217041,9.392905235290527,,,,10.291597180118162,
F-M14,cstar,24750,False,RECOVERY_UNRELIABLE,2.6853559017181396,10.078121185302734,,,,11.505622594720782,
F-M14,cstar,25000,False,RECOVERY_UNRELIABLE,2.6936752796173096,5.003418922424316,,,,3.600508695162004,
F-M14,cstar,25250,False,RECOVERY_UNRELIABLE,2.689772367477417,9.394986152648926,,,,10.588850560933345,
F-M14,cstar,25500,False,RECOVERY_UNRELIABLE,2.691282272338867,10.153336524963379,,,,11.723894924951914,
F-M14,cstar,25750,False,RECOVERY_UNRELIABLE,2.691861152648926,8.417320251464844,,,,8.853311965482101,
F-M14,cstar,26000,False,RECOVERY_UNRELIABLE,2.6948282718658447,10.054909706115723,,,,11.45212871799866,
F-M14,cstar,26250,False,RECOVERY_UNRELIABLE,2.68961501121521,6.617742538452148,,,,6.123215921819208,
F-M14,cstar,26500,False,RECOVERY_UNRELIABLE,2.6991095542907715,10.73168659210205,,,,12.439372159524096,
F-M14,cstar,26750,False,RECOVERY_UNRELIABLE,2.6979024410247803,10.067317008972168,,,,11.526330122566883,
F-M14,cstar,27000,False,RECOVERY_UNRELIABLE,2.6987383365631104,5.826012134552002,,,,4.864279158446523,
F-M14,cstar,27250,False,RECOVERY_UNRELIABLE,2.6950507164001465,6.1473870277404785,,,,4.845428358548217,
F-M14,cstar,27500,False,RECOVERY_UNRELIABLE,2.6951065063476562,6.456081867218018,,,,5.667199759350879,
F-M14,cstar,27750,False,RECOVERY_UNRELIABLE,2.6957836151123047,7.1271867752075195,,,,6.768942357699076,
F-M14,cstar,28000,False,RECOVERY_UNRELIABLE,2.689875364303589,7.975000381469727,,,,8.07225390765402,
F-M14,cstar,28250,False,RECOVERY_UNRELIABLE,2.6905434131622314,7.9943413734436035,,,,8.043722787814007,
F-M14,cstar,28500,False,RECOVERY_UNRELIABLE,2.6922848224639893,9.567886352539062,,,,10.434960030284191,
F-M14,cstar,28750,False,RECOVERY_UNRELIABLE,2.6925623416900635,5.202922821044922,,,,3.9172881655560596,
F-M14,cstar,29000,False,RECOVERY_UNRELIABLE,2.696413993835449,9.758431434631348,,,,10.977616525772541,
F-M14,cstar,29250,False,RECOVERY_UNRELIABLE,2.6999399662017822,5.454197883605957,,,,4.336473397281433,
F-M14,cstar,29500,False,RECOVERY_UNRELIABLE,2.701259136199951,6.171194076538086,,,,5.310599953167967,
F-M14,cstar,29750,False,RECOVERY_UNRELIABLE,2.6955747604370117,7.045840740203857,,,,6.705219930344156,
F-M14,cstar,30000,False,RECOVERY_UNRELIABLE,2.696479082107544,4.475584983825684,,,,2.7971165037817425,
F-M14,cstar,30250,False,RECOVERY_UNRELIABLE,2.698146343231201,6.954782485961914,,,,6.559981325831676,
F-M14,cstar,30500,False,RECOVERY_UNRELIABLE,2.695359706878662,5.414625644683838,,,,4.134607467187775,
F-M14,cstar,30750,False,RECOVERY_UNRELIABLE,2.694674491882324,6.14308500289917,,,,5.2570814751916455,
F-M14,cstar,31000,False,RECOVERY_UNRELIABLE,2.6951513290405273,10.359543800354004,,,,11.880743275384106,
F-M14,cstar,31250,False,RECOVERY_UNRELIABLE,2.699934959411621,6.6291303634643555,,,,6.081314507325489,
F-M14,cstar,31500,False,RECOVERY_UNRELIABLE,2.6971240043640137,6.8260040283203125,,,,6.436320749405355,
F-M14,cstar,31750,False,RECOVERY_UNRELIABLE,2.7022669315338135,6.840785026550293,,,,6.291167227509948,
F-M14,cstar,32000,False,RECOVERY_UNRELIABLE,2.6954920291900635,5.6022515296936035,,,,4.606975897136658,
F-M14,cstar,32250,False,RECOVERY_UNRELIABLE,2.6936709880828857,9.579178810119629,,,,10.701444583932554,
F-M14,cstar,32500,False,RECOVERY_UNRELIABLE,2.6987016201019287,6.596343517303467,,,,6.081845982339644,
F-M14,cstar,32750,False,RECOVERY_UNRELIABLE,2.695547103881836,6.267241954803467,,,,5.559419645667073,
F-M14,cstar,33000,False,RECOVERY_UNRELIABLE,2.6956357955932617,6.483654975891113,,,,5.937840501202474,
F-M14,cstar,33250,False,RECOVERY_UNRELIABLE,2.696073293685913,5.054995059967041,,,,3.6907702269487896,
F-M14,cstar,33500,False,RECOVERY_UNRELIABLE,2.699026346206665,7.1512017250061035,,,,6.933068014151517,
F-M14,cstar,33750,False,RECOVERY_UNRELIABLE,2.6973440647125244,9.868535995483398,,,,11.141476405693423,
F-M14,cstar,34000,False,RECOVERY_UNRELIABLE,2.6941678524017334,5.370335578918457,,,,4.2388876975244925,
F-M14,cstar,34250,False,RECOVERY_UNRELIABLE,2.6971123218536377,5.224356651306152,,,,3.9106580396493267,
F-M14,cstar,34500,False,RECOVERY_UNRELIABLE,2.697775363922119,6.903223514556885,,,,6.567331914206342,
F-M14,cstar,34750,False,RECOVERY_UNRELIABLE,2.695903778076172,6.5907793045043945,,,,5.9984574718442225,
F-M14,cstar,35000,False,RECOVERY_UNRELIABLE,2.6908464431762695,9.756681442260742,,,,10.9651532855961,
F-M14,cstar,35250,False,RECOVERY_UNRELIABLE,2.6925265789031982,6.3816399574279785,,,,5.669651113996902,
