run,row,inherited_target_contact,scene,tx,precision,recall,f1
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,43.41689300503139,34.825,38.649200340870806
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,90.11378671606245,60.81071428571428,72.6175498453993
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,40.71886516229996,57.61428571428572,47.71510544529563
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,4,81.1030303030303,95.58571428571429,87.75081967213116
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,5,84.8594190989961,84.83214285714286,84.8457787858763
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,0,77.28433440657267,74.58214285714286,75.90919830610132
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,1,44.243721843079534,35.425000000000004,39.34627818877804
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,2,89.92085539074375,61.27142857142858,72.88175194885193
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,3,40.851340796667536,56.03928571428571,47.254931486221956
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,4,81.60244648318043,95.3,87.92092257001649
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_rain_weak,5,84.54760142398928,85.66785714285714,85.10404285891681
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,0,84.49359872300225,92.63214285714285,88.37589655348656
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,1,61.23893805309735,46.957142857142856,53.155447746108756
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,2,95.27030387427264,68.41428571428571,79.63913775542021
