run,row,inherited_target_contact,clean_macro_f1_pct,leo_clear_weak_macro_f1_pct,leo_low_elev_weak_macro_f1_pct,leo_rain_weak_macro_f1_pct,leo_macro_f1_pct,weak_rx_leo_mean_pct,weak_tx_leo_mean_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,78.28063126513518,69.33707520048867,67.59418860229049,67.66958852748216,68.20028411008711,52.27916666666667,35.06071428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,78.90229898850741,69.80512746293374,67.9278547527258,68.06952089314775,68.60083436960244,53.42361111111111,35.45238095238095
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,78.0700177522144,69.31587570258372,67.65739190139587,67.6557476492408,68.20967175107346,52.4,34.319047619047616
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,78.55148913911202,69.62724766936734,67.80034561854968,67.96118791012624,68.46292706601442,53.2875,34.647619047619045
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,78.13488111106771,68.95213591045389,67.28947408907796,67.40920679657995,67.88360559870394,52.12916666666666,34.43452380952381
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,77.83369750754287,65.44241434837687,64.0263040922583,64.05301944739774,64.50724596267764,44.6,30.664285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,78.62741250559324,68.39054207292642,66.49809587172815,66.54094073831541,67.14319289432333,52.584722222222226,33.12738095238095
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,75.75881795647236,65.18860354779903,63.54574245487628,63.84024780384333,64.19153126883955,45.57361111111111,28.998809523809523
a1_extended_s392005_20260910_r1,R3_CLEAN_RX_E400,False,76.01075112192612,70.11503152252804,69.03518757187294,69.34964186238261,69.4999536522612,56.12638888888889,35.775
a1_extended_s392005_20260910_r1,X2_E400,False,77.31013420607987,70.93703761711856,69.55497649376426,69.81555485072465,70.10252298720249,56.19861111111111,35.404761904761905
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,True,76.4218360583365,68.91772221290391,66.96934574119395,67.15227836271579,67.67978210560454,53.74722222222222,33.036904761904765
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,True,76.53889426542617,68.92519048707068,66.97273028969883,67.07834728703,67.6587560212665,53.668055555555554,33.68690476190476
a1_fast_v2_s392005_20260909_r1,F0_FIXED_BASE,False,79.76184272915766,69.45927140565632,67.58632250366249,67.67668866177829,68.24076085703237,52.456944444444446,34.833333333333336
a1_fast_v2_s392005_20260909_r1,F1_RUNTIME,False,78.75536796884134,69.19208922837558,67.3105023256558,67.41542553719074,67.97267236374071,53.00972222222222,33.91904761904762
a1_fast_v2_s392005_20260909_r1,F2_WARM_EMA,False,78.69796607874976,69.25311085719855,67.60241649831129,67.59044270130934,68.1486566856064,52.890277777777776,34.63095238095238
a1_fast_v2_s392005_20260909_r1,F3_COVERAGE_KL,False,78.66105743631488,68.59156794778586,66.74699021666707,66.9846999980424,67.44108605416511,50.55833333333333,34.41904761904762
a1_mechanism_periodic_s392005_20260910_r1,B0_FIXED,False,77.55742718857202,69.05743886846668,67.4198362835269,67.55671251732812,68.01132922310724,53.483333333333334,34.069047619047616
a1_mechanism_periodic_s392005_20260910_r1,B1_TAIL_LR,False,78.11822496927606,69.73137697889364,67.97171347442521,68.36725997922572,68.6901168108482,53.03472222222222,38.11666666666667
a1_mechanism_periodic_s392005_20260910_r1,B2_RC4_WEIGHT,False,78.48883406029171,69.17195620402946,67.38968357232416,67.48111354229192,68.01425110621518,52.77777777777778,33.22380952380953
a1_mechanism_periodic_s392005_20260910_r1,D0_NO_ORBIT,False,77.71662745191979,65.57619841033002,63.28498553142315,63.315563881308556,64.05891594102057,46.90138888888889,30.94404761904762
a1_mechanism_periodic_s392005_20260910_r1,D1_THREE_VIEW,False,78.86377204692825,69.5534089696871,67.64053453714428,67.61839828046524,68.27078059576554,54.69722222222222,32.701190476190476
a1_mechanism_periodic_s392005_20260910_r1,D2_PHYSICAL_ORBIT,False,77.93494134534922,68.09171135269234,66.36276608644444,66.45965484224317,66.97137742712665,51.09861111111111,34.23809523809524
a1_mechanism_periodic_s392005_20260910_r1,D3_TANGENT,False,78.66671707049888,69.16158310234864,67.37357847945206,67.53702952207698,68.02406370129256,51.93888888888889,35.923809523809524
a1_mechanism_periodic_s392005_20260910_r1,E0_RESPONSE_ONLY,False,79.50059599111464,69.82416183750001,67.97593382710319,67.95507460193781,68.58505675551368,52.766666666666666,35.1
a1_mechanism_periodic_s392005_20260910_r1,F0_R3_REFERENCE,False,78.65029883389573,68.2098277704951,66.35263631841562,66.62797617997455,67.06348008962843,50.87916666666667,34.28452380952381
a1_mechanism_periodic_s392005_20260910_r1,F1_R3_CONTINUOUS,False,78.75004381951669,68.80727349953882,67.2815892940514,67.42429750458024,67.83772009939015,51.18194444444445,33.319047619047616
a1_mechanism_periodic_s392005_20260910_r1,F2_R3_IDENTITY,False,78.5258590925235,68.66943006818815,66.93630898167369,66.90994340489166,67.50522748491784,52.67222222222222,33.33452380952381
a1_mechanism_periodic_s392005_20260910_r1,F3_R3_SWAP,False,77.68266152148338,68.01589420317259,66.57202009618463,66.82093399101929,67.13628276345884,51.92638888888889,33.496428571428574
a1_r3_budget_s392005_20260909_r2,R3_B120,False,77.16171151892732,65.01638330591885,63.745936061558005,63.772731849357655,64.1783504056115,49.05972222222222,31.409523809523808
a1_r3_budget_s392005_20260909_r2,R3_B160,False,78.37969361023484,67.94675128411698,66.18906680780779,66.37065118055378,66.83548975749285,50.82222222222222,34.65
a1_r3_scratch_s392005_20260908_r1,R3_FAST_SEQUENTIAL,False,78.50506207208764,69.37749569341295,67.55861187287077,67.90026072014416,68.27878942880929,52.51388888888889,34.36190476190476
a1_r3_scratch_s392005_20260908_r1,R3_REFERENCE,False,78.9854223978437,69.71214823901846,67.88032315613549,68.13734363411848,68.57660500975747,52.386111111111106,34.00952380952381
a1_r3_scratch_s392005_20260908_r1,R3_STRUCTURE_CONTROL,False,77.92670527253645,68.80798509214921,67.0435117096595,67.16250431358021,67.67133370512964,52.606944444444444,32.06547619047619
