row,component,configured,scheduled_start_epoch,status,observed_records,nonzero_loss_records,gradient_probes,nonzero_gradient_probes
F-M11,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M11,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M11,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,44400,31080,45,31
F-M11,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M11,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,44400,4,45,0
F-M11,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,44400,6405,45,11
F-M11,rc4_partial_set,True,21,NONZERO_GRADIENT_OBSERVED,44400,28471,45,35
F-M11,rc4_partial_conditional,True,21,NONZERO_GRADIENT_OBSERVED,44400,34385,45,35
F-M11,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M11,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,44400,27819,45,32
F-M11,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M11,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M11,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,44400,7452,45,11
F-M11,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_orbit_z,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_orbit_logit,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,44400,31080,45,31
F-M05,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,44400,14,45,0
F-M05,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,44400,7619,45,10
F-M05,rc4_partial_set,True,21,ENABLED_NO_NONZERO_EVIDENCE,44400,0,45,0
F-M05,rc4_partial_conditional,True,21,ENABLED_NO_NONZERO_EVIDENCE,44400,0,45,0
F-M05,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M05,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,44400,37421,45,40
F-M05,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M05,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M05,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,44400,8968,45,10
F-M05,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M05,x,True,1,NONZERO_GRADIENT_OBSERVED,44400,44399,45,45
F-M05,ux_normalized,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M08,daot_orbit_z,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,daot_orbit_logit,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,44400,31080,45,31
F-M08,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,44400,13,45,0
F-M08,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,44400,7020,45,13
F-M08,rc4_partial_set,True,21,NONZERO_GRADIENT_OBSERVED,44400,31650,45,35
F-M08,rc4_partial_conditional,True,21,NONZERO_GRADIENT_OBSERVED,44400,34486,45,35
F-M08,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M08,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,44400,26139,45,32
F-M08,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M08,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M08,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,44400,7877,45,13
F-M08,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M08,x,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M08,ux_normalized,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M07,daot_orbit_z,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
F-M07,daot_orbit_logit,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
F-M07,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
F-M07,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
F-M07,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,39294,25974,40,26
F-M07,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
