run,row,inherited_target_contact,scene,true_tx,predicted_tx,count
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,2,5,3812
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,0,2648
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,1,7065
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,2,877
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,3,17164
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,4,109
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,3,5,137
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,0,7
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,1,344
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,2,71
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,3,264
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,4,27294
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,4,5,20
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,0,41
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,1,511
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,2,338
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,3,15
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,4,3574
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_clear_weak,5,5,23521
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,0,20350
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,1,2565
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,2,242
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,3,4646
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,4,178
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,0,5,19
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,0,1234
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,1,9665
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,2,41
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,3,16440
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,4,600
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,1,5,20
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,0,1372
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,1,1763
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,2,16802
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,3,1844
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,4,2086
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,2,5,4133
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,0,3221
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,1,7349
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,2,880
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,3,16165
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,4,236
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,3,5,149
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,0,13
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,1,529
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,2,94
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,3,634
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,4,26694
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,4,5,36
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,0,133
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,1,571
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,2,363
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,3,18
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,4,3173
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_low_elev_weak,5,5,23742
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,0,20701
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,1,2496
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,2,241
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,3,4387
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,4,146
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,0,5,29
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,0,1392
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,1,9708
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,2,56
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,3,16190
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,4,630
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,1,5,24
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,0,1394
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,1,1769
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,2,16847
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,3,1787
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,4,1901
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,2,5,4302
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,0,3594
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,1,7269
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,2,983
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,3,15768
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,4,244
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,3,5,142
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,0,12
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,1,556
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,2,87
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,3,704
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,4,26610
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,4,5,31
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,0,87
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,1,415
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,2,334
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,3,17
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,4,3107
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,leo_rain_weak,5,5,24040
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,0,26019
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,1,479
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,2,151
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,3,1328
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,4,14
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,0,5,9
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,0,567
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,1,12505
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,2,27
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,3,14826
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,4,63
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,1,5,12
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,0,935
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,1,1171
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,2,20890
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,3,813
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,4,160
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,2,5,4031
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,0,1686
