receiver,seed,k_shot,scenario,correct,total,accuracy
3-19,713101,5,leo_rain_weak,73,120,0.6083333333333333
3-19,713102,1,leo_clear_weak,72,120,0.6
3-19,713102,1,leo_low_elev_weak,69,120,0.575
3-19,713102,1,leo_rain_weak,74,120,0.6166666666666667
3-19,713102,10,leo_clear_weak,72,120,0.6
3-19,713102,10,leo_low_elev_weak,69,120,0.575
3-19,713102,10,leo_rain_weak,74,120,0.6166666666666667
3-19,713102,2,leo_clear_weak,72,120,0.6
3-19,713102,2,leo_low_elev_weak,69,120,0.575
3-19,713102,2,leo_rain_weak,74,120,0.6166666666666667
3-19,713102,20,leo_clear_weak,72,120,0.6
3-19,713102,20,leo_low_elev_weak,69,120,0.575
3-19,713102,20,leo_rain_weak,74,120,0.6166666666666667
3-19,713102,5,leo_clear_weak,72,120,0.6
3-19,713102,5,leo_low_elev_weak,69,120,0.575
3-19,713102,5,leo_rain_weak,74,120,0.6166666666666667
3-19,713103,1,leo_clear_weak,79,120,0.6583333333333333
3-19,713103,1,leo_low_elev_weak,61,120,0.5083333333333333
3-19,713103,1,leo_rain_weak,73,120,0.6083333333333333
3-19,713103,10,leo_clear_weak,79,120,0.6583333333333333
3-19,713103,10,leo_low_elev_weak,61,120,0.5083333333333333
3-19,713103,10,leo_rain_weak,73,120,0.6083333333333333
3-19,713103,2,leo_clear_weak,79,120,0.6583333333333333
3-19,713103,2,leo_low_elev_weak,61,120,0.5083333333333333
3-19,713103,2,leo_rain_weak,73,120,0.6083333333333333
3-19,713103,20,leo_clear_weak,79,120,0.6583333333333333
3-19,713103,20,leo_low_elev_weak,61,120,0.5083333333333333
3-19,713103,20,leo_rain_weak,73,120,0.6083333333333333
3-19,713103,5,leo_clear_weak,79,120,0.6583333333333333
3-19,713103,5,leo_low_elev_weak,61,120,0.5083333333333333
3-19,713103,5,leo_rain_weak,73,120,0.6083333333333333
3-19,713104,1,leo_clear_weak,77,120,0.6416666666666667
3-19,713104,1,leo_low_elev_weak,66,120,0.55
3-19,713104,1,leo_rain_weak,75,120,0.625
3-19,713104,10,leo_clear_weak,77,120,0.6416666666666667
3-19,713104,10,leo_low_elev_weak,66,120,0.55
3-19,713104,10,leo_rain_weak,75,120,0.625
3-19,713104,2,leo_clear_weak,77,120,0.6416666666666667
3-19,713104,2,leo_low_elev_weak,66,120,0.55
3-19,713104,2,leo_rain_weak,75,120,0.625
3-19,713104,20,leo_clear_weak,77,120,0.6416666666666667
3-19,713104,20,leo_low_elev_weak,66,120,0.55
3-19,713104,20,leo_rain_weak,75,120,0.625
3-19,713104,5,leo_clear_weak,77,120,0.6416666666666667
3-19,713104,5,leo_low_elev_weak,66,120,0.55
3-19,713104,5,leo_rain_weak,75,120,0.625
3-19,713105,1,leo_clear_weak,79,120,0.6583333333333333
3-19,713105,1,leo_low_elev_weak,65,120,0.5416666666666666
3-19,713105,1,leo_rain_weak,78,120,0.65
3-19,713105,10,leo_clear_weak,79,120,0.6583333333333333
3-19,713105,10,leo_low_elev_weak,65,120,0.5416666666666666
3-19,713105,10,leo_rain_weak,78,120,0.65
3-19,713105,2,leo_clear_weak,79,120,0.6583333333333333
3-19,713105,2,leo_low_elev_weak,65,120,0.5416666666666666
3-19,713105,2,leo_rain_weak,78,120,0.65
3-19,713105,20,leo_clear_weak,79,120,0.6583333333333333
3-19,713105,20,leo_low_elev_weak,65,120,0.5416666666666666
3-19,713105,20,leo_rain_weak,78,120,0.65
3-19,713105,5,leo_clear_weak,79,120,0.6583333333333333
3-19,713105,5,leo_low_elev_weak,65,120,0.5416666666666666
3-19,713105,5,leo_rain_weak,78,120,0.65
7-14,713101,1,leo_clear_weak,110,120,0.9166666666666666
7-14,713101,1,leo_low_elev_weak,111,120,0.925
7-14,713101,1,leo_rain_weak,102,120,0.85
