method,k_shot,new_class_count,cells,trainable_parameters_mean,trainable_parameters_max,persistent_state_bytes_mean,persistent_state_bytes_max,optimizer_steps_total_mean,optimizer_steps_total_max,adaptation_wall_seconds_total_mean,adaptation_wall_seconds_total_max,peak_cuda_memory_bytes_mean,peak_cuda_memory_bytes_max,support_backbone_forward_samples_mean,support_backbone_forward_samples_max,query_backbone_forward_samples_mean,query_backbone_forward_samples_max,query_view_count_mean,query_view_count_max
csil,1,5,25,16512.0,16512.0,66048.0,66048.0,60.0,60.0,0.8781471159309149,0.995854358188808,172651008.0,172651008.0,33.0,33.0,660.0,660.0,1.0,1.0
csil,1,10,25,16992.0,16992.0,67968.0,67968.0,60.0,60.0,0.8645488443411886,1.0027847322635353,172802560.0,172802560.0,48.0,48.0,960.0,960.0,1.0,1.0
csil,1,20,25,17952.0,17952.0,71808.0,71808.0,60.0,60.0,0.8749504464119673,0.9395905695855618,173136384.0,173136384.0,78.0,78.0,1560.0,1560.0,1.0,1.0
csil,5,5,25,16512.0,16512.0,66048.0,66048.0,60.0,60.0,0.8976604994758963,1.0411254484206438,172736512.0,172736512.0,165.0,165.0,660.0,660.0,1.0,1.0
csil,5,10,25,16992.0,16992.0,67968.0,67968.0,60.0,60.0,0.9267504305392503,1.0900790737941861,172928512.0,172928512.0,240.0,240.0,960.0,960.0,1.0,1.0
csil,5,20,25,17952.0,17952.0,71808.0,71808.0,60.0,60.0,0.9071838420070708,0.9953094520606101,173341696.0,173341696.0,390.0,390.0,1560.0,1560.0,1.0,1.0
csil,10,5,25,16512.0,16512.0,66048.0,66048.0,60.0,60.0,0.9313076269254088,1.27592485351488,172845568.0,172845568.0,330.0,330.0,660.0,660.0,1.0,1.0
csil,10,10,25,16992.0,16992.0,67968.0,67968.0,60.0,60.0,0.9341146067157388,1.0705380733124912,173085696.0,173085696.0,480.0,480.0,960.0,960.0,1.0,1.0
csil,10,20,25,17952.0,17952.0,71808.0,71808.0,60.0,60.0,0.9370482706651092,1.241239430848509,173596672.0,173596672.0,780.0,780.0,1560.0,1560.0,1.0,1.0
csil,20,5,25,16512.0,16512.0,66048.0,66048.0,60.0,60.0,0.90811757940799,1.0774535974487662,173061632.0,173061632.0,660.0,660.0,660.0,660.0,1.0,1.0
csil,20,10,25,16992.0,16992.0,67968.0,67968.0,60.0,60.0,0.9284461531974375,1.0975456731393933,173399552.0,173399552.0,960.0,960.0,960.0,960.0,1.0,1.0
csil,20,20,25,17952.0,17952.0,71808.0,71808.0,60.0,60.0,0.931005699429661,1.1344208628870547,174108672.0,174108672.0,1560.0,1560.0,1560.0,1560.0,1.0,1.0
mopc_hr,1,5,25,20480.0,20480.0,87552.0,87552.0,60.0,60.0,1.086060085296631,1.2649301579222083,172651008.0,172651008.0,33.0,33.0,660.0,660.0,1.0,1.0
mopc_hr,1,10,25,20480.0,20480.0,90112.0,90112.0,60.0,60.0,1.1159496089629828,1.3107970650307834,172802560.0,172802560.0,48.0,48.0,960.0,960.0,1.0,1.0
mopc_hr,1,20,25,20480.0,20480.0,95232.0,95232.0,60.0,60.0,1.2128302155807615,1.3994046174921095,173136384.0,173136384.0,78.0,78.0,1560.0,1560.0,1.0,1.0
mopc_hr,5,5,25,20480.0,20480.0,87552.0,87552.0,60.0,60.0,1.092194408290088,1.212659539654851,172736512.0,172736512.0,165.0,165.0,660.0,660.0,1.0,1.0
mopc_hr,5,10,25,20480.0,20480.0,90112.0,90112.0,60.0,60.0,1.1412935792282224,1.2892681281082332,172928512.0,172928512.0,240.0,240.0,960.0,960.0,1.0,1.0
