method,k_shot,new_class_count,scenario_rows,cells,old_acc_before_increment_mean,old_acc_before_increment_std,old_acc_after_increment_mean,old_acc_after_increment_std,seen_new_acc_mean,seen_new_acc_std,H_old_new_mean,H_old_new_std,candidate_average_forgetting_mean,candidate_average_forgetting_std,direct_adv3b02_old_acc_mean,direct_adv3b02_old_acc_std,identity_old_acc_after_increment_mean,identity_old_acc_after_increment_std,old_after_minus_direct_adv3b02_mean,old_after_minus_direct_adv3b02_std,old_after_minus_identity_mean,old_after_minus_identity_std,min_old_class_acc_mean,min_old_class_acc_std
csil,1,5,75,25,0.7107777777777778,0.17202913907637282,0.5211111111111112,0.170426118093428,0.29733333333333334,0.13249737942901194,0.3466829931270329,0.1025439604953969,0.18966666666666665,0.0880324014423309,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.16962362111305776,-0.25066666666666665,0.10602026361170915,-0.012444444444444437,0.10690401833328095,0.08399999999999999,0.13932216861169894
csil,1,10,75,25,0.7107777777777778,0.17202913907637282,0.5734444444444444,0.18573524233950212,0.13673333333333335,0.06382002472230448,0.20804579731371572,0.07894749789375344,0.13733333333333334,0.08664914352764298,0.7717777777777778,0.11982930246143912,0.45355555555555555,0.15129180373220227,-0.19833333333333333,0.11034457814467336,0.11988888888888889,0.09774203892307294,0.15466666666666667,0.22922671940436806
csil,1,20,75,25,0.7107777777777778,0.17202913907637282,0.634888888888889,0.187501572009871,0.04373333333333334,0.02418116806295529,0.07955735089150975,0.0417847478979133,0.07588888888888888,0.056299025274986605,0.7717777777777778,0.11982930246143912,0.4047777777777778,0.15229827783694325,-0.13688888888888887,0.09870619828687009,0.2301111111111111,0.09151900564943725,0.24533333333333332,0.2648488038275591
csil,5,5,75,25,0.7816666666666666,0.13143791662197757,0.6373333333333333,0.1505813426050543,0.316,0.1341839533376973,0.3947007437945954,0.12096971607724592,0.1443333333333333,0.08362349483780793,0.7717777777777778,0.11982930246143912,0.6001111111111112,0.14185603900599064,-0.13444444444444445,0.0899107925517507,0.03722222222222222,0.07969076034240492,0.22933333333333333,0.2044656993782141
csil,5,10,75,25,0.7816666666666666,0.13143791662197757,0.6968888888888889,0.15874375656041903,0.12873333333333334,0.062118667797119484,0.2063496698798741,0.07955958013589735,0.08477777777777777,0.07046634780403696,0.7717777777777778,0.11982930246143912,0.5381111111111111,0.13862534997005774,-0.07488888888888888,0.08636157124354744,0.15877777777777777,0.08099946654297739,0.36,0.24055491403558288
csil,5,20,75,25,0.7816666666666666,0.13143791662197757,0.7498888888888889,0.1523427746486663,0.034166666666666665,0.019720265943665386,0.06387801058626381,0.03404110468048689,0.03177777777777778,0.03607331355194979,0.7717777777777778,0.11982930246143912,0.5064444444444445,0.15172204931028838,-0.021888888888888895,0.06859399246631688,0.24344444444444444,0.0765493466277525,0.4746666666666667,0.22156614262011143
csil,10,5,75,25,0.7994444444444445,0.12123846515070523,0.650888888888889,0.15109215567385634,0.33493333333333336,0.13112206357267092,0.41348802676499685,0.10283082964062128,0.14855555555555558,0.092299565960752,0.7717777777777778,0.11982930246143912,0.6191111111111112,0.14509111653979864,-0.12088888888888888,0.09310859185136036,0.03177777777777778,0.07995013878260641,0.25333333333333335,0.21959558789334138
csil,10,10,75,25,0.7994444444444445,0.12123846515070523,0.7136666666666667,0.1545701327098024,0.12340000000000001,0.06018947859330012,0.20055520971735782,0.07760086608141685,0.08577777777777779,0.06671905349122867,0.7717777777777778,0.11982930246143912,0.5598888888888889,0.14089458453261178,-0.05811111111111112,0.07852781216836884,0.15377777777777776,0.07253726160386574,0.4033333333333333,0.2552558629210219
csil,10,20,75,25,0.7994444444444445,0.12123846515070523,0.7724444444444444,0.13370762280087747,0.0289,0.015870517739926863,0.055075035607103154,0.02921879567260153,0.02700000000000001,0.02876597784678077,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.15384560161344382,0.0006666666666666613,0.054615830021056064,0.2388888888888889,0.0762711213410245,0.5173333333333333,0.20776482431398782
csil,20,5,75,25,0.8083333333333333,0.11158786606012255,0.653,0.1437567389724739,0.3528,0.12901224748061713,0.43073339405698635,0.09957067872553697,0.15533333333333335,0.08703596532043094,0.7717777777777778,0.11982930246143912,0.6315555555555555,0.14148873357407318,-0.11877777777777777,0.08481017292812676,0.021444444444444436,0.0713386983098459,0.25133333333333335,0.23394776245041446
csil,20,10,75,25,0.8083333333333333,0.11158786606012255,0.7234444444444444,0.1436088652306657,0.1302,0.05713982849116717,0.21168595701637852,0.07431386709117517,0.08488888888888889,0.06223749812484034,0.7717777777777778,0.11982930246143912,0.5727777777777778,0.13743236271340042,-0.04833333333333333,0.06645800679125628,0.15066666666666667,0.06053404306975019,0.42866666666666664,0.22600491636737072
csil,20,20,75,25,0.8083333333333333,0.11158786606012255,0.7788888888888889,0.12859161119270496,0.0302,0.018187724798152553,0.05725161975631606,0.03275878803801678,0.02944444444444444,0.03264095738126307,0.7717777777777778,0.11982930246143912,0.5551111111111111,0.14532144022013516,0.007111111111111112,0.04516827248751244,0.2237777777777778,0.06549941098594834,0.5353333333333333,0.20780974204519115
