method_label,method,new_class_count,cells,scenario_rows,no_leo_old_acc_before_increment_mean,leo_old_acc_before_increment_mean,delta_old_acc_before_increment_mean,no_leo_old_acc_after_increment_mean,leo_old_acc_after_increment_mean,delta_old_acc_after_increment_mean,no_leo_seen_new_acc_mean,leo_seen_new_acc_mean,delta_seen_new_acc_mean,no_leo_H_old_new_mean,leo_H_old_new_mean,delta_H_old_new_mean,no_leo_candidate_average_forgetting_mean,leo_candidate_average_forgetting_mean,delta_candidate_average_forgetting_mean,no_leo_min_old_class_acc_mean,leo_min_old_class_acc_mean,delta_min_old_class_acc_mean
CSIL,csil_official_repo,1,100,300,0.837,0.837,0.0,0.837,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.49399999999999994,0.0
CSIL,csil_official_repo,3,100,300,0.837,0.837,0.0,0.6277499999999999,0.6279444444444444,-0.00019444444444444446,0.11272222222222221,0.08511111111111111,0.02761111111111111,0.0,0.00034405561446918816,-0.00034405561446918816,0.20925,0.20905555555555555,0.00019444444444445004,0.3705,0.3705,0.0
CSIL,csil_official_repo,20,100,300,0.837,0.837,0.0,0.5064166666666667,0.38163888888888886,0.12477777777777779,0.04515,0.04075,0.0043999999999999985,0.03812057709254667,0.03416570739583456,0.003954869696712101,0.33058333333333334,0.45536111111111105,-0.12477777777777777,0.20983333333333334,0.16266666666666665,0.04716666666666667
MoPC-HR,mopc_hr_official_repo,1,100,300,0.8746666666666666,0.8746666666666666,0.0,0.7297777777777777,0.8078888888888889,-0.07811111111111112,0.24833333333333332,0.24133333333333334,0.007000000000000002,0.09560638011076628,0.18173237543383397,-0.0861259953230677,0.14691666666666667,0.06677777777777777,0.0801388888888889,0.39449999999999996,0.42183333333333334,-0.02733333333333333
MoPC-HR,mopc_hr_official_repo,3,100,300,0.8746666666666666,0.8746666666666666,0.0,0.7086111111111112,0.7266666666666667,-0.018055555555555554,0.3967222222222222,0.3047777777777778,0.09194444444444444,0.3097066741868939,0.2852491134641616,0.02445756072273233,0.17019444444444443,0.148,0.022194444444444444,0.26199999999999996,0.2861666666666666,-0.024166666666666666
MoPC-HR,mopc_hr_official_repo,5,100,300,0.8746666666666666,0.8746666666666666,0.0,0.4551111111111111,0.6139166666666667,-0.15880555555555556,0.6002333333333333,0.34373333333333334,0.2565,0.3076477491884236,0.3178413128992629,-0.010193563710839303,0.42238888888888887,0.26075,0.1616388888888889,0.13683333333333333,0.20983333333333332,-0.073
MoPC-HR,mopc_hr_official_repo,10,100,300,0.8746666666666666,0.8746666666666666,0.0,0.35608333333333336,0.5750555555555557,-0.2189722222222222,0.5518,0.24148333333333336,0.3103166666666667,0.21032349411714238,0.2634317308755248,-0.053108236758382395,0.5186944444444443,0.2996111111111111,0.21908333333333332,0.13,0.16649999999999998,-0.0365
MoPC-HR,mopc_hr_official_repo,25,100,300,0.8746666666666666,0.8746666666666666,0.0,0.29636111111111113,0.5638611111111111,-0.2675,0.4654933333333333,0.16419999999999998,0.30129333333333336,0.13862517430416207,0.21083324724431227,-0.07220807294015019,0.5846111111111111,0.31080555555555556,0.2738055555555556,0.11916666666666667,0.1345,-0.015333333333333336
