method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario,no_leo_old_acc_before_increment,leo_old_acc_before_increment,delta_old_acc_before_increment,no_leo_old_acc_after_increment,leo_old_acc_after_increment,delta_old_acc_after_increment,no_leo_seen_new_acc,leo_seen_new_acc,delta_seen_new_acc,no_leo_H_old_new,leo_H_old_new,delta_H_old_new,no_leo_candidate_average_forgetting,leo_candidate_average_forgetting,delta_candidate_average_forgetting,no_leo_min_old_class_acc,leo_min_old_class_acc,delta_min_old_class_acc
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,leo_clear_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.65,0.3333333333333333,0.3166666666666667,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,leo_low_elev_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.25000000000000006,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,leo_rain_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.65,0.3333333333333333,0.3166666666666667,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,leo_clear_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.0775,0.07,0.007499999999999993,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,leo_low_elev_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.06,0.05,0.009999999999999995,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,leo_rain_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.0775,0.05,0.027499999999999997,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,leo_clear_weak,0.825,0.825,0.0,0.0,0.6333333333333333,-0.6333333333333333,0.175,0.015,0.15999999999999998,0.0,0.02930591259640103,-0.02930591259640103,0.8250000000000001,0.19166666666666665,0.6333333333333334,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,leo_low_elev_weak,0.825,0.825,0.0,0.30833333333333335,0.4583333333333333,-0.14999999999999997,0.1175,0.055,0.06249999999999999,0.17015655577299413,0.09821428571428571,0.07194227005870842,0.5166666666666666,0.36666666666666664,0.14999999999999997,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,leo_rain_weak,0.825,0.825,0.0,0.475,0.16666666666666666,0.30833333333333335,0.0225,0.05,-0.027500000000000004,0.04296482412060301,0.07692307692307691,-0.0339582528024739,0.3500000000000001,0.6583333333333333,-0.30833333333333324,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,leo_clear_weak,0.825,0.825,0.0,0.6083333333333333,0.5,0.10833333333333328,0.01,0.05,-0.04,0.019676549865229112,0.09090909090909091,-0.0712325410438618,0.2166666666666667,0.32499999999999996,-0.10833333333333325,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,leo_low_elev_weak,0.825,0.825,0.0,0.475,0.5333333333333333,-0.05833333333333335,0.0475,0.0575,-0.010000000000000002,0.08636363636363636,0.10380818053596616,-0.017444544172329796,0.3500000000000001,0.29166666666666663,0.05833333333333346,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,leo_rain_weak,0.825,0.825,0.0,0.55,0.5083333333333333,0.04166666666666674,0.035,0.0325,0.0025000000000000022,0.06581196581196581,0.0610939907550077,0.004717975056958111,0.275,0.31666666666666665,-0.04166666666666663,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_1,20-1,713102,1,1,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_1,20-1,713102,1,1,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_1,20-1,713102,1,1,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_5,20-1,713102,1,5,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_5,20-1,713102,1,5,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_5,20-1,713102,1,5,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_10,20-1,713102,1,10,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_10,20-1,713102,1,10,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_10,20-1,713102,1,10,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_20,20-1,713102,1,20,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_20,20-1,713102,1,20,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
