method_label,method,new_class_count,k_shot,cells,scenario_rows,no_leo_old_acc_before_increment_mean,leo_old_acc_before_increment_mean,delta_old_acc_before_increment_mean,no_leo_old_acc_after_increment_mean,leo_old_acc_after_increment_mean,delta_old_acc_after_increment_mean,no_leo_seen_new_acc_mean,leo_seen_new_acc_mean,delta_seen_new_acc_mean,no_leo_H_old_new_mean,leo_H_old_new_mean,delta_H_old_new_mean,no_leo_candidate_average_forgetting_mean,leo_candidate_average_forgetting_mean,delta_candidate_average_forgetting_mean,no_leo_min_old_class_acc_mean,leo_min_old_class_acc_mean,delta_min_old_class_acc_mean
MoPC-HR,mopc_hr_official_repo,3,20,25,75,0.8746666666666666,0.8746666666666666,0.0,0.5441111111111111,0.4895555555555556,0.05455555555555556,0.9564444444444444,0.7146666666666667,0.24177777777777776,0.6808561548075951,0.5723100597021227,0.10854609510547238,0.33555555555555555,0.3851111111111111,-0.04955555555555555,0.0,0.0013333333333333335,-0.0013333333333333335
MoPC-HR,mopc_hr_official_repo,5,1,25,75,0.8746666666666666,0.8746666666666666,0.0,0.8746666666666666,0.8746666666666666,0.0,0.0,0.00013333333333333334,-0.00013333333333333334,0.0,0.00026350461133069827,-0.00026350461133069827,0.0,0.0,0.0,0.52,0.52,0.0
MoPC-HR,mopc_hr_official_repo,5,5,25,75,0.8746666666666666,0.8746666666666666,0.0,0.44,0.7744444444444445,-0.33444444444444443,0.5433333333333333,0.25653333333333334,0.2868,0.4471717665618492,0.3796614370320547,0.06751032952979456,0.4451111111111111,0.10022222222222223,0.3448888888888889,0.02733333333333333,0.31133333333333335,-0.28400000000000003
MoPC-HR,mopc_hr_official_repo,5,10,25,75,0.8746666666666666,0.8746666666666666,0.0,0.2757777777777778,0.47377777777777774,-0.19799999999999998,0.9090666666666666,0.5052,0.40386666666666665,0.41938542809430246,0.4805435243332015,-0.06115809623889909,0.5995555555555556,0.4008888888888889,0.19866666666666666,0.0,0.007333333333333334,-0.007333333333333334
MoPC-HR,mopc_hr_official_repo,5,20,25,75,0.8746666666666666,0.8746666666666666,0.0,0.23,0.3327777777777778,-0.10277777777777777,0.9485333333333333,0.6130666666666666,0.3354666666666667,0.36403380209754266,0.4108967856204646,-0.046862983522921974,0.6448888888888888,0.5418888888888889,0.10300000000000002,0.0,0.0006666666666666668,-0.0006666666666666668
MoPC-HR,mopc_hr_official_repo,10,1,25,75,0.8746666666666666,0.8746666666666666,0.0,0.8746666666666666,0.8746666666666666,0.0,0.0,6.666666666666667e-05,-6.666666666666667e-05,0.0,0.00013253810470510269,-0.00013253810470510269,0.0,0.0,0.0,0.52,0.52,0.0
MoPC-HR,mopc_hr_official_repo,10,5,25,75,0.8746666666666666,0.8746666666666666,0.0,0.2571111111111111,0.638,-0.3808888888888889,0.6328666666666667,0.2208,0.4120666666666667,0.3586203749776052,0.32300447986988495,0.03561589510772022,0.618,0.23666666666666666,0.3813333333333333,0.0,0.13666666666666666,-0.13666666666666666
MoPC-HR,mopc_hr_official_repo,10,10,25,75,0.8746666666666666,0.8746666666666666,0.0,0.15566666666666668,0.4468888888888889,-0.29122222222222227,0.7562666666666666,0.33146666666666663,0.4248,0.25292021084349675,0.3757463909613242,-0.12282618011782742,0.719,0.4277777777777778,0.2912222222222222,0.0,0.008666666666666666,-0.008666666666666666
MoPC-HR,mopc_hr_official_repo,10,20,25,75,0.8746666666666666,0.8746666666666666,0.0,0.13688888888888887,0.3406666666666667,-0.20377777777777778,0.8180666666666666,0.41359999999999997,0.4044666666666667,0.22975339064746764,0.3548435145661849,-0.1250901239187173,0.7377777777777778,0.5339999999999999,0.2037777777777778,0.0,0.0006666666666666668,-0.0006666666666666668
MoPC-HR,mopc_hr_official_repo,25,1,25,75,0.8746666666666666,0.8746666666666666,0.0,0.8397777777777778,0.8516666666666667,-0.011888888888888886,0.005306666666666667,0.006853333333333334,-0.0015466666666666667,0.010346825244781121,0.013521147546504932,-0.0031743223017238085,0.05977777777777778,0.023,0.03677777777777778,0.4766666666666667,0.4653333333333333,0.011333333333333332
MoPC-HR,mopc_hr_official_repo,25,5,25,75,0.8746666666666666,0.8746666666666666,0.0,0.18411111111111111,0.5873333333333333,-0.4032222222222222,0.5102133333333333,0.14824,0.3619733333333333,0.26657461545811195,0.23427864141853613,0.032295974039575806,0.6908888888888889,0.28733333333333333,0.40355555555555556,0.0,0.06,-0.06
MoPC-HR,mopc_hr_official_repo,25,10,25,75,0.8746666666666666,0.8746666666666666,0.0,0.09277777777777778,0.4498888888888889,-0.3571111111111111,0.6438133333333333,0.22306666666666666,0.42074666666666666,0.15685129832760064,0.29323055603121007,-0.1363792577036094,0.7818888888888889,0.4247777777777778,0.35711111111111116,0.0,0.009333333333333332,-0.009333333333333332
MoPC-HR,mopc_hr_official_repo,25,20,25,75,0.8746666666666666,0.8746666666666666,0.0,0.06877777777777777,0.3665555555555556,-0.29777777777777775,0.70264,0.27864,0.424,0.12072795818615459,0.302302643980998,-0.18157468579484334,0.805888888888889,0.5081111111111111,0.29777777777777775,0.0,0.0033333333333333335,-0.0033333333333333335
