method,scope,scene,dimension,value,total,correct,accuracy_pct,macro_f1_pct
FCR_ADV3B02,target168k,clean,receiver_tx,0:1,4000,1097,27.425,7.17415473154143
FCR_ADV3B02,target168k,clean,receiver_tx,0:2,4000,3133,78.325,14.640871068741532
FCR_ADV3B02,target168k,clean,receiver_tx,0:3,4000,3702,92.55,16.02181251622955
FCR_ADV3B02,target168k,clean,receiver_tx,0:4,4000,3989,99.725,16.643718446196853
FCR_ADV3B02,target168k,clean,receiver_tx,0:5,4000,3615,90.375,15.82403151674327
FCR_ADV3B02,target168k,clean,receiver_tx,10:0,4000,3967,99.175,16.597631898246938
FCR_ADV3B02,target168k,clean,receiver_tx,10:1,4000,2560,64.0,13.008130081300814
FCR_ADV3B02,target168k,clean,receiver_tx,10:2,4000,3213,80.325,14.848190766671287
FCR_ADV3B02,target168k,clean,receiver_tx,10:3,4000,1696,42.4,9.925093632958802
FCR_ADV3B02,target168k,clean,receiver_tx,10:4,4000,3999,99.97500000000001,16.664583072884113
FCR_ADV3B02,target168k,clean,receiver_tx,10:5,4000,3993,99.825,16.652070561741525
FCR_ADV3B02,target168k,clean,receiver_tx,11:0,4000,3506,87.64999999999999,15.569766409094946
FCR_ADV3B02,target168k,clean,receiver_tx,11:1,4000,2323,58.074999999999996,12.246296589171807
FCR_ADV3B02,target168k,clean,receiver_tx,11:2,4000,1392,34.8,8.6053412462908
FCR_ADV3B02,target168k,clean,receiver_tx,11:3,4000,3965,99.125,16.59342958777987
FCR_ADV3B02,target168k,clean,receiver_tx,11:4,4000,3999,99.97500000000001,16.664583072884113
FCR_ADV3B02,target168k,clean,receiver_tx,11:5,4000,3964,99.1,16.591327641051397
FCR_ADV3B02,target168k,clean,receiver_tx,2:0,4000,3711,92.77499999999999,16.042017896511478
FCR_ADV3B02,target168k,clean,receiver_tx,2:1,4000,1776,44.4,10.249307479224377
FCR_ADV3B02,target168k,clean,receiver_tx,2:2,4000,1002,25.05,6.67732906837265
FCR_ADV3B02,target168k,clean,receiver_tx,2:3,4000,32,0.8,0.26455026455026454
FCR_ADV3B02,target168k,clean,receiver_tx,2:4,4000,3997,99.925,16.660414322037433
FCR_ADV3B02,target168k,clean,receiver_tx,2:5,4000,3830,95.75,16.30481055768412
FCR_ADV3B02,target168k,clean,receiver_tx,5:0,4000,3386,84.65,15.281162559797815
FCR_ADV3B02,target168k,clean,receiver_tx,5:1,4000,2550,63.74999999999999,12.977099236641221
FCR_ADV3B02,target168k,clean,receiver_tx,5:2,4000,3830,95.75,16.30481055768412
FCR_ADV3B02,target168k,clean,receiver_tx,5:3,4000,3069,76.725,14.4716367237233
FCR_ADV3B02,target168k,clean,receiver_tx,5:4,4000,3997,99.925,16.660414322037433
FCR_ADV3B02,target168k,clean,receiver_tx,5:5,4000,3959,98.97500000000001,16.580809984503915
FCR_ADV3B02,target168k,clean,receiver_tx,7:0,4000,3422,85.55,15.368723614479476
FCR_ADV3B02,target168k,clean,receiver_tx,7:1,4000,2284,57.099999999999994,12.11542541905368
FCR_ADV3B02,target168k,clean,receiver_tx,7:2,4000,1940,48.5,10.886644219977553
FCR_ADV3B02,target168k,clean,receiver_tx,7:3,4000,1700,42.5,9.941520467836257
FCR_ADV3B02,target168k,clean,receiver_tx,7:4,4000,3990,99.75,16.64580725907384
FCR_ADV3B02,target168k,clean,receiver_tx,7:5,4000,3261,81.525,14.970389753477484
FCR_ADV3B02,target168k,clean,receiver_tx,9:0,4000,3477,86.925,15.500869332620034
FCR_ADV3B02,target168k,clean,receiver_tx,9:1,4000,1773,44.324999999999996,10.237311623072925
FCR_ADV3B02,target168k,clean,receiver_tx,9:2,4000,2855,71.375,13.882810600534889
FCR_ADV3B02,target168k,clean,receiver_tx,9:3,4000,3960,99.0,16.582914572864322
FCR_ADV3B02,target168k,clean,receiver_tx,9:4,4000,3998,99.95,16.662498958072852
FCR_ADV3B02,target168k,clean,receiver_tx,9:5,4000,2179,54.474999999999994,11.754868641096184
FCR_ADV3B02,target168k,clean,tx,0,28000,25439,90.85357142857143,15.867936650511174
FCR_ADV3B02,target168k,clean,tx,1,28000,14363,51.29642857142858,11.301528849861121
