scenario,split,group_type,group_key,receiver_label,receiver_index,transmitter_label,transmitter_index,day_label,day_index,sample_count,correct_count,accuracy,confusion_json
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,1-1,1-1,0,14-10,0,2021_03_01,0,18000,9104,50.577777777777776,"{""0->0"": 1961, ""0->1"": 136, ""0->2"": 40, ""0->3"": 851, ""0->4"": 12, ""1->0"": 1118, ""1->1"": 42, ""1->2"": 15, ""1->3"": 1824, ""1->4"": 1, ""2->0"": 385, ""2->1"": 19, ""2->2"": 2393, ""2->3"": 3, ""2->4"": 6, ""2->5"": 194, ""3->0"": 1219, ""3->1"": 11, ""3->2"": 1, ""3->3"": 1581, ""3->4"": 188, ""4->0"": 271, ""4->1"": 152, ""4->2"": 6, ""4->3"": 660, ""4->4"": 1910, ""4->5"": 1, ""5->0"": 84, ""5->1"": 291, ""5->2"": 788, ""5->3"": 48, ""5->4"": 572, ""5->5"": 1217}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,14-7,14-7,2,14-10,0,2021_03_01,0,18000,8634,47.96666666666667,"{""0->0"": 2886, ""0->1"": 24, ""0->3"": 83, ""0->4"": 7, ""1->0"": 847, ""1->1"": 406, ""1->3"": 1551, ""1->4"": 196, ""2->0"": 369, ""2->1"": 712, ""2->2"": 1339, ""2->3"": 157, ""2->4"": 195, ""2->5"": 228, ""3->0"": 404, ""3->1"": 1333, ""3->2"": 83, ""3->3"": 883, ""3->4"": 282, ""3->5"": 15, ""4->0"": 331, ""4->1"": 787, ""4->2"": 21, ""4->3"": 1207, ""4->4"": 653, ""4->5"": 1, ""5->0"": 3, ""5->2"": 500, ""5->4"": 30, ""5->5"": 2467}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,2-1,2-1,5,14-10,0,2021_03_01,0,18000,10877,60.42777777777778,"{""0->0"": 2478, ""0->1"": 149, ""0->2"": 53, ""0->3"": 168, ""0->4"": 138, ""0->5"": 14, ""1->0"": 1233, ""1->1"": 853, ""1->2"": 7, ""1->3"": 595, ""1->4"": 308, ""1->5"": 4, ""2->0"": 15, ""2->1"": 278, ""2->2"": 2636, ""2->3"": 57, ""2->4"": 11, ""2->5"": 3, ""3->0"": 252, ""3->1"": 580, ""3->2"": 4, ""3->3"": 1479, ""3->4"": 685, ""4->0"": 470, ""4->1"": 440, ""4->2"": 5, ""4->3"": 229, ""4->4"": 1856, ""5->0"": 21, ""5->1"": 1, ""5->2"": 658, ""5->3"": 32, ""5->4"": 713, ""5->5"": 1575}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,20-1,20-1,7,14-10,0,2021_03_01,0,18000,6354,35.3,"{""0->0"": 1600, ""0->1"": 941, ""0->2"": 4, ""0->3"": 384, ""0->4"": 71, ""1->0"": 379, ""1->1"": 201, ""1->2"": 88, ""1->3"": 2159, ""1->4"": 172, ""1->5"": 1, ""2->0"": 136, ""2->1"": 212, ""2->2"": 2205, ""2->3"": 341, ""2->4"": 67, ""2->5"": 39, ""3->0"": 1540, ""3->1"": 1010, ""3->2"": 4, ""3->3"": 343, ""3->4"": 102, ""3->5"": 1, ""4->0"": 111, ""4->1"": 232, ""4->2"": 111, ""4->3"": 2113, ""4->4"": 429, ""4->5"": 4, ""5->0"": 59, ""5->1"": 39, ""5->2"": 505, ""5->3"": 32, ""5->4"": 789, ""5->5"": 1576}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,7-14,7-14,9,14-10,0,2021_03_01,0,18000,12222,67.9,"{""0->0"": 2970, ""0->1"": 1, ""0->2"": 3, ""0->3"": 18, ""0->4"": 8, ""1->0"": 29, ""1->1"": 395, ""1->2"": 13, ""1->3"": 2323, ""1->4"": 240, ""2->0"": 181, ""2->1"": 289, ""2->2"": 1672, ""2->3"": 129, ""2->4"": 12, ""2->5"": 717, ""3->0"": 146, ""3->1"": 48, ""3->2"": 5, ""3->3"": 2653, ""3->4"": 148, ""4->0"": 28, ""4->1"": 2, ""4->2"": 1, ""4->3"": 125, ""4->4"": 2843, ""4->5"": 1, ""5->0"": 395, ""5->1"": 16, ""5->2"": 114, ""5->3"": 14, ""5->4"": 772, ""5->5"": 1689}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,7-7,7-7,10,14-10,0,2021_03_01,0,18000,9767,54.26111111111111,"{""0->0"": 1877, ""0->1"": 105, ""0->2"": 4, ""0->3"": 1006, ""0->4"": 8, ""1->0"": 1047, ""1->1"": 1133, ""1->3"": 793, ""1->4"": 27, ""2->0"": 368, ""2->1"": 9, ""2->2"": 2574, ""2->3"": 42, ""2->4"": 6, ""2->5"": 1, ""3->0"": 617, ""3->1"": 286, ""3->2"": 198, ""3->3"": 1559, ""3->4"": 324, ""3->5"": 16, ""4->0"": 7, ""4->1"": 1492, ""4->2"": 2, ""4->3"": 1135, ""4->4"": 364, ""5->0"": 155, ""5->1"": 1, ""5->2"": 377, ""5->3"": 2, ""5->4"": 205, ""5->5"": 2260}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,8-8,8-8,11,14-10,0,2021_03_01,0,18000,11810,65.61111111111111,"{""0->0"": 1727, ""0->1"": 15, ""0->2"": 43, ""0->3"": 1207, ""0->4"": 8, ""1->0"": 382, ""1->1"": 454, ""1->2"": 2, ""1->3"": 2161, ""1->4"": 1, ""2->0"": 454, ""2->1"": 59, ""2->2"": 1935, ""2->3"": 468, ""2->4"": 48, ""2->5"": 36, ""3->0"": 187, ""3->1"": 14, ""3->3"": 2781, ""3->4"": 18, ""4->0"": 34, ""4->1"": 305, ""4->2"": 1, ""4->3"": 602, ""4->4"": 2058, ""5->0"": 45, ""5->1"": 1, ""5->2"": 18, ""5->3"": 2, ""5->4"": 79, ""5->5"": 2855}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,14-10,1-1,0,14-10,0,2021_03_01,0,21000,15499,73.8047619047619,"{""0->0"": 15499, ""0->1"": 1371, ""0->2"": 147, ""0->3"": 3717, ""0->4"": 252, ""0->5"": 14}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,14-7,1-1,0,14-7,1,2021_03_01,0,21000,3484,16.590476190476192,"{""1->0"": 5035, ""1->1"": 3484, ""1->2"": 125, ""1->3"": 11406, ""1->4"": 945, ""1->5"": 5}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,20-15,1-1,0,20-15,2,2021_03_01,0,21000,14754,70.25714285714285,"{""2->0"": 1908, ""2->1"": 1578, ""2->2"": 14754, ""2->3"": 1197, ""2->4"": 345, ""2->5"": 1218}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,20-19,1-1,0,20-19,3,2021_03_01,0,21000,11279,53.70952380952381,"{""3->0"": 4365, ""3->1"": 3282, ""3->2"": 295, ""3->3"": 11279, ""3->4"": 1747, ""3->5"": 32}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,6-15,1-1,0,6-15,4,2021_03_01,0,21000,10113,48.15714285714286,"{""4->0"": 1252, ""4->1"": 3410, ""4->2"": 147, ""4->3"": 6071, ""4->4"": 10113, ""4->5"": 7}"
