run,row,scope,updates,scene,dimension,value,accuracy_pct
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,2,40.233333333333334
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,3,4.2
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,4,13.066666666666665
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,5,52.36666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,overall,all,49.63333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,0,42.46666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,1,51.43333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,2,24.73333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,3,57.06666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,4,100.0
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,5,22.1
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,overall,all,21.983333333333334
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,0,61.633333333333326
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,1,3.5333333333333337
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,2,2.2333333333333334
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,3,19.566666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,4,17.766666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,5,27.166666666666668
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,overall,all,22.005555555555556
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,0,67.4
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,1,2.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,2,1.5666666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,3,16.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,4,17.466666666666665
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,5,26.200000000000003
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,overall,all,23.961111111111112
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,0,71.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,1,2.833333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,2,1.9333333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,3,17.366666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,4,17.533333333333335
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,5,32.4
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,overall,all,57.544444444444444
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,0,75.1
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,1,37.46666666666666
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,2,41.16666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,3,24.766666666666666
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,4,98.96666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,clean,tx,5,67.80000000000001
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,overall,all,29.76111111111111
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,0,9.033333333333333
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,1,27.700000000000003
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,2,55.7
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,3,19.5
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,4,16.866666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_clear_weak,tx,5,49.766666666666666
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,overall,all,28.866666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,0,5.3
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,1,24.73333333333333
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,2,60.93333333333333
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,3,18.099999999999998
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,4,18.133333333333333
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_low_elev_weak,tx,5,46.0
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,overall,all,29.76666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,0,4.466666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,1,24.433333333333334
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,2,64.0
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,3,19.6
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,4,16.866666666666667
BiCAD_Quick24_r3,D0-F8-S392001,source_LORO,5000,leo_rain_weak,tx,5,49.233333333333334
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,overall,all,52.41111111111111
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,0,69.3
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,1,56.06666666666666
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,2,10.466666666666667
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,3,30.766666666666666
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,4,79.63333333333334
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,clean,tx,5,68.23333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,overall,all,29.055555555555557
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,0,40.766666666666666
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,1,10.2
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,2,55.7
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,3,9.6
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,4,9.733333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_clear_weak,tx,5,48.333333333333336
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,overall,all,28.01111111111111
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,0,32.7
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,1,6.033333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,2,61.23333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,3,11.566666666666666
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,4,11.0
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_low_elev_weak,tx,5,45.53333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,overall,all,28.76666666666667
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,0,35.3
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,1,8.033333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,2,61.8
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,3,11.633333333333333
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,4,10.333333333333334
BiCAD_Quick24_r3,D0-F8-S392002,source_LORO,5000,leo_rain_weak,tx,5,45.5
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,overall,all,56.44444444444444
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,0,65.7
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,1,42.63333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,2,29.133333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,3,29.5
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,4,89.76666666666667
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,clean,tx,5,81.93333333333334
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,overall,all,34.77777777777778
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,0,11.566666666666666
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,1,42.93333333333334
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,2,61.66666666666667
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,3,7.166666666666667
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,4,12.133333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_clear_weak,tx,5,73.2
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,overall,all,32.67777777777778
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,0,8.7
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,1,38.666666666666664
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,2,63.93333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,3,6.833333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,4,9.966666666666667
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_low_elev_weak,tx,5,67.96666666666667
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,overall,all,32.88333333333333
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,0,9.1
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,1,36.46666666666666
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,2,64.43333333333334
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,3,6.2
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,4,10.833333333333334
BiCAD_Quick24_r3,D0-F8-S392003,source_LORO,5000,leo_rain_weak,tx,5,70.26666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,overall,all,58.45555555555556
