run,epoch,train_loss,source_val_clean_pct,optimizer_accepted,grad_skips,sat_ce,proxy_unknown,source_episode,prototype,pseudo_selected,pseudo_total,unlabeled_unique_samples
FCR,1,16.929469478373626,30.71851851851852,48,1,0.0,0.0,0.0,0.2871453623686518,0.0,0.0,
FCR,2,16.315240606969716,39.522222222222226,49,0,0.0,0.0,0.0,0.2522788683370668,0.0,0.0,
FCR,3,15.29719994992626,50.15925925925926,49,0,0.0,0.0,0.0,0.258684583160342,0.0,0.0,
FCR,4,13.500893184116908,64.56666666666666,49,0,0.0,0.0,0.0,0.28156811911232615,0.0,0.0,
FCR,5,11.789980771590253,73.9037037037037,49,0,0.0,0.0,0.0,0.30811382738911375,0.0,0.0,
FCR,6,11.355600940937899,81.85555555555555,47,2,0.0,0.0,0.0,0.32691735090041646,0.0,0.0,
FCR,7,10.383248251311633,85.00740740740741,49,0,0.0,0.0,0.0,0.33757160938515957,0.0,0.0,
FCR,8,9.679299841121752,81.5111111111111,49,0,0.0,0.0,0.0,0.3476830009295016,0.0,0.0,
FCR,9,9.257368788427236,87.32592592592593,49,0,0.0,0.0,0.0,0.3666435674745209,0.0,0.0,
FCR,10,8.495031162184112,87.78148148148148,49,0,0.0,0.0,0.0,0.3857158294745854,0.0,0.0,
FCR,11,8.46511426263926,88.6037037037037,49,0,0.0,0.0,0.0,0.40666933874694666,0.0,0.0,
FCR,12,7.912007808685303,89.68148148148148,49,0,0.0,0.0,0.0,0.4014236312739703,0.0,0.0,
FCR,13,7.522609666902191,90.42592592592592,49,0,0.0,0.0,0.0,0.3890297090520664,0.0,0.0,
FCR,14,8.139916809237732,90.60740740740741,49,0,0.0,0.0,0.0,0.4156214825961055,0.0,0.0,
FCR,15,7.931434154510498,90.65185185185184,49,0,0.0,0.0,0.0,0.4127913774276266,0.0,0.0,
FCR,16,8.158297149502502,91.25185185185185,49,0,0.0,0.0,0.0,0.41558089122480274,0.0,0.0,
FCR,17,8.164486544472831,91.65185185185184,49,0,0.0,0.0,0.0,0.4193561125774773,0.0,0.0,
FCR,18,8.749001172124123,91.68518518518519,49,0,0.0,0.0,0.0,0.4280533711520993,0.0,0.0,
FCR,19,7.437032397912473,91.73333333333333,49,0,0.0,0.0,0.0,0.3952937612728197,0.0,0.0,
FCR,20,6.880019946974151,92.16296296296296,49,0,0.0,0.0,0.11715672818981872,0.38198285686726474,0.0,0.0,
FCR,21,7.553361766192378,92.58518518518518,49,0,0.0,0.0,0.11826595481561154,0.4070070702202466,0.0,0.0,
FCR,22,8.340281807646459,92.11481481481482,49,0,0.0,0.0,0.10897795977641125,0.42634304141511725,0.0,0.0,
FCR,23,7.814638692505506,92.27407407407408,49,0,0.0,0.0,0.11737171302036363,0.4105891481954224,0.0,0.0,
FCR,24,7.206769446937406,92.45925925925926,49,0,0.0,0.0,0.11268779255297719,0.3930133423026727,0.0,0.0,
FCR,25,7.965183024503747,92.1962962962963,49,0,0.0,0.0,0.11442656921488899,0.42443097306757555,0.0,0.0,
FCR,26,7.484023571014404,92.7925925925926,49,0,0.0,0.0,0.11215426058185343,0.4178796824143857,0.0,0.0,
FCR,27,6.833920371775725,94.17037037037036,49,0,0.0,0.0,0.11465353009348013,0.3985472272853462,0.0,0.0,
FCR,28,6.2423383703037185,94.42222222222222,49,0,0.0,0.0,0.11030230154188311,0.373186463604168,0.0,0.0,
FCR,29,7.358114860495743,93.66666666666667,48,1,0.0,0.0,0.1128654625190764,0.3955011781381101,0.0,0.0,
FCR,30,6.826639301922857,94.8,49,0,0.0,0.0,0.10921180917292225,0.3865226239574199,0.0,0.0,
FCR,31,8.053289097182605,94.08148148148148,49,0,0.0,0.0,0.10991139451459962,0.4340402818455988,0.0,0.0,
FCR,32,5.822835849255932,94.76666666666667,49,0,0.0,0.0,0.10735438756492673,0.3602712713942236,0.0,0.0,
FCR,33,6.547081908401178,94.88148148148149,49,0,0.0,0.0,0.10493022948503494,0.385136929093575,0.0,0.0,
FCR,34,6.561789653739151,95.12592592592593,49,0,0.0,0.0,0.10496108340365547,0.38602265046567336,0.0,0.0,
FCR,35,6.858268406926369,94.62592592592593,49,0,0.0,0.0,0.10741644801229847,0.40072215941487527,0.0,0.0,
FCR,36,6.635123763765607,94.54074074074074,49,0,0.0,0.0,0.10414171994340662,0.3881537056699091,0.0,0.0,
FCR,37,6.724292429126039,95.27777777777777,49,0,0.0,0.0,0.10703604873649929,0.39704832434654236,0.0,0.0,
FCR,38,6.569337893505486,94.7074074074074,49,0,0.0,0.0,0.1060422677166608,0.38031069660673333,0.0,0.0,
FCR,39,6.516493563749353,94.99259259259259,49,0,0.0,0.0,0.10123235382595841,0.38134713318883157,0.0,0.0,
FCR,40,5.968411737558793,95.11851851851851,49,0,0.0,0.0,0.10155128771249129,0.3620426417613516,0.0,0.0,
FCR,41,5.814638585460429,95.34814814814816,49,0,0.0,0.0,0.09300930649802393,0.3564904435556762,0.0,0.0,
FCR,42,6.1637933838124175,94.42222222222222,49,0,0.0,0.0,0.10574908220038122,0.3708793326300018,0.0,0.0,
FCR,43,4.689326884795208,94.7925925925926,49,0,0.0,0.0,0.08853432825025247,0.3029897574867521,0.0,0.0,
FCR,44,6.666511151255394,95.36666666666666,49,0,0.0,0.0,0.10573950022154925,0.38577903867984303,0.0,0.0,
FCR,45,6.001765664742917,94.80740740740741,49,0,0.0,8.890273133102728,0.10002718873474063,0.3630802813841372,0.0,0.0,
FCR,46,7.371641300162491,95.41851851851852,49,0,0.0,9.976985454559326,0.10056623360332177,0.40267739308123685,0.0,0.0,
FCR,47,5.959166886855145,95.27407407407408,49,0,0.0,9.217309951782227,0.09228459776056055,0.361806469304221,0.0,0.0,
