run,scope,scene,dimension,value,total,accuracy_pct
B0_392002,source_V_27000,leo_clear_weak,tx,3,4500,82.91111111111111
B0_392002,source_V_27000,leo_clear_weak,tx,4,4500,96.44444444444444
B0_392002,source_V_27000,leo_clear_weak,tx,5,4500,98.53333333333333
B0_392002,source_V_27000,leo_low_elev_weak,overall,all,27000,85.48518518518519
B0_392002,source_V_27000,leo_low_elev_weak,receiver,1,5400,90.5925925925926
B0_392002,source_V_27000,leo_low_elev_weak,receiver,3,5400,76.27777777777777
B0_392002,source_V_27000,leo_low_elev_weak,receiver,4,5400,87.62962962962963
B0_392002,source_V_27000,leo_low_elev_weak,receiver,6,5400,91.83333333333333
B0_392002,source_V_27000,leo_low_elev_weak,receiver,8,5400,81.0925925925926
B0_392002,source_V_27000,leo_low_elev_weak,day,1,9000,84.28888888888889
B0_392002,source_V_27000,leo_low_elev_weak,day,2,9000,87.37777777777778
B0_392002,source_V_27000,leo_low_elev_weak,day,3,9000,84.78888888888889
B0_392002,source_V_27000,leo_low_elev_weak,tx,0,4500,75.97777777777777
B0_392002,source_V_27000,leo_low_elev_weak,tx,1,4500,76.42222222222223
B0_392002,source_V_27000,leo_low_elev_weak,tx,2,4500,92.37777777777778
B0_392002,source_V_27000,leo_low_elev_weak,tx,3,4500,74.33333333333333
B0_392002,source_V_27000,leo_low_elev_weak,tx,4,4500,96.17777777777778
B0_392002,source_V_27000,leo_low_elev_weak,tx,5,4500,97.62222222222222
B0_392002,source_V_27000,leo_rain_weak,overall,all,27000,85.58148148148148
B0_392002,source_V_27000,leo_rain_weak,receiver,1,5400,92.14814814814815
B0_392002,source_V_27000,leo_rain_weak,receiver,3,5400,76.5
B0_392002,source_V_27000,leo_rain_weak,receiver,4,5400,87.64814814814815
B0_392002,source_V_27000,leo_rain_weak,receiver,6,5400,90.81481481481481
B0_392002,source_V_27000,leo_rain_weak,receiver,8,5400,80.7962962962963
B0_392002,source_V_27000,leo_rain_weak,day,1,9000,85.27777777777777
B0_392002,source_V_27000,leo_rain_weak,day,2,9000,86.91111111111111
B0_392002,source_V_27000,leo_rain_weak,day,3,9000,84.55555555555556
B0_392002,source_V_27000,leo_rain_weak,tx,0,4500,78.60000000000001
B0_392002,source_V_27000,leo_rain_weak,tx,1,4500,74.11111111111111
B0_392002,source_V_27000,leo_rain_weak,tx,2,4500,92.93333333333334
B0_392002,source_V_27000,leo_rain_weak,tx,3,4500,73.6888888888889
B0_392002,source_V_27000,leo_rain_weak,tx,4,4500,95.82222222222222
B0_392002,source_V_27000,leo_rain_weak,tx,5,4500,98.33333333333333
B0_392003,source_V_27000,clean,overall,all,27000,98.01851851851852
B0_392003,source_V_27000,clean,receiver,1,5400,99.5
B0_392003,source_V_27000,clean,receiver,3,5400,94.96296296296296
B0_392003,source_V_27000,clean,receiver,4,5400,98.62962962962963
B0_392003,source_V_27000,clean,receiver,6,5400,99.46296296296296
B0_392003,source_V_27000,clean,receiver,8,5400,97.53703703703704
B0_392003,source_V_27000,clean,day,1,9000,98.08888888888889
B0_392003,source_V_27000,clean,day,2,9000,98.41111111111111
B0_392003,source_V_27000,clean,day,3,9000,97.55555555555556
B0_392003,source_V_27000,clean,tx,0,4500,98.82222222222222
B0_392003,source_V_27000,clean,tx,1,4500,97.17777777777778
B0_392003,source_V_27000,clean,tx,2,4500,99.37777777777778
B0_392003,source_V_27000,clean,tx,3,4500,95.08888888888889
B0_392003,source_V_27000,clean,tx,4,4500,98.6
B0_392003,source_V_27000,clean,tx,5,4500,99.04444444444445
B0_392003,source_V_27000,leo_clear_weak,overall,all,27000,89.48518518518519
B0_392003,source_V_27000,leo_clear_weak,receiver,1,5400,91.24074074074075
B0_392003,source_V_27000,leo_clear_weak,receiver,3,5400,81.44444444444444
B0_392003,source_V_27000,leo_clear_weak,receiver,4,5400,94.44444444444444
B0_392003,source_V_27000,leo_clear_weak,receiver,6,5400,95.27777777777777
B0_392003,source_V_27000,leo_clear_weak,receiver,8,5400,85.01851851851852
B0_392003,source_V_27000,leo_clear_weak,day,1,9000,89.33333333333333
B0_392003,source_V_27000,leo_clear_weak,day,2,9000,91.11111111111111
B0_392003,source_V_27000,leo_clear_weak,day,3,9000,88.0111111111111
B0_392003,source_V_27000,leo_clear_weak,tx,0,4500,92.95555555555556
B0_392003,source_V_27000,leo_clear_weak,tx,1,4500,78.55555555555556
B0_392003,source_V_27000,leo_clear_weak,tx,2,4500,98.15555555555555
