comparison,scene,receiver,baseline_pct,candidate_pct,delta_pp,contribution_overall_pp
GAME_B0-FCR_ADV3B02,clean,0,81.27499999999999,80.0,-1.2749999999999915,-0.1821428571428559
GAME_B0-FCR_ADV3B02,clean,2,59.78333333333333,54.333333333333336,-5.449999999999996,-0.7785714285714279
GAME_B0-FCR_ADV3B02,clean,5,86.62916666666666,86.87916666666666,0.25,0.03571428571428571
GAME_B0-FCR_ADV3B02,clean,7,69.15416666666667,72.93333333333332,3.7791666666666544,0.5398809523809506
GAME_B0-FCR_ADV3B02,clean,9,76.00833333333334,67.17083333333333,-8.837500000000006,-1.2625000000000008
GAME_B0-FCR_ADV3B02,clean,10,80.95,83.57083333333334,2.620833333333337,0.37440476190476246
GAME_B0-FCR_ADV3B02,clean,11,79.7875,75.6625,-4.125,-0.5892857142857143
GAME_B0-FCR_ADV3B02,leo_clear_weak,0,71.50833333333333,74.53333333333333,3.0250000000000057,0.43214285714285794
GAME_B0-FCR_ADV3B02,leo_clear_weak,2,40.295833333333334,43.69583333333333,3.3999999999999986,0.4857142857142855
GAME_B0-FCR_ADV3B02,leo_clear_weak,5,72.17083333333333,73.9875,1.8166666666666629,0.259523809523809
GAME_B0-FCR_ADV3B02,leo_clear_weak,7,47.12083333333334,49.82083333333333,2.6999999999999957,0.3857142857142851
GAME_B0-FCR_ADV3B02,leo_clear_weak,9,69.02916666666667,66.37083333333334,-2.6583333333333314,-0.37976190476190447
GAME_B0-FCR_ADV3B02,leo_clear_weak,10,66.10416666666666,69.80416666666667,3.700000000000017,0.528571428571431
GAME_B0-FCR_ADV3B02,leo_clear_weak,11,63.34583333333333,62.35000000000001,-0.9958333333333229,-0.14226190476190329
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,0,67.49583333333334,71.69583333333334,4.200000000000003,0.6000000000000004
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,2,41.4875,44.8625,3.375,0.48214285714285715
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,5,70.07916666666667,72.00833333333333,1.92916666666666,0.27559523809523717
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,7,46.77916666666667,47.833333333333336,1.0541666666666671,0.15059523809523817
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,9,67.35,65.55416666666667,-1.79583333333332,-0.25654761904761714
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,10,62.50416666666667,66.62916666666666,4.124999999999993,0.5892857142857133
GAME_B0-FCR_ADV3B02,leo_low_elev_weak,11,61.416666666666664,60.762499999999996,-0.6541666666666686,-0.09345238095238122
GAME_B0-FCR_ADV3B02,leo_rain_weak,0,67.30416666666666,70.61666666666667,3.312500000000014,0.47321428571428775
GAME_B0-FCR_ADV3B02,leo_rain_weak,2,41.4375,45.0375,3.6000000000000014,0.5142857142857145
GAME_B0-FCR_ADV3B02,leo_rain_weak,5,69.8,71.89999999999999,2.0999999999999943,0.2999999999999992
GAME_B0-FCR_ADV3B02,leo_rain_weak,7,45.93333333333333,47.925000000000004,1.9916666666666742,0.2845238095238106
GAME_B0-FCR_ADV3B02,leo_rain_weak,9,66.99583333333334,65.08333333333334,-1.9124999999999943,-0.2732142857142849
GAME_B0-FCR_ADV3B02,leo_rain_weak,10,62.99583333333333,66.28333333333333,3.2875000000000014,0.46964285714285736
GAME_B0-FCR_ADV3B02,leo_rain_weak,11,61.77916666666666,61.09166666666667,-0.6874999999999929,-0.0982142857142847
CROSS_U0-FCR_ADV3B02,clean,0,81.27499999999999,80.25416666666666,-1.0208333333333286,-0.14583333333333265
CROSS_U0-FCR_ADV3B02,clean,2,59.78333333333333,57.087500000000006,-2.6958333333333258,-0.38511904761904653
CROSS_U0-FCR_ADV3B02,clean,5,86.62916666666666,85.7625,-0.86666666666666,-0.12380952380952286
CROSS_U0-FCR_ADV3B02,clean,7,69.15416666666667,65.09583333333333,-4.058333333333337,-0.5797619047619053
CROSS_U0-FCR_ADV3B02,clean,9,76.00833333333334,76.22916666666667,0.22083333333333144,0.031547619047618776
CROSS_U0-FCR_ADV3B02,clean,10,80.95,80.67916666666666,-0.2708333333333428,-0.038690476190477545
CROSS_U0-FCR_ADV3B02,clean,11,79.7875,78.01666666666667,-1.7708333333333286,-0.2529761904761898
CROSS_U0-FCR_ADV3B02,leo_clear_weak,0,71.50833333333333,67.83333333333333,-3.674999999999997,-0.5249999999999996
CROSS_U0-FCR_ADV3B02,leo_clear_weak,2,40.295833333333334,38.09166666666667,-2.2041666666666657,-0.31488095238095226
CROSS_U0-FCR_ADV3B02,leo_clear_weak,5,72.17083333333333,72.42083333333333,0.25,0.03571428571428571
CROSS_U0-FCR_ADV3B02,leo_clear_weak,7,47.12083333333334,48.541666666666664,1.4208333333333272,0.2029761904761896
CROSS_U0-FCR_ADV3B02,leo_clear_weak,9,69.02916666666667,66.8,-2.2291666666666714,-0.31845238095238165
CROSS_U0-FCR_ADV3B02,leo_clear_weak,10,66.10416666666666,64.89583333333333,-1.2083333333333286,-0.17261904761904695
CROSS_U0-FCR_ADV3B02,leo_clear_weak,11,63.34583333333333,62.454166666666666,-0.8916666666666657,-0.12738095238095223
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,0,67.49583333333334,65.4,-2.0958333333333314,-0.2994047619047616
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,2,41.4875,38.729166666666664,-2.758333333333333,-0.394047619047619
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,5,70.07916666666667,69.7,-0.3791666666666629,-0.05416666666666613
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,7,46.77916666666667,47.354166666666664,0.5749999999999957,0.08214285714285653
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,9,67.35,65.50416666666666,-1.8458333333333314,-0.2636904761904759
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,10,62.50416666666667,61.354166666666664,-1.1500000000000057,-0.1642857142857151
CROSS_U0-FCR_ADV3B02,leo_low_elev_weak,11,61.416666666666664,60.420833333333334,-0.99583333333333,-0.14226190476190428
CROSS_U0-FCR_ADV3B02,leo_rain_weak,0,67.30416666666666,63.9625,-3.3416666666666615,-0.47738095238095163
CROSS_U0-FCR_ADV3B02,leo_rain_weak,2,41.4375,38.9875,-2.450000000000003,-0.3500000000000004
CROSS_U0-FCR_ADV3B02,leo_rain_weak,5,69.8,70.97916666666667,1.1791666666666742,0.16845238095238205
CROSS_U0-FCR_ADV3B02,leo_rain_weak,7,45.93333333333333,48.016666666666666,2.0833333333333357,0.29761904761904795
CROSS_U0-FCR_ADV3B02,leo_rain_weak,9,66.99583333333334,66.20416666666667,-0.7916666666666714,-0.11309523809523878
CROSS_U0-FCR_ADV3B02,leo_rain_weak,10,62.99583333333333,62.06666666666667,-0.92916666666666,-0.1327380952380943
CROSS_U0-FCR_ADV3B02,leo_rain_weak,11,61.77916666666666,60.875,-0.9041666666666615,-0.12916666666666593
