delta_ci95_high,delta_ci95_low,delta_max,delta_mean,delta_min,delta_n,delta_std,method,receiver,target_old_accuracy_ci95_high,target_old_accuracy_ci95_low,target_old_accuracy_max,target_old_accuracy_mean,target_old_accuracy_min,target_old_accuracy_n,target_old_accuracy_std
0.130387365594147,0.095612634405853,0.19444444444444442,0.113,0.03888888888888886,25,0.04435552447486479,dadda_sda,20-1,0.7782172070508265,0.7400050151713956,0.85,0.7591111111111111,0.65,25,0.04874004066253954
0.06774422446554444,0.031811331090011094,0.1388888888888889,0.04977777777777777,-0.041666666666666664,25,0.045832772162670087,dadda_sda,3-19,0.6691954903645073,0.6370267318577151,0.7277777777777779,0.6531111111111112,0.5777777777777778,25,0.041031579728051236
0.002537730715054388,-0.0049821751594988205,0.025000000000000022,-0.0012222222222222161,-0.016666666666666607,25,0.009591716676726031,dadda_sda,7-14,0.9083140815584606,0.890352585108206,0.9472222222222223,0.8993333333333333,0.8694444444444445,25,0.022910072002875856
0.03329231054451848,0.012041022788814828,0.06944444444444442,0.022666666666666654,-0.025000000000000022,25,0.02710623438227507,dadda_sda,7-7,0.8339637614463498,0.815814016331428,0.8611111111111112,0.8248888888888889,0.7777777777777777,25,0.023150185095563484
0.0688180611734487,0.037626383270995774,0.11944444444444446,0.05322222222222224,-0.019444444444444414,25,0.03978530344700629,dadda_sda,8-8,0.79694667771171,0.7650533222882898,0.8416666666666668,0.7809999999999999,0.686111111111111,25,0.04068030028497481
0.208681263187078,0.16776318125736647,0.2861111111111111,0.18822222222222224,0.09444444444444444,25,0.052191431032795305,mrior_sda,20-1,0.8553911607100396,0.8132755059566271,0.9166666666666666,0.8343333333333334,0.7055555555555556,25,0.053718947389556834
0.11440812391830002,0.0600363205261444,0.20277777777777772,0.08722222222222221,-0.044444444444444474,25,0.06935179004101483,mrior_sda,3-19,0.7167115642366112,0.6643995468745,0.7999999999999999,0.6905555555555556,0.5638888888888888,25,0.0667245119414684
0.007282736583076933,-0.009727181027521355,0.04722222222222224,-0.0012222222222222105,-0.030555555555555596,25,0.02169632348290598,mrior_sda,7-14,0.9072871927635339,0.8913794739031328,0.9416666666666668,0.8993333333333333,0.875,25,0.020290457730103552
0.08223902486347073,0.04887208624764036,0.1333333333333333,0.06555555555555555,-0.016666666666666646,25,0.04255987068345712,mrior_sda,7-7,0.8841714933256644,0.8513840622298912,0.9444444444444443,0.8677777777777778,0.7972222222222222,25,0.04182070292828225
0.1294642086903485,0.08875801353187374,0.1944444444444445,0.10911111111111112,0.013888888888888914,25,0.051921167293972934,mrior_sda,8-8,0.8563815207352121,0.8173962570425655,0.9083333333333333,0.8368888888888888,0.7194444444444444,25,0.04972610164878386
-0.012639217865164233,-0.060027448801502424,0.030555555555555596,-0.03633333333333333,-0.17777777777777773,25,0.06044417211267626,protonet_cda,20-1,0.6341019567762686,0.5854535987792872,0.7027777777777778,0.6097777777777779,0.4611111111111112,25,0.06205147703696615
-0.09115288390224925,-0.14551378276441745,-0.01666666666666668,-0.11833333333333335,-0.2972222222222222,25,0.06933788120174515,protonet_cda,3-19,0.517094526666946,0.452905473333054,0.6,0.485,0.27777777777777773,25,0.08187379251771941
-0.04740987259683718,-0.08303457184760726,-0.011111111111111183,-0.06522222222222222,-0.20000000000000004,25,0.04543966741169654,protonet_cda,7-14,0.8538111072359186,0.816855559430748,0.9249999999999999,0.8353333333333333,0.7361111111111112,25,0.04713717832292163
-0.035717481734446756,-0.0725047404877755,-0.0027777777777778048,-0.054111111111111124,-0.20555555555555557,25,0.046922523920062166,protonet_cda,7-7,0.7659528360549385,0.7302693861672837,0.7888888888888889,0.7481111111111111,0.6222222222222222,25,0.045514604448539324
-0.03881612141396511,-0.08829498969714598,0.022222222222222254,-0.06355555555555555,-0.21111111111111114,25,0.06311080138160825,protonet_cda,8-8,0.6893755555555556,0.6390688888888889,0.7583333333333333,0.6642222222222223,0.5194444444444444,25,0.06416666666666668
