before_accuracy,delta,k_shot,method,receiver,scenario,seed,target_old_accuracy
0.6833333333333333,0.07499999999999996,1,dadda_sda,20-1,leo_clear_weak,713101,0.7583333333333333
0.5916666666666667,0.016666666666666607,1,dadda_sda,20-1,leo_low_elev_weak,713101,0.6083333333333333
0.5583333333333333,0.025000000000000022,1,dadda_sda,20-1,leo_rain_weak,713101,0.5833333333333334
0.6833333333333333,0.125,1,mrior_sda,20-1,leo_clear_weak,713101,0.8083333333333333
0.5916666666666667,0.09999999999999998,1,mrior_sda,20-1,leo_low_elev_weak,713101,0.6916666666666667
0.5583333333333333,0.05833333333333335,1,mrior_sda,20-1,leo_rain_weak,713101,0.6166666666666667
0.6833333333333333,-0.14166666666666672,1,protonet_cda,20-1,leo_clear_weak,713101,0.5416666666666666
0.5916666666666667,-0.06666666666666665,1,protonet_cda,20-1,leo_low_elev_weak,713101,0.525
0.5583333333333333,-0.10000000000000003,1,protonet_cda,20-1,leo_rain_weak,713101,0.4583333333333333
0.6833333333333333,0.15000000000000002,10,dadda_sda,20-1,leo_clear_weak,713101,0.8333333333333334
0.5916666666666667,0.19999999999999996,10,dadda_sda,20-1,leo_low_elev_weak,713101,0.7916666666666666
0.5583333333333333,0.1416666666666666,10,dadda_sda,20-1,leo_rain_weak,713101,0.7
0.6833333333333333,0.2583333333333333,10,mrior_sda,20-1,leo_clear_weak,713101,0.9416666666666667
0.5916666666666667,0.25,10,mrior_sda,20-1,leo_low_elev_weak,713101,0.8416666666666667
0.5583333333333333,0.2666666666666666,10,mrior_sda,20-1,leo_rain_weak,713101,0.825
0.6833333333333333,-0.050000000000000044,10,protonet_cda,20-1,leo_clear_weak,713101,0.6333333333333333
0.5916666666666667,0.06666666666666665,10,protonet_cda,20-1,leo_low_elev_weak,713101,0.6583333333333333
0.5583333333333333,0.05833333333333335,10,protonet_cda,20-1,leo_rain_weak,713101,0.6166666666666667
0.6833333333333333,0.04166666666666663,2,dadda_sda,20-1,leo_clear_weak,713101,0.725
0.5916666666666667,0.15833333333333333,2,dadda_sda,20-1,leo_low_elev_weak,713101,0.75
0.5583333333333333,0.08333333333333337,2,dadda_sda,20-1,leo_rain_weak,713101,0.6416666666666667
0.6833333333333333,0.21666666666666667,2,mrior_sda,20-1,leo_clear_weak,713101,0.9
0.5916666666666667,0.18333333333333335,2,mrior_sda,20-1,leo_low_elev_weak,713101,0.775
0.5583333333333333,0.17499999999999993,2,mrior_sda,20-1,leo_rain_weak,713101,0.7333333333333333
0.6833333333333333,-0.05833333333333335,2,protonet_cda,20-1,leo_clear_weak,713101,0.625
0.5916666666666667,0.05833333333333335,2,protonet_cda,20-1,leo_low_elev_weak,713101,0.65
0.5583333333333333,0.08333333333333337,2,protonet_cda,20-1,leo_rain_weak,713101,0.6416666666666667
0.6833333333333333,0.20833333333333337,20,dadda_sda,20-1,leo_clear_weak,713101,0.8916666666666667
0.5916666666666667,0.19999999999999996,20,dadda_sda,20-1,leo_low_elev_weak,713101,0.7916666666666666
0.5583333333333333,0.17499999999999993,20,dadda_sda,20-1,leo_rain_weak,713101,0.7333333333333333
0.6833333333333333,0.2583333333333333,20,mrior_sda,20-1,leo_clear_weak,713101,0.9416666666666667
0.5916666666666667,0.30000000000000004,20,mrior_sda,20-1,leo_low_elev_weak,713101,0.8916666666666667
0.5583333333333333,0.29999999999999993,20,mrior_sda,20-1,leo_rain_weak,713101,0.8583333333333333
0.6833333333333333,-0.050000000000000044,20,protonet_cda,20-1,leo_clear_weak,713101,0.6333333333333333
0.5916666666666667,0.025000000000000022,20,protonet_cda,20-1,leo_low_elev_weak,713101,0.6166666666666667
0.5583333333333333,0.04166666666666663,20,protonet_cda,20-1,leo_rain_weak,713101,0.6
0.6833333333333333,0.07499999999999996,5,dadda_sda,20-1,leo_clear_weak,713101,0.7583333333333333
0.5916666666666667,0.1166666666666667,5,dadda_sda,20-1,leo_low_elev_weak,713101,0.7083333333333334
0.5583333333333333,0.1166666666666667,5,dadda_sda,20-1,leo_rain_weak,713101,0.675
0.6833333333333333,0.21666666666666667,5,mrior_sda,20-1,leo_clear_weak,713101,0.9
0.5916666666666667,0.21666666666666667,5,mrior_sda,20-1,leo_low_elev_weak,713101,0.8083333333333333
0.5583333333333333,0.2416666666666667,5,mrior_sda,20-1,leo_rain_weak,713101,0.8
0.6833333333333333,-0.05833333333333335,5,protonet_cda,20-1,leo_clear_weak,713101,0.625
0.5916666666666667,0.04166666666666663,5,protonet_cda,20-1,leo_low_elev_weak,713101,0.6333333333333333
0.5583333333333333,-0.01666666666666672,5,protonet_cda,20-1,leo_rain_weak,713101,0.5416666666666666
0.6583333333333333,0.09166666666666667,1,dadda_sda,20-1,leo_clear_weak,713102,0.75
0.7083333333333334,0.04166666666666663,1,dadda_sda,20-1,leo_low_elev_weak,713102,0.75
0.725,0.01666666666666672,1,dadda_sda,20-1,leo_rain_weak,713102,0.7416666666666667
0.6583333333333333,0.15833333333333333,1,mrior_sda,20-1,leo_clear_weak,713102,0.8166666666666667
0.7083333333333334,0.06666666666666665,1,mrior_sda,20-1,leo_low_elev_weak,713102,0.775
0.725,0.14166666666666672,1,mrior_sda,20-1,leo_rain_weak,713102,0.8666666666666667
0.6583333333333333,-0.025000000000000022,1,protonet_cda,20-1,leo_clear_weak,713102,0.6333333333333333
0.7083333333333334,-0.22500000000000003,1,protonet_cda,20-1,leo_low_elev_weak,713102,0.48333333333333334
0.725,-0.16666666666666663,1,protonet_cda,20-1,leo_rain_weak,713102,0.5583333333333333
0.6583333333333333,0.19999999999999996,10,dadda_sda,20-1,leo_clear_weak,713102,0.8583333333333333
0.7083333333333334,0.08333333333333326,10,dadda_sda,20-1,leo_low_elev_weak,713102,0.7916666666666666
0.725,0.09166666666666667,10,dadda_sda,20-1,leo_rain_weak,713102,0.8166666666666667
0.6583333333333333,0.2666666666666667,10,mrior_sda,20-1,leo_clear_weak,713102,0.925
0.7083333333333334,0.19999999999999996,10,mrior_sda,20-1,leo_low_elev_weak,713102,0.9083333333333333
0.725,0.15000000000000002,10,mrior_sda,20-1,leo_rain_weak,713102,0.875
0.6583333333333333,0.04166666666666663,10,protonet_cda,20-1,leo_clear_weak,713102,0.7
0.7083333333333334,-0.008333333333333415,10,protonet_cda,20-1,leo_low_elev_weak,713102,0.7
0.725,-0.016666666666666607,10,protonet_cda,20-1,leo_rain_weak,713102,0.7083333333333334
0.6583333333333333,0.09166666666666667,2,dadda_sda,20-1,leo_clear_weak,713102,0.75
0.7083333333333334,0.033333333333333326,2,dadda_sda,20-1,leo_low_elev_weak,713102,0.7416666666666667
0.725,0.050000000000000044,2,dadda_sda,20-1,leo_rain_weak,713102,0.775
0.6583333333333333,0.19999999999999996,2,mrior_sda,20-1,leo_clear_weak,713102,0.8583333333333333
0.7083333333333334,0.1499999999999999,2,mrior_sda,20-1,leo_low_elev_weak,713102,0.8583333333333333
0.725,0.09166666666666667,2,mrior_sda,20-1,leo_rain_weak,713102,0.8166666666666667
0.6583333333333333,-0.016666666666666607,2,protonet_cda,20-1,leo_clear_weak,713102,0.6416666666666667
0.7083333333333334,-0.19166666666666665,2,protonet_cda,20-1,leo_low_elev_weak,713102,0.5166666666666667
0.725,-0.09999999999999998,2,protonet_cda,20-1,leo_rain_weak,713102,0.625
0.6583333333333333,0.18333333333333335,20,dadda_sda,20-1,leo_clear_weak,713102,0.8416666666666667
0.7083333333333334,0.11666666666666659,20,dadda_sda,20-1,leo_low_elev_weak,713102,0.825
0.725,0.15833333333333333,20,dadda_sda,20-1,leo_rain_weak,713102,0.8833333333333333
0.6583333333333333,0.2833333333333333,20,mrior_sda,20-1,leo_clear_weak,713102,0.9416666666666667
0.7083333333333334,0.21666666666666667,20,mrior_sda,20-1,leo_low_elev_weak,713102,0.925
0.725,0.15833333333333333,20,mrior_sda,20-1,leo_rain_weak,713102,0.8833333333333333
0.6583333333333333,0.05833333333333335,20,protonet_cda,20-1,leo_clear_weak,713102,0.7166666666666667
0.7083333333333334,-0.04166666666666674,20,protonet_cda,20-1,leo_low_elev_weak,713102,0.6666666666666666
0.725,-0.04999999999999993,20,protonet_cda,20-1,leo_rain_weak,713102,0.675
0.6583333333333333,0.15833333333333333,5,dadda_sda,20-1,leo_clear_weak,713102,0.8166666666666667
0.7083333333333334,0.09166666666666667,5,dadda_sda,20-1,leo_low_elev_weak,713102,0.8
0.725,0.07500000000000007,5,dadda_sda,20-1,leo_rain_weak,713102,0.8
0.6583333333333333,0.2333333333333334,5,mrior_sda,20-1,leo_clear_weak,713102,0.8916666666666667
0.7083333333333334,0.17499999999999993,5,mrior_sda,20-1,leo_low_elev_weak,713102,0.8833333333333333
0.725,0.1166666666666667,5,mrior_sda,20-1,leo_rain_weak,713102,0.8416666666666667
0.6583333333333333,0.01666666666666672,5,protonet_cda,20-1,leo_clear_weak,713102,0.675
0.7083333333333334,-0.01666666666666672,5,protonet_cda,20-1,leo_low_elev_weak,713102,0.6916666666666667
0.725,-0.033333333333333326,5,protonet_cda,20-1,leo_rain_weak,713102,0.6916666666666667
0.6666666666666666,0.04166666666666674,1,dadda_sda,20-1,leo_clear_weak,713103,0.7083333333333334
0.675,0.05833333333333324,1,dadda_sda,20-1,leo_low_elev_weak,713103,0.7333333333333333
0.5666666666666667,0.09166666666666667,1,dadda_sda,20-1,leo_rain_weak,713103,0.6583333333333333
0.6666666666666666,0.16666666666666674,1,mrior_sda,20-1,leo_clear_weak,713103,0.8333333333333334
0.675,0.08333333333333326,1,mrior_sda,20-1,leo_low_elev_weak,713103,0.7583333333333333
0.5666666666666667,0.10833333333333339,1,mrior_sda,20-1,leo_rain_weak,713103,0.675
0.6666666666666666,-0.175,1,protonet_cda,20-1,leo_clear_weak,713103,0.49166666666666664
0.675,-0.2666666666666667,1,protonet_cda,20-1,leo_low_elev_weak,713103,0.4083333333333333
0.5666666666666667,-0.04166666666666663,1,protonet_cda,20-1,leo_rain_weak,713103,0.525
0.6666666666666666,0.13333333333333341,10,dadda_sda,20-1,leo_clear_weak,713103,0.8
0.675,0.15833333333333333,10,dadda_sda,20-1,leo_low_elev_weak,713103,0.8333333333333334
0.5666666666666667,0.125,10,dadda_sda,20-1,leo_rain_weak,713103,0.6916666666666667
0.6666666666666666,0.25,10,mrior_sda,20-1,leo_clear_weak,713103,0.9166666666666666
0.675,0.19999999999999996,10,mrior_sda,20-1,leo_low_elev_weak,713103,0.875
0.5666666666666667,0.19166666666666665,10,mrior_sda,20-1,leo_rain_weak,713103,0.7583333333333333
0.6666666666666666,-0.09999999999999998,10,protonet_cda,20-1,leo_clear_weak,713103,0.5666666666666667
0.675,-0.09166666666666667,10,protonet_cda,20-1,leo_low_elev_weak,713103,0.5833333333333334
0.5666666666666667,0.04166666666666663,10,protonet_cda,20-1,leo_rain_weak,713103,0.6083333333333333
0.6666666666666666,0.050000000000000044,2,dadda_sda,20-1,leo_clear_weak,713103,0.7166666666666667
0.675,0.04999999999999993,2,dadda_sda,20-1,leo_low_elev_weak,713103,0.725
0.5666666666666667,0.09166666666666667,2,dadda_sda,20-1,leo_rain_weak,713103,0.6583333333333333
0.6666666666666666,0.18333333333333335,2,mrior_sda,20-1,leo_clear_weak,713103,0.85
0.675,0.10833333333333328,2,mrior_sda,20-1,leo_low_elev_weak,713103,0.7833333333333333
0.5666666666666667,0.17500000000000004,2,mrior_sda,20-1,leo_rain_weak,713103,0.7416666666666667
0.6666666666666666,-0.08333333333333326,2,protonet_cda,20-1,leo_clear_weak,713103,0.5833333333333334
0.675,-0.08333333333333337,2,protonet_cda,20-1,leo_low_elev_weak,713103,0.5916666666666667
0.5666666666666667,0.033333333333333326,2,protonet_cda,20-1,leo_rain_weak,713103,0.6
0.6666666666666666,0.15833333333333333,20,dadda_sda,20-1,leo_clear_weak,713103,0.825
0.675,0.17499999999999993,20,dadda_sda,20-1,leo_low_elev_weak,713103,0.85
0.5666666666666667,0.15000000000000002,20,dadda_sda,20-1,leo_rain_weak,713103,0.7166666666666667
0.6666666666666666,0.2583333333333334,20,mrior_sda,20-1,leo_clear_weak,713103,0.925
0.675,0.23333333333333328,20,mrior_sda,20-1,leo_low_elev_weak,713103,0.9083333333333333
0.5666666666666667,0.21666666666666667,20,mrior_sda,20-1,leo_rain_weak,713103,0.7833333333333333
0.6666666666666666,0.0,20,protonet_cda,20-1,leo_clear_weak,713103,0.6666666666666666
0.675,-0.033333333333333326,20,protonet_cda,20-1,leo_low_elev_weak,713103,0.6416666666666667
0.5666666666666667,0.05833333333333335,20,protonet_cda,20-1,leo_rain_weak,713103,0.625
0.6666666666666666,0.10833333333333339,5,dadda_sda,20-1,leo_clear_weak,713103,0.775
0.675,0.10833333333333328,5,dadda_sda,20-1,leo_low_elev_weak,713103,0.7833333333333333
0.5666666666666667,0.1166666666666667,5,dadda_sda,20-1,leo_rain_weak,713103,0.6833333333333333
0.6666666666666666,0.2416666666666667,5,mrior_sda,20-1,leo_clear_weak,713103,0.9083333333333333
