accuracy_ci95_high,accuracy_ci95_low,accuracy_max,accuracy_mean,accuracy_min,accuracy_n,accuracy_std,method,transmitter
0.6740618557735919,0.6358048108930748,1.0,0.6549333333333334,0.05,375,0.1889909409405005,dadda_sda,14-10
0.624074409380778,0.590325590619222,1.0,0.6072,0.15,375,0.1667201696654068,dadda_sda,14-7
0.8394597909869004,0.8098735423464329,1.0,0.8246666666666667,0.2,375,0.14615694931286047,dadda_sda,20-15
0.7978500415206923,0.7658832918126409,1.0,0.7818666666666666,0.25,375,0.1579166954740613,dadda_sda,20-19
0.924416608227048,0.8987833917729522,1.0,0.9116000000000001,0.35,375,0.12662885259750412,dadda_sda,6-15
0.9327634562802066,0.9085698770531266,1.0,0.9206666666666666,0.5,375,0.11951700182605902,dadda_sda,8-20
0.7491359866070959,0.7073973467262376,1.0,0.7282666666666667,0.1,375,0.20619012391825664,mrior_sda,14-10
0.7014807315205338,0.6611859351461329,1.0,0.6813333333333333,0.2,375,0.19905749400111408,mrior_sda,14-7
0.9255234938483347,0.9032765061516653,1.0,0.9144,0.35,375,0.10990078169959401,mrior_sda,20-15
0.7759277711183964,0.7422055622149367,1.0,0.7590666666666666,0.3,375,0.16658871617401413,mrior_sda,20-19
0.944437031737095,0.9216963015962382,1.0,0.9330666666666666,0.35,375,0.11233988407670359,mrior_sda,6-15
0.9497713004008177,0.927295366265849,1.0,0.9385333333333333,0.35,375,0.11103178392243465,mrior_sda,8-20
0.5972595143636634,0.5491404856363364,1.0,0.5731999999999999,0.0,375,0.23770943481710927,protonet_cda,14-10
0.5952962549689517,0.5505704116977149,1.0,0.5729333333333333,0.0,375,0.2209469976206415,protonet_cda,14-7
0.767738627619844,0.725861372380156,1.0,0.7468,0.0,375,0.20687488791860867,protonet_cda,20-15
0.5759492447642547,0.5195174219024119,1.0,0.5477333333333333,0.0,375,0.2787748853827091,protonet_cda,20-19
0.7710326771988222,0.7239006561345113,1.0,0.7474666666666667,0.0,375,0.23283358757037453,protonet_cda,6-15
0.8454427542676922,0.8001572457323077,1.0,0.8228,0.0,375,0.22371176069142576,protonet_cda,8-20
