arm,experiment_id,receiver,seed,k_shot,old_acc,seen_new_acc,H_old_new,average_forgetting,run_dir,min_old_new,joint_score
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713104,20-1,713104,10,0.8027777777777777,0.7583333333333333,0.7797604197604198,0.022222222222222216,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713104\k_10\cvs_qknnv42,0.7583333333333333,0.7802905102905102
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713104,20-1,713104,2,0.6833333333333332,0.6749999999999999,0.679028841061197,0.04722222222222224,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713104\k_2\cvs_qknnv42,0.6749999999999999,0.6791207247981768
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713104,20-1,713104,20,0.8194444444444445,0.775,0.7949327906910093,0.011111111111111072,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713104\k_20\cvs_qknnv42,0.775,0.7964590783784846
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713104,20-1,713104,5,0.7388888888888889,0.7083333333333334,0.7230808987760207,0.03055555555555563,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713104\k_5\cvs_qknnv42,0.7083333333333334,0.723434373666081
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713105,20-1,713105,1,0.5638888888888889,0.525,0.5416373220477698,0.09444444444444444,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713105\k_1\cvs_qknnv42,0.525,0.5435087369788864
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713105,20-1,713105,10,0.8722222222222221,0.7583333333333333,0.8111962110348926,0.011111111111111108,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713105\k_10\cvs_qknnv42,0.7583333333333333,0.8139172555301494
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713105,20-1,713105,2,0.7416666666666666,0.5416666666666666,0.625564762971258,0.05277777777777785,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713105\k_2\cvs_qknnv42,0.5416666666666666,0.6362993654348638
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713105,20-1,713105,20,0.8972222222222223,0.7916666666666666,0.8376593560933449,-0.011111111111111108,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713105\k_20\cvs_qknnv42,0.7916666666666666,0.8421827483274112
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713105,20-1,713105,5,0.8249999999999998,0.7166666666666668,0.7651612320906017,0.03611111111111113,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713105\k_5\cvs_qknnv42,0.7166666666666668,0.7689426329190895
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713101,3-19,713101,1,0.4222222222222222,0.3333333333333333,0.3596730206325409,0.03888888888888886,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713101\k_1\cvs_qknnv42,0.3333333333333333,0.37174285872936547
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713101,3-19,713101,10,0.6222222222222222,0.47500000000000003,0.5354279350380581,0.08055555555555553,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713101\k_10\cvs_qknnv42,0.47500000000000003,0.5442167190867601
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713101,3-19,713101,2,0.5333333333333333,0.325,0.3840378197997776,0.055555555555555504,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713101\k_2\cvs_qknnv42,0.325,0.414123717711037
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713101,3-19,713101,20,0.6333333333333334,0.45,0.5161056636675294,0.06944444444444442,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713101\k_20\cvs_qknnv42,0.45,0.533146332333621
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713101,3-19,713101,5,0.6388888888888888,0.3333333333333333,0.4370553044486891,0.04722222222222224,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713101\k_5\cvs_qknnv42,0.3333333333333333,0.4697591755569704
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713102,3-19,713102,1,0.4666666666666666,0.4000000000000001,0.4273355542637392,0.08333333333333336,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713102\k_1\cvs_qknnv42,0.4000000000000001,0.4313340736434686
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713102,3-19,713102,10,0.686111111111111,0.4833333333333334,0.5659594753073014,0.06111111111111108,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713102\k_10\cvs_qknnv42,0.4833333333333334,0.5784679732505819
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713102,3-19,713102,2,0.5555555555555555,0.34166666666666673,0.4185900660945053,0.09444444444444444,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713102\k_2\cvs_qknnv42,0.34166666666666673,0.43860409610557577
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713102,3-19,713102,20,0.6944444444444443,0.575,0.628857722249442,0.06944444444444449,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713102\k_20\cvs_qknnv42,0.575,0.6327673888979621
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713102,3-19,713102,5,0.6416666666666667,0.425,0.5084081386102276,0.07499999999999996,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713102\k_5\cvs_qknnv42,0.425,0.5250249350922981
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713103,3-19,713103,1,0.4305555555555556,0.35833333333333334,0.38971062297328524,0.04166666666666663,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713103\k_1\cvs_qknnv42,0.35833333333333334,0.39286650395405803
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713103,3-19,713103,10,0.5944444444444444,0.4833333333333334,0.5277807694329781,0.07777777777777779,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713103\k_10\cvs_qknnv42,0.4833333333333334,0.5351861824035854
singleview_fft96_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713103,3-19,713103,2,0.5083333333333333,0.48333333333333334,0.49474179009062724,0.05277777777777779,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_3-19\seed_713103\k_2\cvs_qknnv42,0.48333333333333334,0.49546948558576465
