arm,count,delta_old_acc,delta_seen_new_acc,delta_H_old_new
full_legacy_oracle_strict,125,0.011377777777777777,-0.0013333333333333348,0.0057853046111256134
singleview_fft96_strict,125,0.0,0.0,0.0
