arm,k_shot,count,old_acc,old_acc_std,old_acc_min,old_acc_max,seen_new_acc,seen_new_acc_std,seen_new_acc_min,seen_new_acc_max,H_old_new,H_old_new_std,H_old_new_min,H_old_new_max,average_forgetting,average_forgetting_std,average_forgetting_min,average_forgetting_max
full_legacy_oracle_strict,1,25,0.7658888888888891,0.1131412315277014,0.5138888888888888,0.9333333333333332,0.8726666666666667,0.09739723929466494,0.6666666666666666,1.0,0.8110337373974079,0.10143518973405127,0.610808128919584,0.9405757984705353,-0.004555555555555558,0.009996295610171098,-0.030555555555555596,0.011111111111111108
full_legacy_oracle_strict,2,25,0.8154444444444446,0.09380857840686024,0.6499999999999999,0.9388888888888888,0.9193333333333332,0.08078503711840591,0.7333333333333334,1.0,0.8622501323950018,0.08628835756175707,0.695037544229263,0.9605246596559877,-0.0007777777777777795,0.006261779023824603,-0.013888888888888914,0.011111111111111072
full_legacy_oracle_strict,5,25,0.8546666666666668,0.06768080494515921,0.7333333333333334,0.9277777777777777,0.944,0.07021870595978442,0.7333333333333334,1.0,0.8959160857615385,0.06687124053972768,0.7464427779596651,0.957897486971263,-0.0014444444444444448,0.0071197863749336895,-0.013888888888888914,0.013888888888888914
full_legacy_oracle_strict,10,25,0.8734444444444445,0.059494164046194925,0.75,0.9444444444444443,0.96,0.0618241233033047,0.75,1.0,0.9140128030998221,0.05883257051081803,0.7613504062330464,0.9713992423932313,-0.002444444444444445,0.005289168993516401,-0.013888888888888876,0.00833333333333334
full_legacy_oracle_strict,20,25,0.893888888888889,0.05054639721686342,0.7916666666666666,0.9472222222222223,0.9660000000000001,0.05087675740890375,0.8000000000000002,1.0,0.928138425931509,0.0493550924176723,0.7950894715657525,0.9726889201391459,-0.0030000000000000014,0.004642796092394703,-0.013888888888888876,0.00833333333333334
singleview_fft96_strict,1,25,0.628,0.14096431559655423,0.3527777777777778,0.8666666666666667,0.48133333333333334,0.1236994565693623,0.18333333333333335,0.75,0.5269795768726724,0.11485421652928463,0.2630975452196382,0.714164226177067,0.06955555555555555,0.02727862637286056,0.025000000000000022,0.14722222222222223
singleview_fft96_strict,2,25,0.7,0.11297874813815295,0.5083333333333333,0.8805555555555555,0.5720000000000001,0.11777756813398531,0.325,0.7916666666666666,0.620138322984697,0.10800814055485734,0.3840378197997776,0.789819607635581,0.061,0.027993385462098525,0.013888888888888914,0.12777777777777777
singleview_fft96_strict,5,25,0.7803333333333333,0.10226726060960366,0.5277777777777777,0.9,0.6679999999999999,0.1319444327485375,0.3333333333333333,0.8166666666666668,0.7133475320330802,0.1184192398825412,0.4370553044486891,0.8520875302175664,0.034666666666666665,0.024166602809621893,-0.011111111111111108,0.10000000000000002
singleview_fft96_strict,10,25,0.8135555555555556,0.10010278668066423,0.5944444444444444,0.9222222222222222,0.7366666666666666,0.1362799406450642,0.3833333333333333,0.8666666666666667,0.7688513788693221,0.11971058060666868,0.47369114771661985,0.8798781439181177,0.024222222222222225,0.02927646001672864,-0.011111111111111146,0.11388888888888886
singleview_fft96_strict,20,25,0.8343333333333337,0.08927651592830164,0.6333333333333334,0.9416666666666668,0.7739999999999999,0.13487277956158045,0.45,0.9,0.7989169788393511,0.1143018735679243,0.5161056636675294,0.8939822921416628,0.01677777777777778,0.027694096175231345,-0.011111111111111108,0.09722222222222225
