arm,scenario,count,old_acc,old_acc_std,old_acc_min,old_acc_max,seen_new_acc,seen_new_acc_std,seen_new_acc_min,seen_new_acc_max,H_old_new,H_old_new_std,H_old_new_min,H_old_new_max,average_forgetting,average_forgetting_std,average_forgetting_min,average_forgetting_max
full_legacy_oracle_strict,leo_clear_weak,125,0.8577333333333337,0.10036697110548315,0.55,0.975,0.9548000000000002,0.08400571409136404,0.6,1.0,0.9021712447109574,0.08861609017067287,0.5958333333333333,0.9873417721518987,-0.002400000000000001,0.00935806247752885,-0.033333333333333326,0.025000000000000022
full_legacy_oracle_strict,leo_low_elev_weak,125,0.8258666666666665,0.10097757726897151,0.45,0.95,0.9200000000000005,0.08921883209278185,0.55,1.0,0.867802898893312,0.08877097853861979,0.5884615384615385,0.9743589743589743,-0.001533333333333334,0.012709751287014931,-0.050000000000000044,0.04166666666666674
full_legacy_oracle_strict,leo_rain_weak,125,0.8383999999999997,0.09155384572297696,0.525,0.9666666666666667,0.9224000000000003,0.1024609193790491,0.5,1.0,0.8768365671468986,0.0919448364573347,0.5454545454545454,0.983050847457627,-0.003400000000000001,0.011259366471224453,-0.033333333333333326,0.025000000000000022
singleview_fft96_strict,leo_clear_weak,125,0.7856666666666667,0.1406082027005063,0.31666666666666665,0.95,0.6885999999999999,0.20187877550649053,0.125,0.975,0.7250631559874835,0.17347716215283357,0.20833333333333334,0.9373333333333334,0.03779999999999999,0.04164057849955711,-0.04166666666666674,0.15000000000000002
singleview_fft96_strict,leo_low_elev_weak,125,0.7232666666666665,0.14134393042032853,0.35833333333333334,0.9416666666666667,0.6636000000000002,0.1515751958600087,0.275,0.95,0.6866906844245876,0.13795558404102012,0.3413793103448276,0.925,0.0417333333333333,0.038564462627888096,-0.04166666666666663,0.15833333333333333
singleview_fft96_strict,leo_rain_weak,125,0.7448000000000001,0.13534180597451936,0.2916666666666667,0.9333333333333333,0.5869999999999999,0.18046052199858006,0.1,0.925,0.6451864333474023,0.15981459009112697,0.17473684210526316,0.8859154929577465,0.04420000000000001,0.04447501171069735,-0.01666666666666672,0.18333333333333335
