arm,experiment_id,receiver,seed,k_shot,old_acc_strict,old_acc_compatibility,delta_old_acc,seen_new_acc_strict,seen_new_acc_compatibility,delta_seen_new_acc,H_old_new_strict,H_old_new_compatibility,delta_H_old_new
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713101,20-1,713101,1,0.6444444444444444,0.6444444444444444,0.0,0.48333333333333334,0.48333333333333334,0.0,0.5432385520229218,0.5432385520229218,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713101,20-1,713101,10,0.8555555555555555,0.8555555555555555,0.0,0.7999999999999999,0.7999999999999999,0.0,0.8262300849374279,0.8262300849374279,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713101,20-1,713101,2,0.7416666666666667,0.7416666666666667,0.0,0.6749999999999999,0.6749999999999999,0.0,0.7046652232826677,0.7046652232826677,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713101,20-1,713101,20,0.8888888888888888,0.8888888888888888,0.0,0.8250000000000001,0.8250000000000001,0.0,0.8545755070717344,0.8545755070717344,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713101,20-1,713101,5,0.7944444444444444,0.7944444444444444,0.0,0.7583333333333334,0.7583333333333334,0.0,0.7740353817504655,0.7740353817504655,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713102,20-1,713102,1,0.6333333333333334,0.6333333333333334,0.0,0.5750000000000001,0.5750000000000001,0.0,0.5990210816833897,0.5990210816833897,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713102,20-1,713102,10,0.8194444444444443,0.8194444444444443,0.0,0.8583333333333334,0.8583333333333334,0.0,0.838416786312515,0.838416786312515,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713102,20-1,713102,2,0.6444444444444445,0.6444444444444445,0.0,0.6,0.6,0.0,0.6209624546527384,0.6209624546527384,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713102,20-1,713102,20,0.8638888888888889,0.8638888888888889,0.0,0.8583333333333334,0.8583333333333334,0.0,0.8603516735645664,0.8603516735645664,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713102,20-1,713102,5,0.7583333333333334,0.7583333333333334,0.0,0.7583333333333333,0.7583333333333333,0.0,0.7573928258747605,0.7573928258747605,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713103,20-1,713103,1,0.43333333333333335,0.43333333333333335,0.0,0.625,0.625,0.0,0.5110046671579465,0.5110046671579465,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713103,20-1,713103,10,0.8305555555555556,0.8305555555555556,0.0,0.7666666666666666,0.7666666666666666,0.0,0.7965678824721377,0.7965678824721377,0.0
