arm,receiver,count,old_acc,old_acc_std,old_acc_min,old_acc_max,seen_new_acc,seen_new_acc_std,seen_new_acc_min,seen_new_acc_max,H_old_new,H_old_new_std,H_old_new_min,H_old_new_max,average_forgetting,average_forgetting_std,average_forgetting_min,average_forgetting_max
full_legacy_oracle_strict,20-1,25,0.8005555555555557,0.08102735401557569,0.6027777777777777,0.9249999999999999,0.9319999999999997,0.04266666666666666,0.8333333333333334,0.9833333333333334,0.8593013428278793,0.0629100846972264,0.7089560207567374,0.9382626773364535,-0.006333333333333332,0.00989200949513555,-0.030555555555555596,0.011111111111111108
full_legacy_oracle_strict,3-19,25,0.7191111111111111,0.0767805916834408,0.5138888888888888,0.8222222222222223,0.806,0.0727064111493768,0.6666666666666666,0.9166666666666666,0.7569832415640075,0.07200162446750258,0.610808128919584,0.8667301746690272,-0.00155555555555556,0.006338204754200736,-0.011111111111111146,0.013888888888888914
full_legacy_oracle_strict,7-14,25,0.9224444444444444,0.01828984741649088,0.8722222222222222,0.9472222222222223,0.9753333333333335,0.042718718249602126,0.7833333333333333,1.0,0.9472256002679323,0.029202073761615807,0.8222862945635224,0.9726889201391459,-0.00044444444444444284,0.003572874486847446,-0.011111111111111108,0.011111111111111072
full_legacy_oracle_strict,7-7,25,0.8844444444444446,0.043162054665677844,0.7888888888888889,0.9416666666666668,0.9766666666666666,0.04570436400267365,0.7833333333333332,1.0,0.9268000133027517,0.0431054317329792,0.7721295837285801,0.9699444324277829,-0.0029999999999999983,0.006979688344239738,-0.024999999999999984,0.008333333333333378
full_legacy_oracle_strict,8-8,25,0.8767777777777778,0.04069519339470077,0.75,0.9333333333333332,0.9719999999999999,0.027373953556863777,0.9166666666666666,1.0,0.9210409866227082,0.03308242742499545,0.8214873046603545,0.9575296543126691,-0.000888888888888893,0.005074749887408546,-0.013888888888888876,0.00833333333333334
singleview_fft96_strict,20-1,25,0.7457777777777779,0.12125913482199094,0.43333333333333335,0.8972222222222223,0.7033333333333335,0.10538289973024825,0.48333333333333334,0.8583333333333334,0.72015575636946,0.11032000814342793,0.5110046671579465,0.8603516735645664,0.034555555555555555,0.033232068403431805,-0.011111111111111108,0.11388888888888889
singleview_fft96_strict,3-19,25,0.5765555555555555,0.08850639929434131,0.3527777777777778,0.7000000000000001,0.428,0.09216169365727703,0.18333333333333335,0.5916666666666667,0.4797388342097237,0.08697215303760895,0.2630975452196382,0.628857722249442,0.06566666666666668,0.020197787435359122,0.03888888888888886,0.11388888888888886
singleview_fft96_strict,7-14,25,0.8595555555555556,0.052305371156811914,0.6833333333333332,0.9277777777777777,0.735,0.12454361128179606,0.4666666666666666,0.875,0.7858016033491727,0.0899591346366812,0.5894071444183742,0.8939822921416628,0.023555555555555562,0.0265985240470497,-0.002777777777777768,0.0944444444444444
singleview_fft96_strict,7-7,25,0.8141111111111111,0.11437408840627072,0.41944444444444445,0.9416666666666668,0.6756666666666666,0.14333178293735133,0.35000000000000003,0.8916666666666666,0.7317370127486547,0.1263234728570847,0.3790024101194314,0.8730864211207221,0.04033333333333333,0.04005490059566239,-0.011111111111111146,0.14722222222222223
singleview_fft96_strict,8-8,25,0.7602222222222226,0.07660109917658968,0.5944444444444444,0.8722222222222222,0.6899999999999998,0.15434449203720302,0.2916666666666667,0.9,0.7108005829221119,0.12689023819588421,0.3733971291866029,0.865148742301301,0.042111111111111106,0.032854711972035794,0.002777777777777768,0.12777777777777777
