k_shot,receiver,fold_id,pseudo_new,row_count,ground_coverage_rho,ground_weight,metric_rank,requested_alpha,effective_alpha,alpha_forced_zero,d99_vs_d81_changed_count,d99_ridge_disagreement_count,d99_correct_when_ridge_wrong_count,ridge_correct_when_d99_wrong_count,oracle_union_accuracy,d81_kernel_disagreement_count,d81_correct_when_kernel_wrong_count,kernel_correct_when_d81_wrong_count,d99_bank_wire_bytes,d100_state_wire_bytes,known_persistent_wire_bytes,query_mac_upper_bound,d81_balanced_accuracy,d81_balanced_nll,d81_brier,d81_pseudo_old_accuracy,d81_pseudo_new_accuracy,d81_harmonic_old_new,d81_worst_class_floor,d99_balanced_accuracy,d99_balanced_nll,d99_brier,d99_pseudo_old_accuracy,d99_pseudo_new_accuracy,d99_harmonic_old_new,d99_worst_class_floor,ridge_balanced_accuracy,ridge_balanced_nll,ridge_brier,ridge_pseudo_old_accuracy,ridge_pseudo_new_accuracy,ridge_harmonic_old_new,ridge_worst_class_floor,requested_fused_balanced_accuracy,requested_fused_balanced_nll,requested_fused_brier,requested_fused_pseudo_old_accuracy,requested_fused_pseudo_new_accuracy,requested_fused_harmonic_old_new,requested_fused_worst_class_floor,fused_balanced_accuracy,fused_balanced_nll,fused_brier,fused_pseudo_old_accuracy,fused_pseudo_new_accuracy,fused_harmonic_old_new,fused_worst_class_floor,kernel_balanced_accuracy,kernel_balanced_nll,kernel_brier,kernel_pseudo_old_accuracy,kernel_pseudo_new_accuracy,kernel_harmonic_old_new,kernel_worst_class_floor,d99_minus_d81_pseudo_old_accuracy,requested_fused_minus_d99_pseudo_old_accuracy,d99_minus_d81_pseudo_new_accuracy,requested_fused_minus_d99_pseudo_new_accuracy,d99_minus_d81_harmonic_old_new,requested_fused_minus_d99_harmonic_old_new,d99_minus_d81_worst_class_floor,requested_fused_minus_d99_worst_class_floor,d99_minus_d81_balanced_nll,requested_fused_minus_d99_balanced_nll,requested_fusion_guard_degraded
5,1-1,pseudo_new_000,14-10,539,0.07578893726442526,0.04840800284447839,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15915,8260,24175,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.7371037251693022,0.4358974358974359,0.547828313314801,0.4358974358974359,0.8819210206446612,0.7900104574048128,0.3784573284470991,0.8685616350300036,0.9487179487179487,0.906872030137835,0.7333333333333333,0.8692904731179164,1.1903777867783536,0.57063537037567,0.8559690805620127,0.9358974358974359,0.8941506081472703,0.7555555555555555,0.878297832238864,0.8551900417173757,0.40692076258343096,0.8642138089430471,0.9487179487179487,0.904496430833098,0.7333333333333333,0.8819210206446612,0.7900104574048128,0.3784573284470991,0.8685616350300036,0.9487179487179487,0.906872030137835,0.7333333333333333,0.863933685202989,0.8060185504913605,0.2407282794461214,0.846976832499997,0.9487179487179487,0.8949651483600274,0.7222222222222222,0.13145790986070138,-0.004347826086956497,0.5128205128205128,0.0,0.35904371682303404,-0.002375599304736964,0.2974358974358974,0.0,-0.3287964530531504,0.06517958431256288,True
5,1-1,pseudo_new_001,14-7,539,0.0927944527413564,0.05792780307096688,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15916,8259,24175,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.6976165456821227,0.6333333333333333,0.663922540181866,0.4358974358974359,0.8819210206446612,0.7900038371416693,0.3784526919855433,0.9116385581069266,0.7333333333333333,0.8128223297802475,0.7333333333333333,0.8692904731179164,1.190371304780687,0.5706367717341309,0.8920374566303886,0.7555555555555555,0.8181436205856808,0.7555555555555555,0.878297832238864,0.855184401239598,0.4069175747921943,0.9072907320199702,0.7333333333333333,0.8110895736146165,0.7333333333333333,0.8819210206446612,0.7900038371416693,0.3784526919855433,0.9116385581069266,0.7333333333333333,0.8128223297802475,0.7333333333333333,0.863933685202989,0.8062896260356762,0.24073127159422683,0.8922759777991424,0.7222222222222222,0.7982932895348849,0.7222222222222222,0.2140220124248039,-0.004347826086956386,0.09999999999999998,0.0,0.14889978959838146,-0.0017327561656309554,0.2974358974358974,0.0,-0.3288030733162939,0.06518056409792872,True
5,1-1,pseudo_new_002,20-15,539,0.08137724684899554,0.05186978761878721,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15915,8259,24174,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.6326165456821227,0.9583333333333334,0.7621327748182039,0.4358974358974359,0.8819210206446612,0.7900094308246559,0.37845577557449667,0.8583052247735934,1.0,0.9237505371359702,0.7333333333333333,0.8692904731179164,1.1903779040137776,0.5706350574033626,0.8452319010748331,0.9895833333333334,0.9117292972282297,0.7555555555555555,0.878297832238864,0.8551896399976745,0.40691987698763915,0.8539573986866369,1.0,0.9212265603207381,0.7333333333333333,0.8819210206446612,0.7900094308246559,0.37845577557449667,0.8583052247735934,1.0,0.9237505371359702,0.7333333333333333,0.863933685202989,0.8060730892765923,0.24073441343268898,0.8388037555769202,0.9895833333333334,0.9079764580388273,0.7222222222222222,0.22568867909147072,-0.004347826086956497,0.04166666666666663,0.0,0.16161776231776637,-0.0025239768152320874,0.2974358974358974,0.0,-0.3287974796333073,0.06518020917301859,True
5,1-1,pseudo_new_003,20-19,539,0.02098922905383065,0.011561968640730886,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15915,8259,24174,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.7196320495580916,0.5232558139534884,0.6059302128426133,0.4358974358974359,0.8819210206446612,0.7899941890451606,0.3784554033060373,0.8978401084945234,0.8023255813953488,0.8473998638269106,0.7333333333333333,0.8692904731179164,1.190381239715861,0.5706425011478311,0.8803578700670812,0.813953488372093,0.8458544007130333,0.7555555555555555,0.878297832238864,0.8551774634741283,0.40692071839887206,0.8934922824075671,0.8023255813953488,0.845458383540441,0.7333333333333333,0.8819210206446612,0.7899941890451606,0.3784554033060373,0.8978401084945234,0.8023255813953488,0.8473998638269106,0.7333333333333333,0.863933685202989,0.805253595050806,0.24064861881724367,0.8762553059645171,0.8023255813953488,0.8376624005465844,0.7222222222222222,0.17820805893643188,-0.004347826086956386,0.2790697674418604,0.0,0.2414696509842973,-0.0019414802864695657,0.2974358974358974,0.0,-0.3288127214128026,0.06518327442896765,True
5,1-1,pseudo_new_004,6-15,539,0.07539365491098152,0.048064172770525666,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15916,8260,24176,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.6840770267817791,0.7010309278350515,0.6924502183342623,0.4358974358974359,0.8819210206446612,0.7900078644876531,0.37845654005009693,0.8686145031241088,0.9484536082474226,0.9067800535471007,0.7333333333333333,0.8692904731179164,1.1903815217115585,0.5706353574243367,0.8555197017621184,0.9381443298969072,0.8949289757244777,0.7555555555555555,0.878297832238864,0.8551896428646154,0.40692053672170475,0.8642666770371523,0.9484536082474226,0.9044052245437431,0.7333333333333333,0.8819210206446612,0.7900078644876531,0.37845654005009693,0.8686145031241088,0.9484536082474226,0.9067800535471007,0.7333333333333333,0.863933685202989,0.8060102455532574,0.24072978602376702,0.8490915562642055,0.9381443298969072,0.8913993225411291,0.7222222222222222,0.18453747634232975,-0.004347826086956497,0.24742268041237114,0.0,0.21432983521283833,-0.0023748290033576147,0.2974358974358974,0.0,-0.32879904597031007,0.06518177837696226,True
5,1-1,pseudo_new_005,8-20,539,0.08659507619616641,0.05430361674106303,4,0.2,0.0,True,185,19,13,6,0.8942486085343229,198,50,140,15916,8260,24176,107914,0.6869026769573244,1.1188069104579632,0.5588393564340487,0.6503701688705285,0.8695652173913043,0.744162261620373,0.4358974358974359,0.8819210206446612,0.7900073693985563,0.37845461654895,0.8865660943388107,0.8586956521739131,0.8724083388577197,0.7333333333333333,0.8692904731179164,1.1903705242261833,0.5706363041659758,0.886626828611065,0.782608695652174,0.8313768258386331,0.7555555555555555,0.878297832238864,0.855186855171484,0.40691870469208885,0.8865660943388107,0.8369565217391305,0.8610473314219642,0.7333333333333333,0.8819210206446612,0.7900073693985563,0.37845461654895,0.8865660943388107,0.8586956521739131,0.8724083388577197,0.7333333333333333,0.863933685202989,0.8061237109771272,0.24073673379074212,0.8801986831131521,0.782608695652174,0.8285399164122466,0.7222222222222222,0.23619592546828228,0.0,-0.010869565217391242,-0.021739130434782594,0.1282460772373467,-0.011361007435755521,0.2974358974358974,0.0,-0.3287995410594069,0.06517948577292765,True
5,1-19,pseudo_new_000,14-10,550,0.07622007443111666,0.044936553396633716,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15915,8257,24172,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.9113636363636364,0.9696969696969697,0.9396258192069711,0.75,0.8868861665253419,0.6678289023384266,0.3025397220949061,0.8703240058910161,0.9696969696969697,0.9173270982928423,0.6428571428571429,0.8828443477776408,1.1659452460319855,0.5605224137839514,0.8634536213735728,0.9797979797979798,0.9179540257373011,0.6547619047619048,0.8868861665253419,0.7469766327669758,0.338612307435477,0.8703240058910161,0.9696969696969697,0.9173270982928423,0.6428571428571429,0.8868861665253419,0.6678289023384266,0.3025397220949061,0.8703240058910161,0.9696969696969697,0.9173270982928423,0.6428571428571429,0.8790865315198245,0.5526055689256327,0.21018202912750547,0.8609644438843954,0.9696969696969697,0.9121016109890582,0.6309523809523809,-0.04103963047262027,0.0,0.0,0.0,-0.022298720914128767,0.0,-0.1071428571428571,0.0,-0.22698931079350282,0.07914773042854917,False
5,1-19,pseudo_new_001,14-7,550,0.0656869161962494,0.03900865420019267,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15916,8257,24173,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.943939393939394,0.8068181818181818,0.8700090476377798,0.75,0.8868861665253419,0.6678338232969404,0.3025435195336263,0.91426339983041,0.75,0.8240252714115814,0.6428571428571429,0.8828443477776408,1.1660028752053027,0.5605568987936146,0.9139586718786233,0.7272727272727273,0.8099981711968566,0.6547619047619048,0.8868861665253419,0.7469891013406141,0.3386213904812667,0.91426339983041,0.75,0.8240252714115814,0.6428571428571429,0.8868861665253419,0.6678338232969404,0.3025435195336263,0.91426339983041,0.75,0.8240252714115814,0.6428571428571429,0.8790865315198245,0.5525240085438953,0.2101854813506475,0.9071765650965166,0.7386363636363636,0.8142767474003391,0.6309523809523809,-0.029675994108983916,0.0,-0.05681818181818177,0.0,-0.045983776226198314,0.0,-0.1071428571428571,0.0,-0.22698438983498903,0.07915527804367373,False
5,1-19,pseudo_new_002,20-15,550,0.0786939266274327,0.04572393360740637,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15915,8257,24172,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.9053030303030303,1.0,0.9502982107355865,0.75,0.8868861665253419,0.667816564930462,0.3025321167039498,0.8642633998304101,1.0,0.9271902242022572,0.6428571428571429,0.8828443477776408,1.1660001396853423,0.5605512081318964,0.86411909968611,0.9764705882352941,0.9168658187243734,0.6547619047619048,0.8868861665253419,0.7469739278396292,0.3386110238729793,0.8642633998304101,1.0,0.9271902242022572,0.6428571428571429,0.8868861665253419,0.667816564930462,0.3025321167039498,0.8642633998304101,1.0,0.9271902242022572,0.6428571428571429,0.8790865315198245,0.5525290330978877,0.21014552719768628,0.8596097201767305,0.9764705882352941,0.9143212366780497,0.6309523809523809,-0.04103963047262016,0.0,0.0,0.0,-0.02310798653332935,0.0,-0.1071428571428571,0.0,-0.2270016482014674,0.0791573629091672,False
5,1-19,pseudo_new_003,20-19,550,0.03617342403374085,0.0211883430456111,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15915,8258,24173,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.9553030303030303,0.75,0.8402932030208797,0.75,0.8868861665253419,0.6678687887603826,0.3025717408328834,0.9356919712589816,0.6428571428571429,0.7621128311547319,0.6428571428571429,0.8828443477776408,1.1661060616558665,0.5606206531698731,0.9284608363807878,0.6547619047619048,0.7679535796545574,0.6547619047619048,0.8868861665253419,0.7470310262880924,0.3386516223265588,0.9356919712589816,0.6428571428571429,0.7621128311547319,0.6428571428571429,0.8868861665253419,0.6678687887603826,0.3025717408328834,0.9356919712589816,0.6428571428571429,0.7621128311547319,0.6428571428571429,0.8790865315198245,0.5518918872397509,0.21021400168387383,0.9287133616333131,0.6309523809523809,0.751409601102568,0.6309523809523809,-0.019611059044048695,0.0,-0.1071428571428571,0.0,-0.07818037186614779,0.0,-0.1071428571428571,0.0,-0.22694942437154686,0.07916223752770979,False
5,1-19,pseudo_new_004,6-15,550,0.06862754428793137,0.041285779353409394,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15916,8258,24174,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.9053030303030303,1.0,0.9502982107355865,0.75,0.8868861665253419,0.6678097864068033,0.302528423246468,0.8663252555005132,0.9896907216494846,0.9239080674467545,0.6428571428571429,0.8828443477776408,1.165970356359596,0.5605406848143727,0.861475073003272,0.9896907216494846,0.9211426541549522,0.6547619047619048,0.8868861665253419,0.7469634229631589,0.33860664486997094,0.8663252555005132,0.9896907216494846,0.9239080674467545,0.6428571428571429,0.8868861665253419,0.6678097864068033,0.302528423246468,0.8663252555005132,0.9896907216494846,0.9239080674467545,0.6428571428571429,0.8790865315198245,0.5524316918172006,0.21012544269605596,0.8569656934938925,0.9896907216494846,0.9185585241171909,0.6309523809523809,-0.03897777480251707,0.0,-0.010309278350515427,0.0,-0.026390143288832046,0.0,-0.1071428571428571,0.0,-0.2270084267251261,0.07915363655635554,False
5,1-19,pseudo_new_005,8-20,550,0.05386372090981013,0.03277050365985368,4,0.2,0.0,True,33,7,4,2,0.8963636363636364,37,25,3,15916,8257,24173,107914,0.9210858585858586,0.8948182131319294,0.43484933379191554,0.9053030303030303,1.0,0.9502982107355865,0.75,0.8868861665253419,0.6678326638989934,0.30254386693731866,0.8704489668407195,0.9690721649484536,0.9171167976233471,0.6428571428571429,0.8828443477776408,1.1660332703013008,0.5605767845758203,0.8655987843434781,0.9690721649484536,0.9144175834301176,0.6547619047619048,0.8868861665253419,0.7469922421315269,0.3386246868749861,0.8704489668407195,0.9690721649484536,0.9171167976233471,0.6428571428571429,0.8868861665253419,0.6678326638989934,0.30254386693731866,0.8704489668407195,0.9690721649484536,0.9171167976233471,0.6428571428571429,0.8790865315198245,0.5522634598968321,0.21016560396235526,0.8610894048340987,0.9690721649484536,0.91189519825389,0.6309523809523809,-0.03485406346231079,0.0,-0.030927835051546393,0.0,-0.03318141311223943,0.0,-0.1071428571428571,0.0,-0.226985549232936,0.0791595782325335,False
5,14-7,pseudo_new_000,14-10,541,0.040369888714248514,0.021714546119801528,4,0.2,0.0,True,57,18,13,4,0.9297597042513863,74,42,28,15915,8257,24172,107914,0.9235482280562523,0.8291378497175855,0.3960481244237472,0.9352241658023341,0.8651685393258427,0.8988333747018048,0.8191489361702128,0.9229066919336281,0.6107677129787411,0.26786792000104775,0.9322071314439493,0.8764044943820225,0.9034449497352312,0.7391304347826086,0.9066011039098276,1.1598320063242868,0.5592132664023043,0.9171348078378605,0.8539325842696629,0.8844059803378704,0.6630434782608695,0.9174108443518011,0.6969663406498453,0.31034542393091935,0.9278593053569928,0.8651685393258427,0.8954179738994492,0.717391304347826,0.9229066919336281,0.6107677129787411,0.26786792000104775,0.9322071314439493,0.8764044943820225,0.9034449497352312,0.7391304347826086,0.8975045883378264,0.8164423526169076,0.1925658043745666,0.9062189891514592,0.8539325842696629,0.879299186508412,0.5978260869565217,-0.0030170343583848513,-0.004347826086956497,0.011235955056179803,-0.011235955056179803,0.004611575033426352,-0.008026975835781935,-0.08001850138760414,-0.021739130434782594,-0.21837013673884442,0.0861986276711042,True
5,14-7,pseudo_new_001,14-7,541,0.09005161134929354,0.053197456948284455,4,0.2,0.0,True,57,18,13,4,0.9297597042513863,74,42,28,15916,8255,24171,107914,0.9235482280562523,0.8291378497175855,0.3960481244237472,0.9444280864334601,0.8191489361702128,0.8773387863140641,0.8191489361702128,0.9229066919336281,0.6107452316221674,0.26784937059940356,0.9117433494692898,0.9787234042553191,0.9440468107060098,0.7391304347826086,0.9066011039098276,1.1596358881303006,0.5591134491606587,0.8943043034151975,0.9680851063829787,0.9297332471454274,0.6630434782608695,0.9174108443518011,0.696921253237765,0.3103179322182748,0.9051483323710974,0.9787234042553191,0.940499122090649,0.717391304347826,0.9229066919336281,0.6107452316221674,0.26784937059940356,0.9117433494692898,0.9787234042553191,0.9440468107060098,0.7391304347826086,0.8975045883378264,0.8165022054880123,0.19248926269916014,0.8812608251543279,0.9787234042553191,0.9274386107087085,0.5978260869565217,-0.03268473696417029,-0.006595017098192435,0.15957446808510634,0.0,0.06670802439194568,-0.003547688615360811,-0.08001850138760414,-0.021739130434782594,-0.2183926180954181,0.08617602161559756,True
5,14-7,pseudo_new_002,20-15,541,0.09761396300406289,0.05859828689046754,4,0.2,0.0,True,57,18,13,4,0.9297597042513863,74,42,28,15915,8256,24171,107914,0.9235482280562523,0.8291378497175855,0.3960481244237472,0.9082578736675027,1.0,0.951923622274291,0.8191489361702128,0.9229066919336281,0.610743808251506,0.2678480272068071,0.9120334848658083,0.9772727272727273,0.9435267246699786,0.7391304347826086,0.9066011039098276,1.1595819731796524,0.5590818392163803,0.8924667792372476,0.9772727272727273,0.9329464776336628,0.6630434782608695,0.9174108443518011,0.6969132949232351,0.31031208516826864,0.9054384677676157,0.9772727272727273,0.9399851906164889,0.717391304347826,0.9229066919336281,0.610743808251506,0.2678480272068071,0.9120334848658083,0.9772727272727273,0.9435267246699786,0.7391304347826086,0.8975045883378264,0.8164924324329229,0.19248870113608288,0.8815509605508461,0.9772727272727273,0.9269472054728699,0.5978260869565217,0.003775611198305606,-0.006595017098192546,-0.022727272727272707,0.0,-0.008396897604312392,-0.00354153405348967,-0.08001850138760414,-0.021739130434782594,-0.21839404146607955,0.08616948667172908,True
