k_shot,receiver,pair_count,rows_total,mean_rho,mean_d81_ba,mean_d99_ba,mean_d81_nll,mean_d99_nll,mean_d81_old,mean_d99_old,mean_d81_new,mean_d99_new,mean_d81_h,mean_d99_h,min_d81_floor,min_d99_floor,min_floor_delta,d99_better_ba_pairs,d99_floor_regression_pairs,requested_fusion_degraded_pairs,d99_ridge_disagreement_count,d99_rescue_count,ridge_rescue_count
5,1-1,6,3234,0.0721564328359593,0.6869026769573244,0.8819210206446612,1.1188069104579632,0.7900055247170847,0.6869026769573244,0.8819210206446612,0.6869026769573244,0.8819210206446612,0.6694043868520199,0.878338858880964,0.4358974358974359,0.7333333333333333,0.2974358974358974,6,0,6,114,78,36
5,1-19,6,3300,0.06321093441438018,0.9210858585858586,0.8868861665253419,0.8948182131319294,0.6678317549386681,0.9210858585858586,0.8868861665253417,0.9210858585858586,0.8868861665253419,0.9168037836787316,0.8786133816885857,0.75,0.6428571428571429,-0.1071428571428571,0,6,0,42,24,12
5,14-7,6,3246,0.07696317780790181,0.9235482280562523,0.9229066919336281,0.8291378497175855,0.6107559143439465,0.9235482280562523,0.9229066919336281,0.9235482280562523,0.9229066919336281,0.9217977187218205,0.9195000833400814,0.8191489361702128,0.7391304347826086,-0.08001850138760414,0,6,6,108,78,24
5,18-2,6,3210,0.01177464207366727,0.7030292875255889,0.7579423672279999,1.1969244487680033,0.9867046939512987,0.7030292875255889,0.7579423672279999,0.7030292875255889,0.7579423672279998,0.6925750375905556,0.7396902572050883,0.4574468085106383,0.38461538461538464,-0.07283142389525366,6,6,4,372,120,204
5,19-2,6,3288,0.07676487767728295,0.9415455922512374,0.9001066734937703,0.9049022739614329,0.6735251379394719,0.9415455922512374,0.9001066734937703,0.9415455922512375,0.9001066734937703,0.9406761231344349,0.8967122738923757,0.8541666666666666,0.7708333333333334,-0.08333333333333326,0,6,6,144,78,36
5,2-1,6,3336,0.12996902761168536,0.6627700653037774,0.9164678074679382,1.325955878095593,0.8520898133692301,0.6627700653037774,0.9164678074679382,0.6627700653037774,0.9164678074679382,0.6335633445773544,0.9134893064059263,0.31958762886597936,0.7684210526315789,0.44883342376559954,6,0,0,66,12,42
5,2-19,6,3126,0.16024265705688587,0.8685745159969777,0.9086537199301495,0.9681668325043336,0.7272125624629041,0.8685745159969777,0.9084643259907556,0.8685745159969777,0.9096006896271192,0.8661627289617595,0.9074412324599375,0.7840909090909091,0.8068181818181818,0.022727272727272707,6,0,6,207,126,39
10,1-1,6,3234,0.08975258770206866,0.9246291001542715,0.8625830644862157,0.8698421212200064,0.6631540020860757,0.9246291001542715,0.8625830644862157,0.9246291001542714,0.8625830644862157,0.9237009853319925,0.8569708658536478,0.8589743589743589,0.6627906976744186,-0.19618366129994036,0,6,3,132,66,66
10,1-19,6,3300,0.09414319220839334,0.9390840164036041,0.8906439827831582,0.8865048919971551,0.6577809637376872,0.9390840164036041,0.8906439827831582,0.9390840164036041,0.8906439827831582,0.9369865797730377,0.88290006245557,0.8181818181818182,0.6666666666666666,-0.1515151515151516,0,6,0,24,24,0
10,14-7,6,3246,0.07799341774422501,0.881966426784869,0.9413307345088676,0.7533557736092596,0.5598542760324724,0.881966426784869,0.9413307345088676,0.8819664267848689,0.9413307345088676,0.8737735291798551,0.9392758056642658,0.6382978723404256,0.8043478260869565,0.16604995374653098,6,0,6,180,138,30
10,18-2,6,3210,0.01378899902824949,0.6386071526390295,0.7622605744126373,1.154285435640759,0.9459836287273881,0.6386071526390295,0.7622605744126373,0.6386071526390295,0.7622605744126373,0.5960411033308209,0.7407503903849907,0.19148936170212766,0.3626373626373626,0.17114800093523497,6,0,3,444,162,156
10,19-2,6,3288,0.1292082155271855,0.9277761776753713,0.9109863031233999,0.9219021690740616,0.676242696116288,0.9277761776753713,0.9109863031233999,0.9277761776753713,0.9109863031233999,0.9254025598703947,0.908693599325265,0.7708333333333334,0.8020833333333334,0.03125,0,0,6,144,96,18
10,2-1,6,3336,0.1538146997564467,0.9180718959291502,0.9249749542609592,1.037902575461371,0.72057454801275,0.9180718959291502,0.9249182649185556,0.9180718959291502,0.9252584009729774,0.9160436528698797,0.9227820240386436,0.8210526315789474,0.8105263157894737,-0.010526315789473717,6,6,4,42,17,24
10,2-19,6,3126,0.19779727865755273,0.8824960283990092,0.920043068103296,1.021128928917511,0.7397584906675342,0.8824960283990092,0.9200430681032961,0.8824960283990091,0.9200430681032961,0.8794647394057883,0.9157831606531911,0.7564102564102564,0.7045454545454546,-0.0518648018648018,6,6,6,147,117,12
