k_shot,pseudo_new,receiver_count,d81_balanced_accuracy_mean,d81_balanced_nll_mean,d81_pseudo_old_accuracy_mean,d81_pseudo_new_accuracy_mean,d81_harmonic_old_new_mean,d81_worst_class_floor_mean,d99_balanced_accuracy_mean,d99_balanced_nll_mean,d99_pseudo_old_accuracy_mean,d99_pseudo_new_accuracy_mean,d99_harmonic_old_new_mean,d99_worst_class_floor_mean,requested_fused_balanced_accuracy_mean,requested_fused_balanced_nll_mean,requested_fused_pseudo_old_accuracy_mean,requested_fused_pseudo_new_accuracy_mean,requested_fused_harmonic_old_new_mean,requested_fused_worst_class_floor_mean,ridge_balanced_accuracy_mean,ridge_balanced_nll_mean,ridge_pseudo_old_accuracy_mean,ridge_pseudo_new_accuracy_mean,ridge_harmonic_old_new_mean,ridge_worst_class_floor_mean,kernel_balanced_accuracy_mean,kernel_balanced_nll_mean,kernel_pseudo_old_accuracy_mean,kernel_pseudo_new_accuracy_mean,kernel_harmonic_old_new_mean,kernel_worst_class_floor_mean
5,14-10,7,0.8153508892395738,1.0341017723766917,0.8406772224650874,0.6887192231120064,0.7421534737961762,0.6314769121716918,0.8819910682180742,0.7583075137019787,0.882666222467887,0.8786152969690102,0.8794500593066908,0.6922869804816519,0.8797934747641495,0.8254234897381777,0.8803501376104969,0.8770101605324131,0.8774433611467323,0.6867361226547235,0.8760918626166543,1.182867708807963,0.8754480247359313,0.879311052020269,0.8758549686033762,0.7008731439528008,0.8586353876007901,0.7079379665884,0.8537680357830412,0.8829721466895343,0.8662977018996855,0.6061438888016201
5,14-7,7,0.8153508892395738,1.0341017723766917,0.8228893771065159,0.7776584499048628,0.7981955115693129,0.6314769121716918,0.8819910682180742,0.7583116135450103,0.8886071047234391,0.8489108856912496,0.8657597161786088,0.6922869804816519,0.8800640375347123,0.8254218669261242,0.8862946679034049,0.8489108856912496,0.8645997859933428,0.6883594992781001,0.8760918626166543,1.1828332937725266,0.8851778422822388,0.8306619642887315,0.8540400755593731,0.7008731439528008,0.8586353876007901,0.7079571259644017,0.8639393871990094,0.8321153896096928,0.8447543148904483,0.6061438888016201
5,20-15,7,0.8153508892395738,1.0341017723766917,0.7940767220138306,0.9217217253682891,0.8460296145664936,0.6314769121716918,0.882261630988637,0.7582954281955768,0.870230272412357,0.9424184238700368,0.9027289122894173,0.6939103571050286,0.8798160216616965,0.8254028128159211,0.8672985668682154,0.9424032956291021,0.9006732424571665,0.6883594992781001,0.8760918626166543,1.1827870302864405,0.8647199592446807,0.9329513794765217,0.8936526352047467,0.7008731439528008,0.8586353876007901,0.7079126544633123,0.8457202411736956,0.923211119736262,0.8785982744365742,0.6061438888016201
5,20-19,7,0.8153508892395738,1.0341017723766917,0.8395188883472985,0.6945108937009505,0.7559831570763226,0.6314769121716918,0.882261630988637,0.7583184804652525,0.9179606786778723,0.7037663925424594,0.7899576186946194,0.6939103571050286,0.8800640375347123,0.8254469089401876,0.9160170714318819,0.7002988680488642,0.7881149227069891,0.6883594992781001,0.8760918626166543,1.1829575140427975,0.9060711147740468,0.7261956018296915,0.8033340488536319,0.7008731439528008,0.858878341925377,0.707667039298899,0.9054302159388328,0.6261189718580985,0.7175296270628186,0.6061438888016201
5,6-15,7,0.8153508892395738,1.0341017723766917,0.802871525808934,0.8777477063927728,0.8379515448502964,0.6314769121716918,0.882261630988637,0.7582829678192755,0.8674009268195785,0.9565651518339295,0.9089093161773025,0.6939103571050286,0.8803146641011284,0.8254026878453767,0.8653892418792435,0.9549417752105528,0.907253203757973,0.6898632586765964,0.8760918626166543,1.182856905814795,0.8613561551012217,0.949770400193817,0.9032627696056325,0.7008731439528008,0.8586353876007901,0.7078583022761611,0.8410577357315353,0.9465236469470638,0.8904539033182447,0.6061438888016201
5,8-20,7,0.8153508892395738,1.0341017723766917,0.7920715996957763,0.9317473369585612,0.8548150897271208,0.6314769121716918,0.8819910682180742,0.7583057691779954,0.8657305548566618,0.963293635025136,0.9107247149587542,0.6922869804816519,0.8795229119935869,0.8254184945732571,0.8640636463730857,0.956819240096092,0.9068135533740451,0.6851127460313469,0.8760918626166543,1.1828393912119588,0.8637780795618062,0.9376607778908947,0.8975477670417317,0.7008731439528008,0.8586353876007901,0.7079174825244501,0.8421882549681303,0.9408710507640891,0.8860021511309292,0.6061438888016201
10,14-10,7,0.8732329711407578,0.9492745565600177,0.8958157258810555,0.7603191974392692,0.8031290119865802,0.6936056617887525,0.8875865897700789,0.7090475203825751,0.8874789403397519,0.888124836921713,0.8863007402551306,0.6876568081048094,0.8857494526726507,0.7823647893301596,0.8853538007408958,0.8877277123314256,0.8851218842243115,0.6908944916860941,0.8732200517131897,1.176983649990433,0.8709482236318536,0.8845791921198698,0.8761620167391369,0.6867035661186266,0.8600594279601782,0.6293371314039475,0.8550572536085063,0.8850702997185385,0.8681205235501247,0.5947561278017728
10,14-7,7,0.8732329711407578,0.9492745565600177,0.8904518295675381,0.7871386790068556,0.8331623482217768,0.6936056617887525,0.8875865897700789,0.7090427811376004,0.8933072246239703,0.8589834155006216,0.8740486496964708,0.6876568081048094,0.8854788899020879,0.7823642803825274,0.8923773694630867,0.8509864920970942,0.8691906762678506,0.6908944916860941,0.8729148014079394,1.1770104861967403,0.8817205847245108,0.8288858848250821,0.8520352335051984,0.6867035661186266,0.8600594279601782,0.6293227804691723,0.8626463761428471,0.847124687046834,0.8522414243989596,0.5947561278017728
10,20-15,7,0.8732329711407578,0.9492745565600177,0.856412940595833,0.9573331238653819,0.902029328063532,0.6936056617887525,0.8875865897700789,0.709051045125971,0.8721385397587266,0.9648268398268398,0.9140250113890536,0.6876568081048094,0.8854788899020879,0.7823825099714427,0.8708863561941939,0.9584415584415584,0.9100716033031633,0.6908944916860941,0.8732200517131897,1.177089953894228,0.8615714052081422,0.9314632842384265,0.8910871363560595,0.6867035661186266,0.8600594279601782,0.6293380776285294,0.8454984933195265,0.9328641011634371,0.8820947212341225,0.5947561278017728
10,20-19,7,0.8732329711407578,0.9492745565600177,0.8877739597361326,0.8005280281638835,0.8390012879295218,0.6936056617887525,0.8875865897700789,0.7090640398955186,0.9275725461031328,0.6876568081048094,0.7827116347516929,0.6876568081048094,0.8857218442266749,0.7823749922890234,0.9246277909252673,0.6911921107337131,0.7851498086957862,0.6908944916860941,0.8732200517131897,1.176950454958586,0.9058225572042674,0.710207524257801,0.7915439793283288,0.6867035661186266,0.8603239782247286,0.6290641149539524,0.9108383419601134,0.6077521595478045,0.704031840905511,0.5947561278017728
10,6-15,7,0.8732329711407578,0.9492745565600177,0.858138699950577,0.9487043270916614,0.900407568443124,0.6936056617887525,0.8873436354454919,0.7090433945801167,0.8723211289277454,0.9624561680342241,0.9146633150572754,0.6876568081048094,0.8854788899020879,0.7823749635708,0.8700533097610001,0.962606790607527,0.9135378486242167,0.6908944916860941,0.8729148014079394,1.177085350198097,0.8581930323001145,0.9465236469470638,0.9000491391894698,0.6867035661186266,0.8600594279601782,0.6293508583862171,0.8427364596481406,0.9466742695203667,0.8914347170747552,0.5947561278017728
