k_shot,scope,lock_status,d99_eligible,d100_eligible,candidate_index,d99_failure_reasons,d100_nll_strict_improvement,d100_pair_guard_pass,d100_degraded_pair_count,requested_alpha,effective_alpha,d81_balanced_accuracy,d81_balanced_nll,d81_brier,d81_pseudo_old_accuracy,d81_pseudo_new_accuracy,d81_harmonic_old_new,d81_worst_class_floor,d99_balanced_accuracy,d99_balanced_nll,d99_brier,d99_pseudo_old_accuracy,d99_pseudo_new_accuracy,d99_harmonic_old_new,d99_worst_class_floor,ridge_balanced_accuracy,ridge_balanced_nll,ridge_brier,ridge_pseudo_old_accuracy,ridge_pseudo_new_accuracy,ridge_harmonic_old_new,ridge_worst_class_floor,fused_balanced_accuracy,fused_balanced_nll,fused_brier,fused_pseudo_old_accuracy,fused_pseudo_new_accuracy,fused_harmonic_old_new,fused_worst_class_floor,kernel_balanced_accuracy,kernel_balanced_nll,kernel_brier,kernel_pseudo_old_accuracy,kernel_pseudo_new_accuracy,kernel_harmonic_old_new,kernel_worst_class_floor,balanced_nll_improvement_d81_minus_d99,balanced_nll_improvement_d99_minus_fused,floor_delta_d99_minus_d81,floor_delta_fused_minus_d99,disagreement_count,disagreement_rate,d99_vs_d81_changed_count,d99_correct_when_ridge_wrong_count,ridge_correct_when_d99_wrong_count,oracle_union_accuracy,mean_ground_coverage_rho,max_d99_bank_wire_bytes,max_d100_state_wire_bytes,row_count,episode_fold_count
1,selection_summary_top_blocked_candidate,BLOCKED_D99_ADMISSION,False,False,34,D99_WORST_FLOOR_REGRESSION,False,False,12,0.2,0.0,0.7615141105067357,1.0672547041892055,0.5054575404464984,0.7615141105067356,0.7615141105067357,0.7197106852842383,0.0449438202247191,0.7894261580124939,0.7416541423768751,0.32839979720374873,0.7894261580124942,0.7894261580124942,0.7531191424914536,0.02127659574468085,0.7880584666216505,1.3244319604684522,0.6352998317796351,0.7881035604167443,0.7878329976461816,0.7493369975392103,0.02127659574468085,0.7894261580124939,0.7416541423768751,0.32839979720374873,0.7894261580124942,0.7894261580124942,0.7531191424914536,0.02127659574468085,0.8027400609448004,1.0682881996784328,0.3235759373276873,0.8027580984628383,0.8026498733546131,0.7695265729683082,0.02127659574468085,0.32560056181233044,0.0,-0.02366722448003825,0.0,878,0.038815207780725024,2046,288,245,0.8015473032714412,0.06310836761146679,7492,6962,22620,42
5,final_outer_lodo,D99_ADMITTED,True,False,4,,False,False,24,0.2,0.0,0.8153508892395737,1.0341017723766914,0.5044011350865465,0.8153508892395739,0.8153508892395737,0.8058547319309538,0.31958762886597936,0.8821263496033555,0.7583036288175149,0.3527854743265292,0.8820992933262992,0.8822616309886367,0.8762550562675655,0.38461538461538464,0.8760918626166545,1.1828569739894135,0.5687502086045386,0.8760918626166545,0.8760918626166545,0.8712820441447485,0.5934065934065934,0.8821263496033555,0.7583036288175149,0.3527854743265292,0.8820992933262992,0.8822616309886367,0.8762550562675655,0.38461538461538464,0.858675879988221,0.7078750951859374,0.23357752417930422,0.8586839784657074,0.8586353876007901,0.8472726621231166,0.14285714285714285,0.27579814355917653,0.0,0.06502775574940528,0.0,1053,0.046306068601583115,4029,516,393,0.8994722955145119,0.08444024992539469,15916,8260,22740,42
10,final_outer_lodo,D99_ADMITTED,True,False,4,,False,False,19,0.2,0.0,0.873232971140758,0.9492745565600177,0.4640500580355082,0.8732329711407577,0.8732329711407577,0.8644875928231098,0.19148936170212766,0.8875460973826477,0.7090498007685992,0.32702165925890786,0.8875379989051615,0.8875865897700789,0.881022272625082,0.3626373626373626,0.8730674265605645,1.1770231535503037,0.5654640243575789,0.8730369015300393,0.8732200517131895,0.8677065663293504,0.4725274725274725,0.8875460973826477,0.7090498007685992,0.32702165925890786,0.8875379989051615,0.8875865897700789,0.881022272625082,0.3626373626373626,0.8601035196709365,0.6292888062405696,0.2300102603057803,0.8601123380130883,0.8600594279601782,0.8475623567569996,0.12087912087912088,0.24022475579141844,0.0,0.17114800093523497,0.0,1113,0.048944591029023744,3181,620,306,0.9010114335971856,0.10807119866058879,24805,8266,22740,42
20,selection_summary_top_blocked_candidate,BLOCKED_D99_ADMISSION,False,False,34,D99_WORST_FLOOR_REGRESSION,False,True,0,0.2,0.0,0.9000089081649363,0.9041055291583853,0.4414778889929978,0.9000089081649365,0.9000089081649368,0.8948685739382007,0.3617021276595745,0.8582053944297718,0.5448204309688232,0.24250326713317366,0.8582053944297718,0.8582053944297721,0.8442270048073869,0.12222222222222222,0.8618865836879472,1.2046151734044928,0.5787814077935008,0.861886583687947,0.8618865836879472,0.8546575983817019,0.4,0.8582053944297718,0.5448204309688232,0.24250326713317366,0.8582053944297718,0.8582053944297721,0.8442270048073869,0.12222222222222222,0.852910583463598,0.6371753321432188,0.24296883452813062,0.8529821364945662,0.8525528183087585,0.8372273262484136,0.07777777777777778,0.3592850981895621,0.0,-0.23947990543735226,0.0,757,0.033465959328028295,3720,276,354,0.8753315649867374,0.10465326217085623,42539,8245,22620,42
