method,new_class_count,n_cells,old_acc_before_increment_mean,old_acc_before_increment_min,old_acc_before_increment_max,old_acc_after_increment_mean,old_acc_after_increment_min,old_acc_after_increment_max,seen_new_acc_mean,seen_new_acc_min,seen_new_acc_max,H_old_new_mean,H_old_new_min,H_old_new_max,candidate_average_forgetting_mean,candidate_average_forgetting_min,candidate_average_forgetting_max,min_old_class_acc_mean,min_old_class_acc_min,min_old_class_acc_max
csil_official_repo_corefix_cvs_adapter,1,100,0.8370000000000001,0.725,1.0,0.0010277777777777776,0.0,0.05555555555555555,1.0,1.0,1.0,0.001819063788503517,0.0,0.09523809523809523,0.8359722222222223,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,100,0.8370000000000001,0.725,1.0,0.006888888888888889,0.0,0.06111111111111111,0.3388333333333333,0.29444444444444445,0.45,0.010064499713961556,0.0,0.08465608465608465,0.830111111111111,0.6722222222222222,1.0,0.0,0.0,0.0
mopc_hr_official_repo_cvs_adapter,25,100,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.56325,0.19444444444444442,1.0,0.16458666666666666,0.0006666666666666666,0.36866666666666664,0.21109826684795877,0.0013300425065130947,0.4210402251640854,0.3114166666666667,-0.02499999999999995,0.6499999999999999,0.145,0.0,1.0
mopc_hr_official_repo_sequential5_cvs_adapter,25,100,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.19425,0.0,0.5666666666666668,0.10378,0.03666666666666667,0.19266666666666668,0.06964844703868611,0.0,0.1670128173535991,0.6804166666666667,0.34166666666666673,0.9888888888888889,0.001,0.0,0.06666666666666667
