"method","new_class_count","k_shot","old_class_id","n_scenario_rows","old_class_acc_mean","old_class_acc_min","old_class_acc_max"
"mopc_hr_official_repo_cvs_adapter","25","20","14-10","75","0.194","0","0.8"
"mopc_hr_official_repo_cvs_adapter","25","20","14-7","75","0.6373333333333334","0.05","1"
"mopc_hr_official_repo_cvs_adapter","25","20","20-15","75","0.094","0","1"
"mopc_hr_official_repo_cvs_adapter","25","20","20-19","75","0.7193333333333333","0","1"
"mopc_hr_official_repo_cvs_adapter","25","20","6-15","75","0.028","0","0.6"
"mopc_hr_official_repo_cvs_adapter","25","20","8-20","75","0.5486666666666667","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","14-10","75","0.09866666666666665","0","0.7"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","14-7","75","0.640666666666667","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","20-15","75","0.17933333333333332","0","0.95"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","20-19","75","0.7213333333333333","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","6-15","75","0.11866666666666667","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","1","8-20","75","0.4626666666666667","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","14-10","75","0.10733333333333334","0","0.8"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","14-7","75","0.638666666666667","0.1","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","20-15","75","0.07799999999999999","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","20-19","75","0.6693333333333334","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","6-15","75","0.02666666666666667","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","5","8-20","75","0.5439999999999998","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","14-10","75","0","0","0"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","14-7","75","0.16466666666666663","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","20-15","75","0.002","0","0.15"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","20-19","75","0.061333333333333344","0","1"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","6-15","75","0","0","0"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","10","8-20","75","0.03266666666666666","0","0.9"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","14-10","75","0","0","0"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","14-7","75","0.06999999999999999","0","0.75"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","20-15","75","0","0","0"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","20-19","75","0.016000000000000004","0","0.45"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","6-15","75","0","0","0"
"mopc_hr_official_repo_sequential5_cvs_adapter","25","20","8-20","75","0.03","0","0.65"
