cell_id,method,new_class_count,k_shot,receiver,seed,status,scenario_count,old_acc_before_increment,old_acc_after_increment,seen_new_acc,H_old_new,candidate_average_forgetting,min_old_class_acc
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8666666666666667,0.8111111111111112,0.010666666666666666,0.020858970621495165,0.05555555555555558,0.43333333333333335
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,10,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8666666666666667,0.4611111111111111,0.18333333333333335,0.26219727503305523,0.4055555555555556,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,20,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8666666666666667,0.4388888888888889,0.25133333333333335,0.3154161774950181,0.4277777777777778,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_5,mopc_hr_official_repo_cvs_adapter,25,5,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8666666666666667,0.5777777777777778,0.11066666666666665,0.18569045724137845,0.2888888888888889,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_1,mopc_hr_official_repo_sequential5_cvs_adapter,25,1,20-1,713101,ORDERED_ARRIVAL_DIAGNOSTIC,3,0.8666666666666667,0.26666666666666666,0.03666666666666667,0.04637729621621366,0.6,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_10,mopc_hr_official_repo_sequential5_cvs_adapter,25,10,20-1,713101,ORDERED_ARRIVAL_DIAGNOSTIC,3,0.8666666666666667,0.03888888888888889,0.13666666666666666,0.05516479449669104,0.8277777777777778,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_20,mopc_hr_official_repo_sequential5_cvs_adapter,25,20,20-1,713101,ORDERED_ARRIVAL_DIAGNOSTIC,3,0.8666666666666667,0.008333333333333333,0.14066666666666666,0.015108296839862706,0.8583333333333334,0.0
rx_20_1__seed_713101__new_25__mopc_hr_official_repo_sequential5_cvs_adapter__k_5,mopc_hr_official_repo_sequential5_cvs_adapter,25,5,20-1,713101,ORDERED_ARRIVAL_DIAGNOSTIC,3,0.8666666666666667,0.3611111111111111,0.051333333333333335,0.08933378938508252,0.5055555555555556,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,3,1,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.05555555555555555,0.37777777777777777,0.08187134502923978,0.7694444444444444,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,3,10,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,0.3333333333333333,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,3,20,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,0.3333333333333333,0.0,0.8249999999999998,0.0
rx_20_1__seed_713101__new_3__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,3,5,20-1,713101,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.008333333333333333,0.37777777777777777,0.015819209039548022,0.8166666666666665,0.0
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713102,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713102,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713102,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713102__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713102,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8249999999999998,0.0,1.0,0.0,0.8249999999999998,0.0
rx_20_1__seed_713102__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,1,20-1,713102,FORMAL_COMPARISON_INTERFACE_ADAPTER,3,0.8833333333333333,0.875,0.008,0.01584913691615426,0.00833333333333334,0.6833333333333332
