H_old_new,candidate_average_forgetting,candidate_lock_sha256,candidate_old_adaptation_gain,candidate_old_class_acc,candidate_old_class_count,delta_vs_direct_ADV3B02_K1,delta_vs_identity_K1,direct_adv3b02_old_acc,identity_average_forgetting,identity_delta_vs_direct_ADV3B02_K1,identity_old_acc_after_increment,identity_old_acc_before_increment,identity_old_adaptation_gain,k_shot,min_old_class_acc,old_acc,old_acc_after_increment,old_acc_before_increment,predictor_package_root_sha256,query_count,receiver_label,row_id,scenario,seen_new_acc,shared_view_count_mean,shared_view_count_p95,stage,target_new_query_count,target_old_query_count,view1_count,view3_count,view5_count,cell_id,method,new_class_count,seed,receiver
0.0,0.825,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.825,"{""14-10"":0.0,""14-7"":0.0,""20-15"":0.0,""20-19"":0.0,""6-15"":0.0,""8-20"":0.0}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8,0.008333333333333304,,0.9333333333333333,0.9416666666666667,-0.008333333333333304,5,0.0,0.0,0.0,0.825,78eddae11852c10976e733339a26be4eaed4f6307b0485e536de1a102d857f73,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,leo_low_elev_weak,1.0,1.0,1,stage2c,20,120,140,0,0,rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,713101,20-1
0.0,0.825,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.825,"{""14-10"":0.0,""14-7"":0.0,""20-15"":0.0,""20-19"":0.0,""6-15"":0.0,""8-20"":0.0}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8,0.008333333333333304,,0.9333333333333333,0.9416666666666667,-0.008333333333333304,5,0.0,0.0,0.0,0.825,78eddae11852c10976e733339a26be4eaed4f6307b0485e536de1a102d857f73,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,leo_rain_weak,1.0,1.0,1,stage2c,20,120,140,0,0,rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,713101,20-1
0.038901601830663615,0.15833333333333333,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.15833333333333333,"{""14-10"":1.0,""14-7"":0.7,""20-15"":0.8,""20-19"":1.0,""6-15"":0.0,""8-20"":0.75}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",-0.15833333333333333,-0.008333333333333304,0.8666666666666667,0.04166666666666663,-0.15000000000000002,0.7166666666666667,0.7583333333333333,-0.04166666666666663,1,0.0,0.7083333333333334,0.7083333333333334,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,leo_clear_weak,0.02,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.0,0.01666666666666672,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.01666666666666672,"{""14-10"":1.0,""14-7"":0.95,""20-15"":0.55,""20-19"":0.95,""6-15"":1.0,""8-20"":0.65}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",-0.01666666666666672,0.20833333333333326,0.8666666666666667,0.11666666666666659,-0.22499999999999998,0.6416666666666667,0.7583333333333333,-0.11666666666666659,1,0.55,0.85,0.85,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,leo_low_elev_weak,0.0,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.023675310033821874,-0.008333333333333304,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,0.008333333333333304,"{""14-10"":1.0,""14-7"":0.75,""20-15"":0.75,""20-19"":1.0,""6-15"":1.0,""8-20"":0.75}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",0.008333333333333304,0.20833333333333337,0.8666666666666667,0.09166666666666667,-0.20000000000000007,0.6666666666666666,0.7583333333333333,-0.09166666666666667,1,0.75,0.875,0.875,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,leo_rain_weak,0.012,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_1,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.2494394618834081,0.45,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.45,"{""14-10"":0.0,""14-7"":0.75,""20-15"":0.15,""20-19"":0.95,""6-15"":0.0,""8-20"":0.65}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8666666666666667,0.0,,0.9,0.9,-0.0,10,0.0,0.4166666666666667,0.4166666666666667,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,leo_clear_weak,0.178,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.27661097852028643,0.3583333333333334,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.3583333333333334,"{""14-10"":0.65,""14-7"":0.75,""20-15"":0.05,""20-19"":0.95,""6-15"":0.0,""8-20"":0.65}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8666666666666667,0.0,,0.9,0.9,-0.0,10,0.0,0.5083333333333333,0.5083333333333333,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,leo_low_elev_weak,0.19,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.2605413846954711,0.4083333333333334,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.4083333333333334,"{""14-10"":0.35,""14-7"":0.75,""20-15"":0.0,""20-19"":0.95,""6-15"":0.0,""8-20"":0.7}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8666666666666667,0.0,,0.9,0.9,-0.0,10,0.0,0.4583333333333333,0.4583333333333333,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,leo_rain_weak,0.182,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_10,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.3390882638215325,0.48333333333333334,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.48333333333333334,"{""14-10"":0.0,""14-7"":0.7,""20-15"":0.0,""20-19"":0.95,""6-15"":0.0,""8-20"":0.65}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8666666666666667,0.0,,0.9,0.9,-0.0,20,0.0,0.38333333333333336,0.38333333333333336,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,leo_clear_weak,0.304,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
0.3260579064587973,0.3583333333333334,33afa7218fcaa0eb1d9c528ba3cf231c8a25674a307433a33f76c8e7d33a1dec,-0.3583333333333334,"{""14-10"":0.75,""14-7"":0.75,""20-15"":0.0,""20-19"":0.9,""6-15"":0.0,""8-20"":0.65}","{""14-10"":20,""14-7"":20,""20-15"":20,""20-19"":20,""6-15"":20,""8-20"":20}",,,0.8666666666666667,0.0,,0.9,0.9,-0.0,20,0.0,0.5083333333333333,0.5083333333333333,0.8666666666666667,a18d25445cd1b523eb0400e1193cf1e058d971e781a86b6b6d74200f7c6a100d,620,20-1,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,leo_low_elev_weak,0.24,1.0,1,stage2c,500,120,620,0,0,rx_20_1__seed_713101__new_25__mopc_hr_official_repo_cvs_adapter__k_20,mopc_hr_official_repo_cvs_adapter,25,713101,20-1
