method,new_class_count,k_shot,comparison_relation,n_scenario_rows,old_acc_before_increment_mean,baseline_old_acc_before_increment_mean,delta_old_acc_before_increment_mean,old_acc_after_increment_mean,baseline_old_acc_after_increment_mean,delta_old_acc_after_increment_mean,seen_new_acc_mean,baseline_seen_new_acc_mean,delta_seen_new_acc_mean,H_old_new_mean,baseline_H_old_new_mean,delta_H_old_new_mean,candidate_average_forgetting_mean,baseline_candidate_average_forgetting_mean,delta_candidate_average_forgetting_mean,min_old_class_acc_mean,baseline_min_old_class_acc_mean,delta_min_old_class_acc_mean
csil_official_repo_corefix_cvs_adapter,1,1,strict_same_cell,75,0.837,0.837,0.0,0.004111111111111111,0.837,-0.8328888888888889,1.0,0.0,1.0,0.007276255154014066,0.0,0.007276255154014066,0.8328888888888889,0.0,0.8328888888888889,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,1,10,strict_same_cell,75,0.837,0.837,0.0,0.0,0.837,-0.837,1.0,0.0,1.0,0.0,0.0,0.0,0.837,0.0,0.837,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,1,20,strict_same_cell,75,0.837,0.837,0.0,0.0,0.837,-0.837,1.0,0.0,1.0,0.0,0.0,0.0,0.837,0.0,0.837,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,1,5,strict_same_cell,75,0.837,0.837,0.0,0.0,0.837,-0.837,1.0,0.0,1.0,0.0,0.0,0.0,0.837,0.0,0.837,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,3,1,strict_same_cell,75,0.837,0.837,0.0,0.02011111111111111,0.837,-0.8168888888888889,0.33911111111111114,0.0,0.33911111111111114,0.028861859265469192,0.0,0.028861859265469192,0.8168888888888889,0.0,0.8168888888888889,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,3,10,strict_same_cell,75,0.837,0.837,0.0,0.001,0.837,-0.8360000000000001,0.33755555555555555,0.0,0.33755555555555555,0.0017471574918383429,0.0,0.0017471574918383429,0.8360000000000001,0.0,0.8360000000000001,0.0,0.49399999999999994,-0.49399999999999994
csil_official_repo_corefix_cvs_adapter,3,20,strict_same_cell,75,0.837,0.837,0.0,0.0016666666666666668,0.0007777777777777778,0.0008888888888888887,0.3362222222222222,0.34044444444444444,-0.004222222222222222,0.00277995642701525,0.0013762224578767527,0.0014037339691384976,0.8353333333333333,0.8362222222222222,-0.0008888888888888887,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,5,strict_same_cell,75,0.837,0.837,0.0,0.0047777777777777775,0.837,-0.8322222222222222,0.34244444444444444,0.0,0.34244444444444444,0.006869025671523441,0.0,0.006869025671523441,0.8322222222222222,0.0,0.8322222222222222,0.0,0.49399999999999994,-0.49399999999999994
mopc_hr_official_repo_cvs_adapter,25,1,strict_same_cell,75,0.8746666666666666,0.8746666666666666,0.0,0.8543333333333334,0.8516666666666667,0.002666666666666663,0.0071200000000000005,0.006853333333333334,0.00026666666666666673,0.014042325709932513,0.013521147546504932,0.0005211781634275823,0.02033333333333334,0.023,-0.002666666666666663,0.49133333333333334,0.4653333333333333,0.025999999999999995
mopc_hr_official_repo_cvs_adapter,25,10,strict_same_cell,75,0.8746666666666666,0.8746666666666666,0.0,0.4472222222222222,0.4498888888888889,-0.002666666666666672,0.22285333333333332,0.22306666666666666,-0.00021333333333333482,0.292545909438679,0.29323055603121007,-0.0006846465925311093,0.4274444444444444,0.4247777777777778,0.0026666666666666705,0.017333333333333333,0.009333333333333332,0.008
