method,new_class_count,k_shot,n_cells,old_acc_before_increment_mean,old_acc_before_increment_min,old_acc_before_increment_max,old_acc_after_increment_mean,old_acc_after_increment_min,old_acc_after_increment_max,seen_new_acc_mean,seen_new_acc_min,seen_new_acc_max,H_old_new_mean,H_old_new_min,H_old_new_max,candidate_average_forgetting_mean,candidate_average_forgetting_min,candidate_average_forgetting_max,min_old_class_acc_mean,min_old_class_acc_min,min_old_class_acc_max
csil_official_repo_corefix_cvs_adapter,1,1,25,0.8370000000000001,0.725,1.0,0.0041111111111111105,0.0,0.05555555555555555,1.0,1.0,1.0,0.007276255154014068,0.0,0.09523809523809523,0.8328888888888889,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,1,10,25,0.8370000000000001,0.725,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8370000000000001,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,1,20,25,0.8370000000000001,0.725,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8370000000000001,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,1,5,25,0.8370000000000001,0.725,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8370000000000001,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,1,25,0.8370000000000001,0.725,1.0,0.02011111111111111,0.0,0.06111111111111111,0.33911111111111114,0.29444444444444445,0.4166666666666667,0.028861859265469195,0.0,0.08465608465608465,0.8168888888888888,0.6722222222222222,0.9916666666666667,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,10,25,0.8370000000000001,0.725,1.0,0.001,0.0,0.019444444444444445,0.33755555555555555,0.3333333333333333,0.37222222222222223,0.0017471574918383429,0.0,0.03309692671394799,0.836,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,20,25,0.8370000000000001,0.725,1.0,0.0016666666666666666,0.0,0.041666666666666664,0.3362222222222222,0.3277777777777778,0.39444444444444443,0.0027799564270152505,0.0,0.06949891067538126,0.8353333333333333,0.725,1.0,0.0,0.0,0.0
csil_official_repo_corefix_cvs_adapter,3,5,25,0.8370000000000001,0.725,1.0,0.0047777777777777775,0.0,0.05555555555555555,0.3424444444444444,0.3333333333333333,0.45,0.006869025671523441,0.0,0.07407407407407407,0.8322222222222223,0.725,1.0,0.0,0.0,0.0
mopc_hr_official_repo_cvs_adapter,25,1,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.8543333333333334,0.7305555555555556,1.0,0.0071200000000000005,0.0006666666666666666,0.012000000000000002,0.014042325709932513,0.0013300425065130947,0.023668012952115566,0.020333333333333335,-0.02499999999999995,0.0833333333333333,0.49133333333333334,0.11666666666666665,1.0
mopc_hr_official_repo_cvs_adapter,25,10,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.4472222222222222,0.25833333333333336,0.7638888888888888,0.22285333333333335,0.13133333333333333,0.3093333333333333,0.2925459094386789,0.18485711600319524,0.4068287113913664,0.42744444444444446,0.21944444444444441,0.5638888888888889,0.017333333333333333,0.0,0.16666666666666666
mopc_hr_official_repo_cvs_adapter,25,20,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.3702222222222222,0.19444444444444442,0.5555555555555555,0.28336,0.14866666666666667,0.36866666666666664,0.3079743793001566,0.1948186457781835,0.4210402251640854,0.5044444444444445,0.37222222222222223,0.6499999999999999,0.0,0.0,0.0
mopc_hr_official_repo_cvs_adapter,25,5,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.5812222222222222,0.37777777777777777,0.8277777777777778,0.14501333333333333,0.09066666666666667,0.20466666666666666,0.22983045294306706,0.15094096235096358,0.3136790525314039,0.29344444444444445,0.15555555555555547,0.4305555555555556,0.07133333333333333,0.0,0.2833333333333333
mopc_hr_official_repo_sequential5_cvs_adapter,25,1,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.3702222222222222,0.15,0.5666666666666668,0.06064,0.03666666666666667,0.07866666666666666,0.09975106868770423,0.04637729621621366,0.13337591556929743,0.5044444444444445,0.38888888888888884,0.7111111111111111,0.0006666666666666666,0.0,0.016666666666666666
mopc_hr_official_repo_sequential5_cvs_adapter,25,10,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.04344444444444445,0.0,0.17500000000000002,0.14125333333333334,0.078,0.17733333333333334,0.05398534501574991,0.0,0.1670128173535991,0.8312222222222222,0.6749999999999999,0.9777777777777779,0.0,0.0,0.0
mopc_hr_official_repo_sequential5_cvs_adapter,25,20,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.019333333333333334,0.002777777777777778,0.09166666666666667,0.15437333333333333,0.09000000000000001,0.19266666666666668,0.02828074902114641,0.0052159739201304,0.11058467366762999,0.8553333333333333,0.7333333333333334,0.9888888888888889,0.0,0.0,0.0
mopc_hr_official_repo_sequential5_cvs_adapter,25,5,25,0.8746666666666667,0.7416666666666667,0.9916666666666667,0.344,0.075,0.5555555555555555,0.058853333333333334,0.04533333333333334,0.08466666666666667,0.0965766254301439,0.05595350572479258,0.1414608989608282,0.5306666666666667,0.34166666666666673,0.7444444444444445,0.003333333333333333,0.0,0.06666666666666667
