method,new_tx_ids,old_acc,seen_new_acc,min_seen_new_class_acc,H_old_new,passes_joint_target,per_new_acc,support_count,old_query_count,new_query_count
knn1,"18-9,2-13",0.8708333333333333,0.675,0.675,0.760512129380054,True,"{""18-9"": 0.675, ""2-13"": 0.675}",80,240,80
knn1,"13-14,19-3",0.8625,0.75,0.675,0.8023255813953489,True,"{""13-14"": 0.675, ""19-3"": 0.825}",80,240,80
knn1,"12-20,18-15",0.8625,0.7,0.675,0.7728,True,"{""12-20"": 0.725, ""18-15"": 0.675}",80,240,80
knn1,"12-20,20-3",0.8625,0.7,0.675,0.7728,True,"{""12-20"": 0.725, ""20-3"": 0.675}",80,240,80
knn1,"13-14,20-3",0.8625,0.675,0.675,0.7573170731707317,True,"{""13-14"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"18-9,20-3",0.8625,0.675,0.675,0.7573170731707317,True,"{""18-9"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"20-3,3-1",0.8625,0.675,0.675,0.7573170731707317,True,"{""20-3"": 0.675, ""3-1"": 0.675}",80,240,80
knn1,"18-9,19-3",0.8583333333333333,0.75,0.675,0.8005181347150258,True,"{""18-9"": 0.675, ""19-3"": 0.825}",80,240,80
knn1,"19-3,3-1",0.8583333333333333,0.75,0.675,0.8005181347150258,True,"{""19-3"": 0.825, ""3-1"": 0.675}",80,240,80
knn1,"19-6,20-3",0.8583333333333333,0.7,0.675,0.7711229946524064,True,"{""19-6"": 0.725, ""20-3"": 0.675}",80,240,80
knn1,"19-9,2-13",0.8583333333333333,0.6875,0.675,0.763477088948787,True,"{""19-9"": 0.7, ""2-13"": 0.675}",80,240,80
knn1,"12-7,20-3",0.8583333333333333,0.675,0.675,0.7557065217391304,True,"{""12-7"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"12-7,19-3",0.8541666666666666,0.75,0.675,0.7987012987012988,True,"{""12-7"": 0.675, ""19-3"": 0.825}",80,240,80
knn1,"18-15,2-13",0.8541666666666666,0.7125,0.675,0.7769281914893618,True,"{""18-15"": 0.675, ""2-13"": 0.75}",80,240,80
knn1,"2-13,20-3",0.8541666666666666,0.7125,0.675,0.7769281914893618,True,"{""2-13"": 0.75, ""20-3"": 0.675}",80,240,80
knn1,"19-13,20-3",0.8541666666666666,0.6875,0.675,0.7618243243243243,True,"{""19-13"": 0.7, ""20-3"": 0.675}",80,240,80
knn1,"20-3,3-8",0.85,0.7625,0.675,0.8038759689922481,True,"{""20-3"": 0.675, ""3-8"": 0.85}",80,240,80
knn1,"18-9,6-6",0.85,0.7,0.675,0.767741935483871,True,"{""18-9"": 0.675, ""6-6"": 0.725}",80,240,80
knn1,"18-15,20-3",0.85,0.675,0.675,0.7524590163934426,True,"{""18-15"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"1-8,20-3",0.8458333333333333,0.75,0.675,0.7950391644908618,True,"{""1-8"": 0.825, ""20-3"": 0.675}",80,240,80
knn1,"18-15,19-3",0.8416666666666667,0.75,0.675,0.7931937172774868,True,"{""18-15"": 0.675, ""19-3"": 0.825}",80,240,80
knn1,"2-13,9-1",0.8416666666666667,0.675,0.675,0.7491758241758242,True,"{""2-13"": 0.675, ""9-1"": 0.675}",80,240,80
knn1,"20-3,9-1",0.8375,0.7125,0.675,0.7699596774193549,True,"{""20-3"": 0.675, ""9-1"": 0.75}",80,240,80
knn1,"19-9,6-6",0.8375,0.7,0.675,0.76260162601626,True,"{""19-9"": 0.675, ""6-6"": 0.725}",80,240,80
knn1,"12-19,20-3",0.8375,0.675,0.675,0.7475206611570249,True,"{""12-19"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"18-15,6-6",0.8333333333333334,0.7250000000000001,0.675,0.7754010695187166,True,"{""18-15"": 0.675, ""6-6"": 0.775}",80,240,80
knn1,"20-3,6-6",0.8333333333333334,0.7250000000000001,0.675,0.7754010695187166,True,"{""20-3"": 0.675, ""6-6"": 0.775}",80,240,80
knn1,"1-10,2-7",0.825,0.6875,0.675,0.75,True,"{""1-10"": 0.675, ""2-7"": 0.7}",80,240,80
knn1,"1-10,19-3",0.8041666666666667,0.75,0.675,0.7761394101876675,True,"{""1-10"": 0.675, ""19-3"": 0.825}",80,240,80
knn1,"1-10,18-15",0.8041666666666667,0.675,0.675,0.733943661971831,True,"{""1-10"": 0.675, ""18-15"": 0.675}",80,240,80
knn1,"1-10,20-3",0.8041666666666667,0.675,0.675,0.733943661971831,True,"{""1-10"": 0.675, ""20-3"": 0.675}",80,240,80
knn1,"12-20,2-16",0.8791666666666667,0.6875,0.65,0.7716090425531914,True,"{""12-20"": 0.725, ""2-16"": 0.65}",80,240,80
knn1,"13-14,2-16",0.8791666666666667,0.6625000000000001,0.65,0.7556081081081082,True,"{""13-14"": 0.675, ""2-16"": 0.65}",80,240,80
knn1,"2-7,3-19",0.875,0.675,0.65,0.7620967741935485,True,"{""2-7"": 0.7, ""3-19"": 0.65}",80,240,80
knn1,"2-13,2-16",0.8708333333333333,0.7,0.65,0.7761273209549071,True,"{""2-13"": 0.75, ""2-16"": 0.65}",80,240,80
knn1,"13-19,2-7",0.8708333333333333,0.675,0.65,0.760512129380054,True,"{""13-19"": 0.65, ""2-7"": 0.7}",80,240,80
knn1,"19-13,2-16",0.8708333333333333,0.675,0.65,0.760512129380054,True,"{""19-13"": 0.7, ""2-16"": 0.65}",80,240,80
knn1,"12-7,2-16",0.8708333333333333,0.6625000000000001,0.65,0.7525135869565218,True,"{""12-7"": 0.675, ""2-16"": 0.65}",80,240,80
knn1,"19-13,2-13",0.8666666666666667,0.6875,0.65,0.7667560321715817,True,"{""19-13"": 0.65, ""2-13"": 0.725}",80,240,80
