boundary_margin_loss,episode_count,epoch,epoch_seconds,feature_anchor_loss,gradient_norm,learning_rate,loss,mean_base_margin,mean_margin,optimizer_steps,prototype_gram_loss,prototype_separation_loss,receiver,seed,support_train_acc,view_consistency_loss,xview_prototype_ce
0.01859292769804597,10,1,0.8690506322309375,4.115651115874641e-05,1.0490578532218933,0.02,2.764801836013794,0.18066641930490732,0.1821158491075039,10,2.079739833175952e-06,0.0007495171095158515,20-1,713101,0.5777777777777777,0.15143765062093734,2.712263250350952
0.01368533675558865,10,2,0.10637457482516766,0.0012753069386235438,2.0786140978336336,0.02,2.6450507640838623,0.18066641930490732,0.19130806177854537,20,5.0591315357451094e-05,0.0006507661467367142,20-1,713101,0.5861111111111111,0.15076674968004228,2.6017778158187865
0.01507953810505569,10,3,0.11773086525499821,0.010327878571115435,2.8900261759757995,0.02,2.448876476287842,0.18066641930490732,0.20636395141482353,30,0.0004173920751782134,0.0007596048712912307,20-1,713101,0.6083333333333333,0.14650385156273843,2.398504412174225
0.018731297506019474,10,4,0.12606293195858598,0.028039911668747662,3.19570631980896,0.02,2.26069895029068,0.18066641930490732,0.2205976750701666,40,0.0008515846755472011,0.0011979934031842276,20-1,713101,0.625,0.13932879716157914,2.1945582270622253
0.027320398949086666,10,5,0.11837187688797712,0.05208125673234463,3.117299723625183,0.02,2.125373291969299,0.18066641930490732,0.22579763345420362,50,0.001377877956838347,0.0024739498272538184,20-1,713101,0.6416666666666667,0.1312644861638546,2.0302579402923584
0.018082790821790696,10,1,0.7439420511946082,0.0003169942288472782,1.7870451986789704,0.02,2.310876023769379,0.2439464211463928,0.2463797576725483,10,4.212082319575503e-06,0.000978921578303016,20-1,713102,0.6694444444444444,0.10957426354289054,2.2633476674556734
0.01631944114342332,10,2,0.11756761418655515,0.0035073600243777036,2.0885549902915956,0.02,2.1973244905471803,0.2439464211463928,0.2559651494026184,20,6.997291047809995e-05,0.0010820999556926836,20-1,713102,0.6777777777777778,0.10473255850374699,2.152153205871582
0.01971609960310161,10,3,0.1162296561524272,0.01258277683518827,2.31959308385849,0.02,2.088769805431366,0.2439464211463928,0.26599190905690195,30,0.0002573840149125317,0.0014533013381878845,20-1,713102,0.6888888888888889,0.0981718048453331,2.0327370166778564
0.025051297899335623,10,4,0.11585084209218621,0.02565305233001709,2.4773043513298036,0.02,2.009844648838043,0.2439464211463928,0.27023352310061455,40,0.0005861948200617916,0.002114331320626661,20-1,713102,0.7027777777777777,0.0931890819221735,1.9367749094963074
0.032934713270515205,10,5,0.11586301261559129,0.04338239952921867,2.554523396492004,0.02,1.9308988988399505,0.2439464211463928,0.2743495486676693,50,0.001363517515710555,0.003769775846740231,20-1,713102,0.7083333333333334,0.08668751083314419,1.8330452680587768
0.019360271096229554,10,1,0.8160872342996299,9.402417574371214e-05,1.1558487117290497,0.02,2.824922025203705,0.191495568305254,0.19213527925312518,10,6.052637324757405e-07,0.0016957383604108203,20-1,713103,0.5861111111111111,0.12062120512127876,2.773668098449707
0.017409301549196243,10,2,0.12606254080310464,0.0015630806854460388,1.535927152633667,0.02,2.7617345571517946,0.191495568305254,0.1951532643288374,20,2.426963224024803e-05,0.0016448043945729296,20-1,713103,0.5916666666666667,0.11997240632772446,2.7137138724327086
0.017744055949151516,10,3,0.13793471409007907,0.006662575947120786,1.8778897523880005,0.02,2.6893878102302553,0.191495568305254,0.1990932647138834,30,7.697557248320663e-05,0.0015921261799121567,20-1,713103,0.5972222222222222,0.11836515441536903,2.6382954359054565
0.019183187372982503,10,4,0.14263877598568797,0.014114059368148446,2.211961019039154,0.02,2.6189122796058655,0.191495568305254,0.20317275188863276,40,0.00017430118550691985,0.0016844193518409157,20-1,713103,0.6055555555555555,0.11739817038178443,2.561240887641907
0.02399116326123476,10,5,0.13086095871403813,0.026658348832279445,2.801520895957947,0.02,2.5535438418388368,0.191495568305254,0.20597052983939648,50,0.0003888289094902575,0.0019727087012142873,20-1,713103,0.5972222222222222,0.11444634422659875,2.480100119113922
0.017499523423612117,10,1,0.8894773139618337,0.00011381473952698506,1.411819726228714,0.02,2.448414075374603,0.26043902412056924,0.26315810829401015,10,2.7877846223284257e-06,0.000877379807675549,20-1,713104,0.6888888888888889,0.11442196443676948,2.4016952395439146
0.012394201010465622,10,2,0.26516519812867045,0.0017351731774397194,1.914025616645813,0.02,2.356030595302582,0.26043902412056924,0.27314267605543135,20,4.521216242210357e-05,0.0008180194378383021,20-1,713104,0.7,0.1125564694404602,2.3188918352127077
0.011701630940660835,10,3,0.26802848000079393,0.011629826901480556,2.530313420295715,0.02,2.1557929277420045,0.26043902412056924,0.2913946270942688,30,0.00020307251033955254,0.0009187926993035944,20-1,713104,0.7111111111111111,0.10753415003418923,2.1154900789260864
0.01645680661313236,10,4,0.2622318738140166,0.03409884236752987,2.7990249156951905,0.02,1.9459367871284485,0.26043902412056924,0.3053197771310806,40,0.0005427745199995115,0.0013915120143792592,20-1,713104,0.7138888888888889,0.10014727860689163,1.8853397369384766
0.02441719248890877,10,5,0.20879970118403435,0.06947863698005677,2.874133813381195,0.02,1.718998908996582,0.26043902412056924,0.3141360580921173,50,0.0013024820422288031,0.0028416466957423836,20-1,713104,0.7222222222222222,0.0923202395439148,1.6248315691947937
0.019553101062774657,10,1,0.9202892738394439,2.9269192044800717e-05,0.918707424402237,0.02,3.150366795063019,0.12148229964077473,0.12192919664084911,10,6.062109293570609e-07,0.0035023186817170425,20-1,713105,0.5444444444444444,0.12354848608374595,3.0980152606964113
0.017111157160252334,10,2,0.1707574501633644,0.0003926810331904562,1.2187393486499787,0.02,3.1097069501876833,0.12148229964077473,0.12516998127102852,20,5.161056703428813e-06,0.0034416129958344754,20-1,713105,0.5388888888888889,0.12261557206511497,3.062163770198822
0.0160190025344491,10,3,0.1708156829699874,0.0038031616364605724,2.0031786441802977,0.02,3.0294312834739685,0.12148229964077473,0.13090453445911407,30,6.872018911963096e-05,0.003526664586388506,20-1,713105,0.5555555555555556,0.12012715339660644,2.9825629234313964
0.015579129522666334,10,4,0.17159698391333222,0.012845240347087384,2.5776063442230224,0.02,2.9016119480133056,0.12148229964077473,0.14066081084311008,40,0.00015833140914764954,0.00367773916805163,20-1,713105,0.5694444444444444,0.11701187938451767,2.851331341266632
0.01724995197728276,10,5,0.1753122629597783,0.034313561767339705,2.786008369922638,0.02,2.7575389623641966,0.12148229964077473,0.1513693831861019,50,0.0004262779442797182,0.004146288195624947,20-1,713105,0.5805555555555556,0.11212928891181946,2.6934196770191194
0.01925378032028675,10,1,0.9007173678837717,2.4953153378781677e-05,1.0324225693941116,0.02,2.86342511177063,0.08612348986789584,0.08694358086213469,10,5.3224480477609e-07,0.0013916485701387512,3-19,713101,0.5944444444444444,0.1447590969502926,2.8100810170173647
0.016788772493600845,10,2,0.1413444560021162,0.0006172017958306242,1.5849340200424193,0.02,2.8090264558792115,0.08612348986789584,0.09065628284588456,20,1.3916288025939139e-05,0.00141754215730856,3-19,713101,0.6,0.143654166162014,2.7604134917259215
0.015277017746120692,10,3,0.13972215168178082,0.0046020006528124215,2.0248895049095155,0.02,2.7061744689941407,0.08612348986789584,0.09840565389022231,30,8.321583654833376e-05,0.0015536572911514668,3-19,713101,0.6083333333333333,0.14095586836338042,2.658793842792511
0.017853346839547157,10,4,0.13860012497752905,0.017106528161093593,2.6967478156089784,0.02,2.578192853927612,0.08612348986789584,0.10636871941387653,40,0.0003722712368471548,0.002030576537072193,3-19,713101,0.6055555555555555,0.13696541488170624,2.519542634487152
0.02173231914639473,10,5,0.14292302774265409,0.03627623524516821,3.0438010811805727,0.02,2.4240315079689028,0.08612348986789584,0.11535130301490426,50,0.0008507065533194691,0.0029193648864747957,3-19,713101,0.6055555555555555,0.13270956948399543,2.3480026006698607
0.01795128621160984,10,1,0.9865246689878404,0.00014729467042746692,1.594622164964676,0.02,2.733348321914673,0.12357373666018248,0.12570774219930173,10,3.7601178974145936e-06,0.0018983774236403406,3-19,713102,0.5972222222222222,0.11781272292137146,2.6851143300533296
0.013055351935327053,10,2,0.298594756051898,0.001611034758388996,2.006786382198334,0.02,2.6509183824062346,0.12357373666018248,0.1357031386345625,20,8.3692561247517e-05,0.0019290552474558354,3-19,713102,0.5972222222222222,0.11565563380718231,2.611912450194359
0.013049117475748061,10,3,0.31902962317690253,0.0064817331032827495,2.6562236070632936,0.02,2.5312047839164733,0.12357373666018248,0.1459546409547329,30,0.00029450012152665295,0.0021039166924310846,3-19,713102,0.6,0.11224956586956977,2.4899675458669663
