adaptation_latency_sec,adapter_optimizer_steps,adv3b02_gradient_updates,aggregate_class_floor,dadda_adaptation_latency_sec,dadda_old_accuracy,direct_old_accuracy,full_backbone_forward_sample_equivalents,identity_qknn_old_accuracy,jg_delta_vs_dadda,jg_delta_vs_direct,jg_delta_vs_identity_qknn,jg_delta_vs_mrior,jg_delta_vs_protonet,jg_old_accuracy,k_shot,mrior_adaptation_latency_sec,mrior_old_accuracy,peak_cuda_memory_bytes,persistent_state_bytes,protonet_adaptation_latency_sec,protonet_old_accuracy,query_view_count,receiver,scenario_class_floor,seed,support_forward_sample_equivalents,support_view_count,trainable_parameters
1.3385415449738503,50,0,0.31666666666666665,13.082164053184291,0.8027777671813965,0.6972222222222223,180,0.7666666666666666,-0.013888878292507623,0.09166666666666667,0.022222222222222254,-0.12777775790956292,0.12777779234780207,0.7888888888888889,10,17.368261333865423,0.9166666467984518,23843328,57076,0.03352008992806077,0.6611110965410868,1,20-1,0.2,713101,1980,3,6400
1.2102293372154236,50,0,0.5833333333333334,12.77097721848016,0.7333333293596903,0.6833333333333332,180,0.7666666666666666,0.050000003973642904,0.09999999999999998,0.01666666666666668,-0.09722221692403166,0.10555556615193673,0.7833333333333332,10,15.304543814311424,0.8805555502573649,23843328,57076,0.038525059508780636,0.6777777671813965,1,20-1,0.45,713102,1980,3,6400
1.3547555059194565,50,0,0.48333333333333334,13.554444018440941,0.7111111084620158,0.6027777777777777,180,0.6527777777777778,-0.03333333068423805,0.075,0.024999999999999984,-0.10277776850594422,0.10833332008785668,0.6777777777777777,10,16.205819302238524,0.7805555462837219,23843328,57076,0.03749876314153274,0.569444457689921,1,20-1,0.35,713103,1980,3,6400
1.8951101647689939,50,0,0.3,13.649142589730522,0.7777777910232544,0.6666666666666666,180,0.7055555555555556,-0.01944445768992098,0.09166666666666667,0.05277777777777778,-0.13888888756434115,0.175000019868215,0.7583333333333334,10,16.355830682596814,0.8972222208976746,23843328,57076,0.035359529157479606,0.5833333134651184,1,20-1,0.25,713104,1980,3,6400
1.6098082726821303,50,0,0.5333333333333333,12.504387781800082,0.7638888756434122,0.6666666666666666,180,0.7416666666666667,-0.0083333200878567,0.0888888888888889,0.013888888888888914,-0.04722221162584095,0.13611112568113537,0.7555555555555555,10,15.246987844506899,0.8027777671813965,23843328,57076,0.033980864100158215,0.6194444298744202,1,20-1,0.25,713105,1980,3,6400
1.464412413071841,50,0,0.5833333333333334,12.63295951889207,0.700000007947286,0.6333333333333333,180,0.7000000000000001,0.008333325386047363,0.075,0.00833333333333334,-0.04166666666666663,0.11944444974263513,0.7083333333333334,10,15.931601953537514,0.75,23843328,57076,0.035536990656207,0.5888888835906982,1,3-19,0.55,713101,1980,3,6400
2.2202685521915555,50,0,0.36666666666666664,12.183224897676459,0.6416666706403097,0.5972222222222222,180,0.5944444444444444,-0.025000003973642992,0.019444444444444486,0.022222222222222254,-0.10555556217829387,0.07500000000000007,0.6166666666666667,10,15.356041487616798,0.7222222288449606,23843328,57076,0.034163260677208505,0.5416666666666666,1,3-19,0.3,713102,1980,3,6400
2.193704199977219,50,0,0.45,12.544641538212696,0.6527777711550394,0.6166666666666667,180,0.6305555555555555,-0.011111104488372825,0.02499999999999995,0.011111111111111108,-0.0944444378217062,0.07222220897674558,0.6416666666666666,10,15.520219110728553,0.7361111044883728,23843328,57076,0.05506335664540529,0.569444457689921,1,3-19,0.2,713103,1980,3,6400
1.9447901858948171,50,0,0.3,13.189171093671272,0.6888888875643412,0.6444444444444445,180,0.65,-0.016666665342119025,0.027777777777777752,0.02222222222222218,-0.02500001059638135,0.0749999933772616,0.6722222222222222,10,15.320703322067857,0.6972222328186035,23843328,57076,0.0350385334653159,0.5972222288449606,1,3-19,0.15,713104,1980,3,6400
1.9552420806139708,50,0,0.5,12.555691829727342,0.6305555701255798,0.6472222222222223,180,0.6472222222222223,0.038888874318864564,0.02222222222222218,0.022222222222222216,-0.06111108991834857,0.15277776387002728,0.6694444444444444,10,17.60541342711076,0.730555534362793,23843328,57076,0.037647646541396775,0.5166666805744171,1,3-19,0.35,713105,1980,3,6400
1.9423826606944203,50,0,0.7333333333333333,13.267508758852879,0.8972222407658895,0.8916666666666667,180,0.8888888888888888,-1.8543667268389186e-08,0.005555555555555573,0.008333333333333378,0.03611109786563449,0.03888889286253194,0.8972222222222223,10,16.52046655723825,0.8611111243565878,23843328,57076,0.0362576994424065,0.8583333293596903,1,7-14,0.65,713101,1980,3,6400
1.7465141541324556,50,0,0.6833333333333333,12.363170255596438,0.8805555701255798,0.8777777777777778,180,0.8694444444444445,-0.013888903458913138,-0.011111111111111108,-0.002777777777777768,-0.033333329359690356,0.03611110846201582,0.8666666666666667,10,16.823756228356313,0.899999996026357,23843328,57076,0.0355275459587574,0.8305555582046509,1,7-14,0.6,713102,1980,3,6400
1.7450468498282135,50,0,0.7666666666666667,12.997889932089796,0.9083333412806193,0.9111111111111111,180,0.9138888888888889,0.0027777698304918275,-3.700743415417188e-17,-0.002777777777777768,0.05277778175142078,0.036111111111111094,0.9111111111111111,10,15.227839443987856,0.8583333293596903,23843328,57076,0.03490288835018873,0.875,1,7-14,0.65,713103,1980,3,6400
2.0336420722305775,50,0,0.75,12.725219100248069,0.8777777751286825,0.8999999999999999,180,0.8999999999999999,0.0250000026490953,0.0027777777777778048,0.0027777777777778048,0.019444432523515465,0.041666653421190025,0.9027777777777778,10,20.12476399121806,0.8833333452542623,23843328,57076,0.03714438620954752,0.8611111243565878,1,7-14,0.7,713104,1980,3,6400
1.3717124019749463,50,0,0.6333333333333333,13.293829124886543,0.8777777751286825,0.8888888888888888,180,0.8805555555555555,-0.0027777751286824914,-0.013888888888888876,-0.005555555555555536,-0.01944446563720703,0.008333325386047363,0.875,10,18.51281980626906,0.894444465637207,23843328,57076,0.035935177778204284,0.8666666746139526,1,7-14,0.55,713105,1980,3,6400
1.868896722793579,50,0,0.5666666666666667,13.51622545098265,0.850000003973643,0.8333333333333334,180,0.8194444444444445,-0.005555559529198506,0.011111111111111108,0.024999999999999984,-0.05000000132454763,0.08888889418707957,0.8444444444444444,10,16.759099713216226,0.8944444457689921,23843328,57076,0.03545220599820217,0.7555555502573649,1,7-7,0.55,713101,1980,3,6400
2.063702793326229,50,0,0.7,13.09931385004893,0.8527777791023254,0.8666666666666666,180,0.875,0.027777776453230096,0.013888888888888914,0.005555555555555536,-0.055555556880103274,0.06111111773384936,0.8805555555555555,10,15.671258321031928,0.9361111124356588,23843328,57076,0.03436945906529824,0.8194444378217062,1,7-7,0.5,713102,1980,3,6400
2.028108073864132,50,0,0.38333333333333336,12.949613171008727,0.8222222328186035,0.7944444444444444,180,0.763888888888889,-0.05555556615193691,-0.02777777777777779,0.002777777777777768,-0.11388888359069826,0.07500000397364293,0.7666666666666666,10,16.085410642437637,0.8805555502573649,23843328,57076,0.035749330961455904,0.6916666626930237,1,7-7,0.25,713103,1980,3,6400
1.9610388879664242,50,0,0.5833333333333334,13.822430121091505,0.8416666785875956,0.8416666666666667,180,0.85,-0.0027777896987066786,-0.002777777777777768,-0.011111111111111072,-0.06666667726304798,0.03333334657880993,0.8388888888888889,10,17.765335513744503,0.9055555661519369,23843328,57076,0.034437135172386966,0.805555542310079,1,7-7,0.55,713104,1980,3,6400
1.9742214241996408,50,0,0.5833333333333334,13.948440786451101,0.8166666825612386,0.8166666666666665,180,0.8166666666666668,0.002777761883205665,0.002777777777777768,0.002777777777777731,-0.07500000132454776,0.08888887034522153,0.8194444444444443,10,18.393359223691125,0.8944444457689921,23843328,57076,0.035058309944967427,0.7305555740992228,1,7-7,0.5,713105,1980,3,6400
2.0256117903627455,50,0,0.6166666666666667,13.654727248940617,0.8416666785875956,0.7333333333333334,180,0.7972222222222222,-0.03333334525426235,0.07500000000000002,0.011111111111111146,-0.07499999205271413,0.0666666587193806,0.8083333333333332,10,17.410519351561863,0.8833333253860474,23843328,57076,0.03831785529231032,0.7416666746139526,1,8-8,0.45,713101,1980,3,6400
1.6600827821530402,50,0,0.7,13.521043117468556,0.8666666746139526,0.7527777777777778,180,0.8194444444444443,-0.025000007947285963,0.0888888888888889,0.022222222222222216,-0.030555558204650834,0.08055554628372197,0.8416666666666667,10,16.43216039814676,0.8722222248713175,23843328,57076,0.033851132883379854,0.7611111203829447,1,8-8,0.4,713102,1980,3,6400
1.9024848998524249,50,0,0.5166666666666667,13.170791504594186,0.8166666626930237,0.7444444444444445,180,0.7777777777777778,-0.04444444047080154,0.02777777777777779,-0.005555555555555573,-0.06388890610800857,0.06944443914625376,0.7722222222222221,10,17.05375395528972,0.8361111283302307,23843328,57076,0.033777165692299604,0.7027777830759684,1,8-8,0.45,713103,1980,3,6400
1.7268926100805402,50,0,0.5833333333333334,13.68145520115892,0.7944444417953491,0.75,180,0.7999999999999999,0.02500000264909541,0.06944444444444449,0.019444444444444414,-0.033333314789665947,0.09166666534211909,0.8194444444444445,10,16.413516235227387,0.8527777592341105,23843328,57076,0.034173691645264626,0.7277777791023254,1,8-8,0.5,713104,1980,3,6400
1.8115904601290822,50,0,0.55,12.881899339612573,0.7916666666666666,0.7444444444444445,180,0.7805555555555556,-0.002777777777777768,0.044444444444444474,0.00833333333333334,-0.06944446033901641,0.027777788374159007,0.7888888888888889,10,18.488283451025683,0.8583333492279053,23843328,57076,0.037263120990246534,0.7611111005147299,1,8-8,0.45,713105,1980,3,6400
