cell_accuracy_ci95_high,cell_accuracy_ci95_low,cell_accuracy_max,cell_accuracy_mean,cell_accuracy_min,cell_accuracy_n,cell_accuracy_std,transmitter,weighted_accuracy
0.7190055227847187,0.6383278105486145,0.95,0.6786666666666666,0.2,75,0.17823711305019632,14-10,0.6786666666666666
0.7147886299783301,0.6492113700216697,1.0,0.6819999999999999,0.35,75,0.14487646181898972,14-7,0.682
0.9118850351581173,0.8641149648418825,1.0,0.8879999999999999,0.45,75,0.10553595518986805,20-15,0.888
0.6993956995611474,0.6006043004388526,1.0,0.65,0.15,75,0.21825474825335447,20-19,0.65
0.9537266921365395,0.9022733078634604,1.0,0.9279999999999999,0.45,75,0.11367331094686044,6-15,0.928
0.9331158420032613,0.8722174913300722,1.0,0.9026666666666667,0.5,75,0.1345395886009055,8-20,0.9026666666666666
