bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,far_feasible
96.0,1,0.01818181818181818,0.9918367346938776,1.598990298565719,False,False,False,0.5142857142857142,0.18571428571428572,0.8023809523809524,0.0,0.3875,0.9642857142857143,0.0,STAGE2C_NORM_SEP,SCORER_CONFORMAL_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/SCORER_CONFORMAL_SEEN/stage2c_qknn_SCORER_CONFORMAL_SEEN_k10.json,10,source_only,True,False
96.0,1,0.2396103896103896,0.813265306122449,1.589140443542561,False,False,False,0.0,0.18571428571428572,0.611904761904762,0.0,0.3875,0.6678571428571428,0.0,STAGE2C_NORM_SEP,SCORER_SEEN_RESCUE,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/SCORER_SEEN_RESCUE/stage2c_qknn_SCORER_SEEN_RESCUE_k10.json,10,source_only,True,False
96.0,1,0.2331168831168831,0.8214285714285714,1.553043820169549,False,False,False,0.0,0.15714285714285714,0.6309523809523809,0.0,0.3767857142857143,0.6714285714285714,0.0,STAGE2C_NORM_SEP,SCORER_CENTER_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/SCORER_CENTER_SEEN/stage2c_qknn_SCORER_CENTER_SEEN_k10.json,10,source_only,True,False
96.0,1,0.01883116883116883,0.9959183673469387,1.7103198335155265,False,False,False,0.6,0.21428571428571427,0.7928571428571428,0.0,0.3535714285714286,0.9553571428571429,0.0,STAGE2C_HEAD_SEP,SCORER_CONFORMAL_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_CONFORMAL_SEEN/stage2c_qknn_SCORER_CONFORMAL_SEEN_k10.json,10,source_only,True,False
96.0,1,0.2876623376623377,0.7704081632653061,1.7412477051960182,False,False,False,0.0,0.21428571428571427,0.5666666666666667,0.0,0.3535714285714286,0.6107142857142858,0.0,STAGE2C_HEAD_SEP,SCORER_SEEN_RESCUE,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_SEEN_RESCUE/stage2c_qknn_SCORER_SEEN_RESCUE_k10.json,10,source_only,True,False
96.0,1,0.2746753246753247,0.7816326530612245,1.68844077270478,False,False,False,0.014285714285714285,0.22857142857142856,0.5714285714285714,0.0,0.3517857142857143,0.6267857142857143,0.0,STAGE2C_HEAD_SEP,SCORER_CENTER_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_CENTER_SEEN/stage2c_qknn_SCORER_CENTER_SEEN_k10.json,10,source_only,True,False
96.0,1,0.6279220779220779,0.42448979591836733,1.4571388512124102,False,False,False,0.0,0.14285714285714285,0.0,0.0,0.3107142857142857,0.28035714285714286,0.0,STAGE2C_HEAD_SEP,SCORER_CENTER_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_CENTER_SEEN/stage2c_qknn_SCORER_CENTER_SEEN_k5.json,5,source_only,True,False
96.0,1,0.08636363636363636,0.9387755102040817,1.4229718121010566,False,False,False,0.6285714285714286,0.07142857142857142,0.8071428571428572,0.0,0.2892857142857143,0.8696428571428572,0.0,STAGE2C_HEAD_SEP,SCORER_CONFORMAL_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_CONFORMAL_SEEN/stage2c_qknn_SCORER_CONFORMAL_SEEN_k5.json,5,source_only,True,False
96.0,1,0.6298701298701299,0.4122448979591837,1.3799426263778822,False,False,False,0.0,0.07142857142857142,0.0,0.0,0.2892857142857143,0.29642857142857143,0.0,STAGE2C_HEAD_SEP,SCORER_SEEN_RESCUE,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/SCORER_SEEN_RESCUE/stage2c_qknn_SCORER_SEEN_RESCUE_k5.json,5,source_only,True,False
96.0,1,0.625974025974026,0.40816326530612246,1.3586182395213995,False,False,False,0.0,0.07142857142857142,0.0,0.0,0.2714285714285714,0.3142857142857143,0.0,STAGE2C_NORM_SEP,SCORER_CENTER_SEEN,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_seennew_rescue_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/SCORER_CENTER_SEEN/stage2c_qknn_SCORER_CENTER_SEEN_k5.json,5,source_only,True,False
