row,scenario,rx_idx,rx_label,tx_acc,tx_correct,tx_total
A5,leo_low_elev_weak,0,1-1,74.96666666666667,17992,24000
A5,leo_low_elev_weak,2,14-7,61.75833333333333,14822,24000
A5,leo_low_elev_weak,5,2-1,83.4625,20031,24000
A5,leo_low_elev_weak,7,20-1,61.708333333333336,14810,24000
A5,leo_low_elev_weak,9,7-14,70.05416666666666,16813,24000
A5,leo_low_elev_weak,10,7-7,79.72916666666667,19135,24000
A5,leo_low_elev_weak,11,8-8,69.65416666666667,16717,24000
A5,leo_rain_weak,0,1-1,75.05,18012,24000
A5,leo_rain_weak,2,14-7,62.425,14982,24000
A5,leo_rain_weak,5,2-1,83.55416666666666,20053,24000
A5,leo_rain_weak,7,20-1,62.27916666666667,14947,24000
A5,leo_rain_weak,9,7-14,70.49583333333334,16919,24000
A5,leo_rain_weak,10,7-7,78.88333333333334,18932,24000
A5,leo_rain_weak,11,8-8,70.49583333333334,16919,24000
A6,clean,0,1-1,81.37083333333334,19529,24000
A6,clean,2,14-7,74.03333333333333,17768,24000
A6,clean,5,2-1,92.05,22092,24000
A6,clean,7,20-1,69.0625,16575,24000
A6,clean,9,7-14,80.30833333333334,19274,24000
A6,clean,10,7-7,90.975,21834,24000
A6,clean,11,8-8,77.425,18582,24000
A6,leo_clear_weak,0,1-1,77.775,18666,24000
A6,leo_clear_weak,2,14-7,62.92916666666667,15103,24000
A6,leo_clear_weak,5,2-1,85.08333333333333,20420,24000
A6,leo_clear_weak,7,20-1,62.74583333333333,15059,24000
A6,leo_clear_weak,9,7-14,70.40833333333333,16898,24000
A6,leo_clear_weak,10,7-7,81.92083333333333,19661,24000
A6,leo_clear_weak,11,8-8,71.30416666666666,17113,24000
A6,leo_low_elev_weak,0,1-1,75.1,18024,24000
A6,leo_low_elev_weak,2,14-7,61.38333333333333,14732,24000
A6,leo_low_elev_weak,5,2-1,83.675,20082,24000
A6,leo_low_elev_weak,7,20-1,62.020833333333336,14885,24000
A6,leo_low_elev_weak,9,7-14,70.45416666666667,16909,24000
A6,leo_low_elev_weak,10,7-7,79.65416666666667,19117,24000
