variant,scene,category,group,correct,total,accuracy_percent
Ux,leo_rain_weak,receiver_all_days,4,5016,6000,83.6
Ux,leo_rain_weak,receiver_all_days,5,16420,24000,68.41666666666667
Ux,leo_rain_weak,receiver_all_days,6,4863,6000,81.05
Ux,leo_rain_weak,receiver_all_days,7,10752,24000,44.8
Ux,leo_rain_weak,receiver_all_days,8,4327,6000,72.11666666666666
Ux,leo_rain_weak,receiver_all_days,9,16261,24000,67.75416666666666
Ux,leo_rain_weak,receiver_all_days,10,14471,24000,60.295833333333334
Ux,leo_rain_weak,receiver_all_days,11,14668,24000,61.11666666666667
Ux,leo_rain_weak,class,0,21382,33000,64.7939393939394
Ux,leo_rain_weak,class,1,10406,33000,31.533333333333335
Ux,leo_rain_weak,class,2,13835,33000,41.92424242424242
Ux,leo_rain_weak,class,3,19313,33000,58.52424242424242
Ux,leo_rain_weak,class,4,25632,33000,77.67272727272727
Ux,leo_rain_weak,class,5,30917,33000,93.68787878787879
