variant,scene,category,group,correct,total,accuracy_percent
U3,leo_clear_weak,class,5,29787,33000,90.26363636363637
U3,leo_low_elev_weak,aggregate,all,122824,198000,62.03232323232323
U3,leo_low_elev_weak,named,test_unseen_day_seen_rx,22711,30000,75.70333333333333
U3,leo_low_elev_weak,named,test_day_0,22711,30000,75.70333333333333
U3,leo_low_elev_weak,named,test_seen_day_unseen_rx,75623,126000,60.018253968253966
U3,leo_low_elev_weak,named,test_rx_0,13002,18000,72.23333333333333
U3,leo_low_elev_weak,named,test_rx_2,8352,18000,46.4
U3,leo_low_elev_weak,named,test_rx_5,12727,18000,70.70555555555555
U3,leo_low_elev_weak,named,test_rx_7,7209,18000,40.05
U3,leo_low_elev_weak,named,test_rx_9,12335,18000,68.52777777777777
U3,leo_low_elev_weak,named,test_rx_10,10974,18000,60.96666666666667
U3,leo_low_elev_weak,named,test_rx_11,11024,18000,61.24444444444445
U3,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24490,42000,58.30952380952381
U3,leo_low_elev_weak,named,test_unseen_day_rx_0,3562,6000,59.36666666666667
U3,leo_low_elev_weak,named,test_unseen_day_rx_2,2472,6000,41.2
U3,leo_low_elev_weak,named,test_unseen_day_rx_5,3535,6000,58.916666666666664
U3,leo_low_elev_weak,named,test_unseen_day_rx_7,3161,6000,52.68333333333333
U3,leo_low_elev_weak,named,test_unseen_day_rx_9,3710,6000,61.833333333333336
U3,leo_low_elev_weak,named,test_unseen_day_rx_10,4168,6000,69.46666666666667
U3,leo_low_elev_weak,named,test_unseen_day_rx_11,3882,6000,64.7
U3,leo_low_elev_weak,receiver_all_days,0,16564,24000,69.01666666666667
U3,leo_low_elev_weak,receiver_all_days,1,4284,6000,71.4
U3,leo_low_elev_weak,receiver_all_days,2,10824,24000,45.1
U3,leo_low_elev_weak,receiver_all_days,3,4206,6000,70.1
U3,leo_low_elev_weak,receiver_all_days,4,4895,6000,81.58333333333333
U3,leo_low_elev_weak,receiver_all_days,5,16262,24000,67.75833333333334
U3,leo_low_elev_weak,receiver_all_days,6,4977,6000,82.95
U3,leo_low_elev_weak,receiver_all_days,7,10370,24000,43.208333333333336
U3,leo_low_elev_weak,receiver_all_days,8,4349,6000,72.48333333333333
U3,leo_low_elev_weak,receiver_all_days,9,16045,24000,66.85416666666667
U3,leo_low_elev_weak,receiver_all_days,10,15142,24000,63.09166666666667
U3,leo_low_elev_weak,receiver_all_days,11,14906,24000,62.108333333333334
U3,leo_low_elev_weak,class,0,20666,33000,62.624242424242425
U3,leo_low_elev_weak,class,1,12141,33000,36.79090909090909
U3,leo_low_elev_weak,class,2,15230,33000,46.15151515151515
U3,leo_low_elev_weak,class,3,19056,33000,57.74545454545454
U3,leo_low_elev_weak,class,4,26236,33000,79.5030303030303
U3,leo_low_elev_weak,class,5,29495,33000,89.37878787878788
U3,leo_rain_weak,aggregate,all,123100,198000,62.17171717171717
U3,leo_rain_weak,named,test_unseen_day_seen_rx,22949,30000,76.49666666666667
U3,leo_rain_weak,named,test_day_0,22949,30000,76.49666666666667
U3,leo_rain_weak,named,test_seen_day_unseen_rx,75811,126000,60.16746031746032
