variant,scene,category,group,correct,total,accuracy_percent
U1,leo_rain_weak,named,test_unseen_day_unseen_rx,24421,42000,58.14523809523809
U1,leo_rain_weak,named,test_unseen_day_rx_0,3533,6000,58.88333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_2,2248,6000,37.46666666666667
U1,leo_rain_weak,named,test_unseen_day_rx_5,3844,6000,64.06666666666666
U1,leo_rain_weak,named,test_unseen_day_rx_7,3101,6000,51.68333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_9,3749,6000,62.483333333333334
U1,leo_rain_weak,named,test_unseen_day_rx_10,4130,6000,68.83333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_11,3816,6000,63.6
U1,leo_rain_weak,receiver_all_days,0,16073,24000,66.97083333333333
U1,leo_rain_weak,receiver_all_days,1,4212,6000,70.2
U1,leo_rain_weak,receiver_all_days,2,10683,24000,44.5125
U1,leo_rain_weak,receiver_all_days,3,4140,6000,69.0
U1,leo_rain_weak,receiver_all_days,4,5084,6000,84.73333333333333
U1,leo_rain_weak,receiver_all_days,5,17245,24000,71.85416666666667
U1,leo_rain_weak,receiver_all_days,6,4916,6000,81.93333333333334
U1,leo_rain_weak,receiver_all_days,7,10337,24000,43.07083333333333
U1,leo_rain_weak,receiver_all_days,8,4448,6000,74.13333333333334
U1,leo_rain_weak,receiver_all_days,9,16664,24000,69.43333333333334
U1,leo_rain_weak,receiver_all_days,10,14937,24000,62.2375
U1,leo_rain_weak,receiver_all_days,11,14944,24000,62.266666666666666
U1,leo_rain_weak,class,0,22645,33000,68.62121212121212
U1,leo_rain_weak,class,1,9265,33000,28.075757575757574
U1,leo_rain_weak,class,2,18601,33000,56.36666666666667
U1,leo_rain_weak,class,3,19203,33000,58.19090909090909
U1,leo_rain_weak,class,4,24686,33000,74.80606060606061
U1,leo_rain_weak,class,5,29283,33000,88.73636363636363
U2,clean,aggregate,all,154236,198000,77.89696969696969
U2,clean,named,test_unseen_day_seen_rx,27708,30000,92.36
U2,clean,named,test_day_0,27708,30000,92.36
U2,clean,named,test_seen_day_unseen_rx,96621,126000,76.68333333333334
U2,clean,named,test_rx_0,14836,18000,82.42222222222222
U2,clean,named,test_rx_2,10727,18000,59.59444444444444
U2,clean,named,test_rx_5,15783,18000,87.68333333333334
U2,clean,named,test_rx_7,11676,18000,64.86666666666666
U2,clean,named,test_rx_9,15688,18000,87.15555555555555
U2,clean,named,test_rx_10,14160,18000,78.66666666666667
U2,clean,named,test_rx_11,13751,18000,76.39444444444445
U2,clean,named,test_unseen_day_unseen_rx,29907,42000,71.20714285714286
U2,clean,named,test_unseen_day_rx_0,3902,6000,65.03333333333333
U2,clean,named,test_unseen_day_rx_2,3245,6000,54.083333333333336
U2,clean,named,test_unseen_day_rx_5,4487,6000,74.78333333333333
U2,clean,named,test_unseen_day_rx_7,4882,6000,81.36666666666666
U2,clean,named,test_unseen_day_rx_9,4220,6000,70.33333333333333
U2,clean,named,test_unseen_day_rx_10,4497,6000,74.95
U2,clean,named,test_unseen_day_rx_11,4674,6000,77.9
U2,clean,receiver_all_days,0,18738,24000,78.075
U2,clean,receiver_all_days,1,4671,6000,77.85
U2,clean,receiver_all_days,2,13972,24000,58.21666666666667
U2,clean,receiver_all_days,3,5639,6000,93.98333333333333
U2,clean,receiver_all_days,4,5856,6000,97.6
U2,clean,receiver_all_days,5,20270,24000,84.45833333333333
U2,clean,receiver_all_days,6,5895,6000,98.25
U2,clean,receiver_all_days,7,16558,24000,68.99166666666666
U2,clean,receiver_all_days,8,5647,6000,94.11666666666666
U2,clean,receiver_all_days,9,19908,24000,82.95
U2,clean,receiver_all_days,10,18657,24000,77.7375
U2,clean,receiver_all_days,11,18425,24000,76.77083333333333
U2,clean,class,0,31812,33000,96.4
U2,clean,class,1,16244,33000,49.224242424242426
U2,clean,class,2,20716,33000,62.775757575757574
U2,clean,class,3,21819,33000,66.11818181818182
U2,clean,class,4,31401,33000,95.15454545454546
U2,clean,class,5,32244,33000,97.7090909090909
U2,leo_clear_weak,aggregate,all,126121,198000,63.69747474747475
U2,leo_clear_weak,named,test_unseen_day_seen_rx,23503,30000,78.34333333333333
U2,leo_clear_weak,named,test_day_0,23503,30000,78.34333333333333
U2,leo_clear_weak,named,test_seen_day_unseen_rx,77580,126000,61.57142857142857
U2,leo_clear_weak,named,test_rx_0,13369,18000,74.27222222222223
U2,leo_clear_weak,named,test_rx_2,8018,18000,44.544444444444444
U2,leo_clear_weak,named,test_rx_5,13243,18000,73.57222222222222
U2,leo_clear_weak,named,test_rx_7,7255,18000,40.30555555555556
U2,leo_clear_weak,named,test_rx_9,13331,18000,74.06111111111112
U2,leo_clear_weak,named,test_rx_10,10704,18000,59.46666666666667
U2,leo_clear_weak,named,test_rx_11,11660,18000,64.77777777777777
U2,leo_clear_weak,named,test_unseen_day_unseen_rx,25038,42000,59.614285714285714
U2,leo_clear_weak,named,test_unseen_day_rx_0,3638,6000,60.63333333333333
U2,leo_clear_weak,named,test_unseen_day_rx_2,2316,6000,38.6
U2,leo_clear_weak,named,test_unseen_day_rx_5,3727,6000,62.11666666666667
U2,leo_clear_weak,named,test_unseen_day_rx_7,3385,6000,56.416666666666664
U2,leo_clear_weak,named,test_unseen_day_rx_9,3843,6000,64.05
U2,leo_clear_weak,named,test_unseen_day_rx_10,4204,6000,70.06666666666666
U2,leo_clear_weak,named,test_unseen_day_rx_11,3925,6000,65.41666666666667
U2,leo_clear_weak,receiver_all_days,0,17007,24000,70.8625
U2,leo_clear_weak,receiver_all_days,1,4398,6000,73.3
U2,leo_clear_weak,receiver_all_days,2,10334,24000,43.05833333333333
U2,leo_clear_weak,receiver_all_days,3,4330,6000,72.16666666666667
U2,leo_clear_weak,receiver_all_days,4,5171,6000,86.18333333333334
U2,leo_clear_weak,receiver_all_days,5,16970,24000,70.70833333333333
U2,leo_clear_weak,receiver_all_days,6,5045,6000,84.08333333333333
U2,leo_clear_weak,receiver_all_days,7,10640,24000,44.333333333333336
U2,leo_clear_weak,receiver_all_days,8,4559,6000,75.98333333333333
U2,leo_clear_weak,receiver_all_days,9,17174,24000,71.55833333333334
U2,leo_clear_weak,receiver_all_days,10,14908,24000,62.11666666666667
U2,leo_clear_weak,receiver_all_days,11,15585,24000,64.9375
U2,leo_clear_weak,class,0,23051,33000,69.85151515151514
U2,leo_clear_weak,class,1,11164,33000,33.83030303030303
U2,leo_clear_weak,class,2,16323,33000,49.46363636363636
U2,leo_clear_weak,class,3,20259,33000,61.39090909090909
U2,leo_clear_weak,class,4,23959,33000,72.60303030303031
U2,leo_clear_weak,class,5,31365,33000,95.04545454545455
U2,leo_low_elev_weak,aggregate,all,120934,198000,61.077777777777776
U2,leo_low_elev_weak,named,test_unseen_day_seen_rx,22376,30000,74.58666666666667
U2,leo_low_elev_weak,named,test_day_0,22376,30000,74.58666666666667
U2,leo_low_elev_weak,named,test_seen_day_unseen_rx,74570,126000,59.182539682539684
U2,leo_low_elev_weak,named,test_rx_0,12634,18000,70.18888888888888
U2,leo_low_elev_weak,named,test_rx_2,7932,18000,44.06666666666667
U2,leo_low_elev_weak,named,test_rx_5,12672,18000,70.4
U2,leo_low_elev_weak,named,test_rx_7,7209,18000,40.05
U2,leo_low_elev_weak,named,test_rx_9,12730,18000,70.72222222222223
U2,leo_low_elev_weak,named,test_rx_10,10226,18000,56.81111111111111
U2,leo_low_elev_weak,named,test_rx_11,11167,18000,62.03888888888889
U2,leo_low_elev_weak,named,test_unseen_day_unseen_rx,23988,42000,57.114285714285714
U2,leo_low_elev_weak,named,test_unseen_day_rx_0,3468,6000,57.8
U2,leo_low_elev_weak,named,test_unseen_day_rx_2,2370,6000,39.5
U2,leo_low_elev_weak,named,test_unseen_day_rx_5,3522,6000,58.7
U2,leo_low_elev_weak,named,test_unseen_day_rx_7,3185,6000,53.083333333333336
U2,leo_low_elev_weak,named,test_unseen_day_rx_9,3725,6000,62.083333333333336
U2,leo_low_elev_weak,named,test_unseen_day_rx_10,3877,6000,64.61666666666666
U2,leo_low_elev_weak,named,test_unseen_day_rx_11,3841,6000,64.01666666666667
U2,leo_low_elev_weak,receiver_all_days,0,16102,24000,67.09166666666667
U2,leo_low_elev_weak,receiver_all_days,1,4184,6000,69.73333333333333
U2,leo_low_elev_weak,receiver_all_days,2,10302,24000,42.925
U2,leo_low_elev_weak,receiver_all_days,3,4087,6000,68.11666666666666
U2,leo_low_elev_weak,receiver_all_days,4,4954,6000,82.56666666666666
U2,leo_low_elev_weak,receiver_all_days,5,16194,24000,67.475
U2,leo_low_elev_weak,receiver_all_days,6,4827,6000,80.45
U2,leo_low_elev_weak,receiver_all_days,7,10394,24000,43.30833333333333
U2,leo_low_elev_weak,receiver_all_days,8,4324,6000,72.06666666666666
U2,leo_low_elev_weak,receiver_all_days,9,16455,24000,68.5625
U2,leo_low_elev_weak,receiver_all_days,10,14103,24000,58.7625
U2,leo_low_elev_weak,receiver_all_days,11,15008,24000,62.53333333333333
U2,leo_low_elev_weak,class,0,22555,33000,68.34848484848484
U2,leo_low_elev_weak,class,1,10278,33000,31.145454545454545
U2,leo_low_elev_weak,class,2,15570,33000,47.18181818181818
U2,leo_low_elev_weak,class,3,18963,33000,57.46363636363636
U2,leo_low_elev_weak,class,4,22470,33000,68.0909090909091
U2,leo_low_elev_weak,class,5,31098,33000,94.23636363636363
U2,leo_rain_weak,aggregate,all,121210,198000,61.217171717171716
U2,leo_rain_weak,named,test_unseen_day_seen_rx,22473,30000,74.91
U2,leo_rain_weak,named,test_day_0,22473,30000,74.91
U2,leo_rain_weak,named,test_seen_day_unseen_rx,74805,126000,59.36904761904762
U2,leo_rain_weak,named,test_rx_0,12558,18000,69.76666666666667
U2,leo_rain_weak,named,test_rx_2,7906,18000,43.922222222222224
U2,leo_rain_weak,named,test_rx_5,12888,18000,71.6
U2,leo_rain_weak,named,test_rx_7,7266,18000,40.36666666666667
U2,leo_rain_weak,named,test_rx_9,12791,18000,71.06111111111112
U2,leo_rain_weak,named,test_rx_10,10149,18000,56.38333333333333
U2,leo_rain_weak,named,test_rx_11,11247,18000,62.483333333333334
U2,leo_rain_weak,named,test_unseen_day_unseen_rx,23932,42000,56.98095238095238
U2,leo_rain_weak,named,test_unseen_day_rx_0,3396,6000,56.6
U2,leo_rain_weak,named,test_unseen_day_rx_2,2375,6000,39.583333333333336
U2,leo_rain_weak,named,test_unseen_day_rx_5,3579,6000,59.65
U2,leo_rain_weak,named,test_unseen_day_rx_7,3139,6000,52.31666666666667
U2,leo_rain_weak,named,test_unseen_day_rx_9,3704,6000,61.733333333333334
U2,leo_rain_weak,named,test_unseen_day_rx_10,4047,6000,67.45
U2,leo_rain_weak,named,test_unseen_day_rx_11,3692,6000,61.53333333333333
U2,leo_rain_weak,receiver_all_days,0,15954,24000,66.475
U2,leo_rain_weak,receiver_all_days,1,4194,6000,69.9
U2,leo_rain_weak,receiver_all_days,2,10281,24000,42.8375
U2,leo_rain_weak,receiver_all_days,3,4075,6000,67.91666666666667
U2,leo_rain_weak,receiver_all_days,4,5036,6000,83.93333333333334
U2,leo_rain_weak,receiver_all_days,5,16467,24000,68.6125
U2,leo_rain_weak,receiver_all_days,6,4809,6000,80.15
U2,leo_rain_weak,receiver_all_days,7,10405,24000,43.354166666666664
U2,leo_rain_weak,receiver_all_days,8,4359,6000,72.65
U2,leo_rain_weak,receiver_all_days,9,16495,24000,68.72916666666667
U2,leo_rain_weak,receiver_all_days,10,14196,24000,59.15
U2,leo_rain_weak,receiver_all_days,11,14939,24000,62.24583333333333
U2,leo_rain_weak,class,0,22941,33000,69.51818181818182
U2,leo_rain_weak,class,1,10482,33000,31.763636363636362
U2,leo_rain_weak,class,2,15626,33000,47.35151515151515
U2,leo_rain_weak,class,3,18476,33000,55.987878787878785
U2,leo_rain_weak,class,4,22476,33000,68.10909090909091
U2,leo_rain_weak,class,5,31209,33000,94.57272727272728
Ux,clean,aggregate,all,155176,198000,78.37171717171717
Ux,clean,named,test_unseen_day_seen_rx,28141,30000,93.80333333333333
Ux,clean,named,test_day_0,28141,30000,93.80333333333333
Ux,clean,named,test_seen_day_unseen_rx,95571,126000,75.85
Ux,clean,named,test_rx_0,14670,18000,81.5
Ux,clean,named,test_rx_2,10485,18000,58.25
Ux,clean,named,test_rx_5,15713,18000,87.29444444444445
Ux,clean,named,test_rx_7,11802,18000,65.56666666666666
Ux,clean,named,test_rx_9,14579,18000,80.99444444444444
Ux,clean,named,test_rx_10,14950,18000,83.05555555555556
Ux,clean,named,test_rx_11,13372,18000,74.28888888888889
Ux,clean,named,test_unseen_day_unseen_rx,31464,42000,74.91428571428571
Ux,clean,named,test_unseen_day_rx_0,4007,6000,66.78333333333333
Ux,clean,named,test_unseen_day_rx_2,3697,6000,61.61666666666667
