scope,n,pearson,spearman
all,8,0.9306771104396133,0.6428571428571429
without_D0,7,0.5691824805571459,0.4642857142857144
without_B1,7,0.9485782433053054,0.4642857142857144
without_D0_B1,6,0.43674913654698694,0.14285714285714288
leave_out_B0_FIXED,7,0.931073065629199,0.7500000000000002
leave_out_B1_TAIL_LR,7,0.9485782433053054,0.4642857142857144
leave_out_B2_RC4_WEIGHT,7,0.9361004753854385,0.7500000000000002
leave_out_D0_NO_ORBIT,7,0.5691824805571459,0.4642857142857144
leave_out_D1_THREE_VIEW,7,0.9558722076950011,0.8214285714285715
leave_out_D2_PHYSICAL_ORBIT,7,0.9417379998306747,0.4642857142857144
leave_out_D3_TANGENT,7,0.9342059914320466,0.6785714285714287
leave_out_F3_R3_SWAP,7,0.936213786448531,0.6785714285714287
source_clean_to_target_leo,8,-0.4499231293984185,-0.6107893935757621
same_class_across_methods_0,8,0.8910539361590948,0.9047619047619048
same_class_across_methods_1,8,0.9049629847595605,0.8571428571428572
same_class_across_methods_2,8,0.6450086582123442,0.4047619047619048
same_class_across_methods_3,8,0.23252448838830603,-0.11904761904761905
same_class_across_methods_4,8,0.93117685539957,0.5476190476190477
same_class_across_methods_5,8,0.29606194335092567,0.02395252523826518
scene_leo_clear_weak,8,0.8896217740105403,0.4523809523809524
scene_leo_low_elev_weak,8,0.9245762646274477,0.6347419188140273
scene_leo_rain_weak,8,0.9511596430709107,0.7185757571479554
