method,epoch,source_clean,source_leo,target_leo,target_class0,target_class1,target_class2,target_class3,target_class4,target_class5
B1_TAIL_LR,110,98.50740740740741,91.82222222222224,66.88095238095238,68.97500000000001,32.60595238095238,60.50119047619048,60.083333333333336,93.53095238095239,85.58928571428572
B1_TAIL_LR,120,98.45185185185186,92.65555555555557,64.49503968253968,65.9392857142857,32.003571428571426,52.21785714285715,62.392857142857146,95.82976190476192,78.58690476190476
B1_TAIL_LR,130,98.46666666666667,93.33456790123456,67.65813492063492,71.22857142857141,36.417857142857144,56.74761904761905,59.24642857142857,94.96428571428571,87.34404761904761
B1_TAIL_LR,140,98.44444444444444,93.47037037037039,66.93472222222222,70.2440476190476,36.613095238095234,57.65238095238095,59.139285714285705,96.1952380952381,81.76428571428572
B1_TAIL_LR,150,98.47407407407407,94.11604938271604,69.35019841269842,73.55119047619047,36.14047619047619,63.35595238095238,59.054761904761904,97.04166666666667,86.95714285714286
B1_TAIL_LR,160,98.52222222222223,94.320987654321,68.31269841269842,70.98095238095237,33.46309523809524,58.98928571428572,62.50952380952381,96.18333333333334,87.75
B1_TAIL_LR,170,98.5111111111111,94.38148148148149,69.20257936507936,78.27976190476191,36.84761904761905,60.2452380952381,57.42619047619047,97.02380952380952,85.39285714285715
B1_TAIL_LR,180,98.53333333333333,94.50864197530863,68.86944444444445,75.22261904761905,35.41547619047619,61.161904761904765,59.708333333333336,96.90833333333335,84.8
B1_TAIL_LR,190,98.52962962962962,94.71728395061729,69.31190476190476,77.54761904761905,35.44285714285714,61.38095238095238,59.201190476190476,96.86190476190477,85.43690476190477
B1_TAIL_LR,200,98.5037037037037,94.65185185185186,68.49742063492063,74.36190476190477,38.11666666666667,57.75,58.52023809523809,96.97857142857141,85.25714285714287
B2_RC4_WEIGHT,80,98.38518518518518,84.89506172839505,60.6718253968254,40.47380952380953,25.198809523809526,54.50952380952381,66.02619047619048,88.21785714285716,89.6047619047619
B2_RC4_WEIGHT,90,98.4074074074074,88.85802469135803,65.20992063492064,68.47500000000001,30.45,55.422619047619044,57.44761904761904,89.98333333333333,89.48095238095237
B2_RC4_WEIGHT,100,98.41851851851852,88.0283950617284,62.65992063492064,40.13571428571428,32.60476190476191,62.22738095238096,64.0904761904762,91.70714285714287,85.19404761904762
B2_RC4_WEIGHT,110,98.42592592592592,91.0851851851852,66.20734126984128,71.01071428571429,28.989285714285717,57.15119047619047,60.06666666666666,92.96071428571429,87.06547619047619
B2_RC4_WEIGHT,120,98.51851851851852,91.79382716049383,64.15555555555555,66.26785714285715,30.366666666666664,51.86904761904762,62.469047619047615,92.65833333333332,81.30238095238094
B2_RC4_WEIGHT,130,98.44074074074074,91.8851851851852,65.85138888888889,62.61428571428572,33.844047619047615,57.72976190476191,60.90833333333333,93.5702380952381,86.44166666666666
B2_RC4_WEIGHT,140,98.5037037037037,92.57530864197531,66.31944444444444,69.18809523809523,32.54642857142857,58.0952380952381,60.99285714285714,93.18809523809523,83.90595238095239
B2_RC4_WEIGHT,150,98.5111111111111,92.7925925925926,67.45238095238095,67.79761904761905,30.85833333333333,63.52857142857143,62.44166666666667,94.70952380952382,85.37857142857143
B2_RC4_WEIGHT,160,98.4888888888889,93.15555555555557,67.60357142857144,69.60952380952381,31.960714285714285,63.38690476190476,61.76428571428571,94.28333333333335,84.61666666666666
B2_RC4_WEIGHT,170,98.5111111111111,93.14074074074074,67.4888888888889,72.01785714285715,33.79047619047619,61.39761904761904,60.02857142857143,94.24642857142858,83.45238095238095
B2_RC4_WEIGHT,180,98.5,93.10864197530866,67.26150793650794,70.01190476190476,33.40714285714285,61.47261904761905,60.81666666666666,94.10476190476192,83.75595238095238
B2_RC4_WEIGHT,190,98.5111111111111,93.17654320987656,67.51488095238095,72.35952380952381,33.26785714285714,61.11904761904762,60.1,94.41190476190478,83.83095238095238
B2_RC4_WEIGHT,200,98.50740740740741,93.2493827160494,67.88373015873015,73.80714285714286,33.22380952380953,61.94761904761905,59.675000000000004,94.33214285714286,84.31666666666668
D0_NO_ORBIT,80,98.32962962962964,77.69012345679012,54.6656746031746,38.62619047619047,31.634523809523802,56.11190476190476,49.04404761904761,63.66785714285714,88.90952380952382
D0_NO_ORBIT,90,98.33703703703704,82.8888888888889,55.8234126984127,52.28928571428571,28.302380952380954,48.725,57.96428571428572,65.47380952380952,82.1857142857143
D0_NO_ORBIT,100,98.28888888888889,85.8172839506173,61.44880952380953,65.26190476190476,29.00357142857143,54.3702380952381,55.089285714285715,75.55119047619048,89.41666666666667
D0_NO_ORBIT,110,98.50740740740741,87.5432098765432,63.62757936507936,65.03809523809524,30.09285714285714,60.410714285714285,54.76904761904762,83.07619047619048,88.37857142857143
D0_NO_ORBIT,120,98.6037037037037,87.87407407407407,61.79345238095238,49.88452380952381,31.451190476190476,62.71190476190477,59.64404761904762,83.35238095238095,83.71666666666665
D0_NO_ORBIT,130,98.52592592592593,88.66296296296296,62.82857142857143,67.50952380952381,36.40595238095238,49.99166666666667,52.49761904761905,85.32380952380953,85.24285714285715
D0_NO_ORBIT,140,98.45185185185186,89.24197530864198,62.000793650793646,59.81071428571428,30.89047619047619,51.39404761904762,58.37380952380952,89.21666666666665,82.31904761904761
D0_NO_ORBIT,150,98.55925925925926,90.17654320987653,65.03809523809524,67.70119047619046,30.860714285714284,63.57619047619047,58.41547619047619,85.80714285714286,83.86785714285713
D0_NO_ORBIT,160,98.52592592592593,90.34074074074074,64.77896825396824,71.76785714285714,30.722619047619048,59.44880952380953,56.0797619047619,88.77380952380952,81.88095238095238
D0_NO_ORBIT,170,98.5111111111111,90.30123456790123,63.336507936507935,60.495238095238086,31.139285714285716,55.713095238095235,60.75595238095238,87.97619047619048,83.93928571428573
D0_NO_ORBIT,180,98.55185185185185,90.46172839506174,63.93234126984127,66.36428571428571,29.7,57.305952380952384,59.667857142857144,87.8702380952381,82.68571428571428
D0_NO_ORBIT,190,98.54444444444445,90.48518518518519,63.969246031746025,65.32261904761906,31.740476190476187,55.79761904761904,58.69166666666666,88.23452380952381,84.02857142857142
D0_NO_ORBIT,200,98.54444444444445,90.48765432098766,63.717261904761905,64.61666666666666,30.944047619047613,55.78333333333333,59.410714285714285,88.6047619047619,82.94404761904762
D1_THREE_VIEW,80,98.46666666666667,84.28024691358024,60.5968253968254,40.56428571428572,24.885714285714283,55.83452380952381,64.92738095238094,86.5547619047619,90.81428571428573
D1_THREE_VIEW,90,98.37777777777778,87.68024691358026,64.77440476190476,59.535714285714285,33.31190476190476,56.745238095238086,57.094047619047615,90.39166666666667,91.56785714285714
D1_THREE_VIEW,100,98.37407407407407,89.45061728395062,65.53353174603176,53.30714285714286,32.28333333333333,63.68214285714285,63.14642857142857,90.73095238095237,90.05119047619047
D1_THREE_VIEW,110,98.44074074074074,91.24197530864198,66.79623015873017,71.33809523809525,31.098809523809525,60.73571428571429,58.96547619047619,92.23690476190477,86.40238095238095
D1_THREE_VIEW,120,98.48518518518519,91.65802469135802,65.10992063492063,66.62261904761904,32.91904761904762,55.84047619047619,60.34285714285715,92.30119047619048,82.63333333333333
D1_THREE_VIEW,130,98.41851851851852,92.01604938271605,66.64722222222223,72.27499999999999,32.44880952380952,57.01190476190476,58.679761904761904,93.86428571428571,85.60357142857144
D1_THREE_VIEW,140,98.48148148148148,92.67777777777776,67.62777777777778,74.28690476190478,33.75119047619048,60.72380952380953,58.580952380952375,93.47023809523809,84.95357142857142
D1_THREE_VIEW,150,98.44074074074074,92.8395061728395,67.21507936507936,72.10238095238095,33.98571428571429,59.67857142857142,58.93809523809524,95.20119047619049,83.3845238095238
D1_THREE_VIEW,160,98.53333333333333,92.96666666666665,67.96428571428571,70.07380952380953,30.064285714285717,63.26309523809524,62.4154761904762,94.3047619047619,87.66428571428571
D1_THREE_VIEW,170,98.47037037037038,93.13827160493827,67.84603174603176,73.86785714285715,33.03452380952381,60.71547619047619,59.580952380952375,94.86428571428571,85.01309523809523
D1_THREE_VIEW,180,98.4962962962963,93.14567901234568,68.14047619047619,73.34523809523809,32.38690476190476,62.76309523809525,60.13095238095238,94.67738095238094,85.53928571428571
D1_THREE_VIEW,190,98.49259259259259,93.21111111111111,67.97400793650793,74.61666666666667,32.766666666666666,60.569047619047616,59.570238095238096,94.7547619047619,85.56666666666668
D1_THREE_VIEW,200,98.49259259259259,93.23086419753086,68.30337301587302,75.30714285714286,32.701190476190476,61.976190476190474,59.24880952380952,94.83809523809525,85.74880952380953
D2_PHYSICAL_ORBIT,80,98.45555555555555,84.20617283950617,60.25535714285714,40.102380952380955,27.607142857142858,54.48928571428572,64.2845238095238,87.93333333333332,87.1154761904762
D2_PHYSICAL_ORBIT,90,98.47037037037038,88.01234567901236,63.94900793650794,68.66904761904762,25.458333333333332,52.77142857142857,57.699999999999996,91.73095238095239,87.36428571428571
D2_PHYSICAL_ORBIT,100,98.44444444444444,88.60493827160492,61.898809523809526,46.419047619047625,30.91904761904762,53.86190476190476,64.26428571428572,91.3047619047619,84.62380952380953
D2_PHYSICAL_ORBIT,110,98.4962962962963,91.03703703703702,65.5045634920635,67.24047619047619,32.107142857142854,59.91071428571428,59.86785714285714,91.63690476190477,82.26428571428572
D2_PHYSICAL_ORBIT,120,98.4962962962963,91.1530864197531,63.268650793650785,54.68928571428572,28.985714285714284,57.175000000000004,65.47619047619047,92.38095238095237,80.90476190476191
D2_PHYSICAL_ORBIT,130,98.47777777777777,91.85061728395063,64.9654761904762,64.88214285714285,33.90952380952381,55.788095238095245,60.129761904761914,92.65119047619048,82.43214285714286
D2_PHYSICAL_ORBIT,140,98.48518518518519,92.53333333333335,65.91250000000001,68.20833333333333,34.680952380952384,57.86904761904762,59.929761904761904,92.89999999999999,81.88690476190476
D2_PHYSICAL_ORBIT,150,98.48148148148148,92.31604938271606,65.28313492063492,61.55714285714286,33.96071428571428,58.917857142857144,61.115476190476194,94.75952380952383,81.38809523809523
D2_PHYSICAL_ORBIT,160,98.53703703703704,93.10864197530866,66.94920634920635,68.92261904761905,32.003571428571426,61.44880952380952,62.041666666666664,93.4904761904762,83.78809523809524
D2_PHYSICAL_ORBIT,170,98.5111111111111,93.08888888888889,66.51031746031747,71.01666666666667,34.33452380952381,58.416666666666664,59.72738095238095,94.21785714285716,81.34880952380952
D2_PHYSICAL_ORBIT,180,98.51481481481481,93.09999999999998,66.52956349206349,68.93214285714286,35.142857142857146,59.173809523809524,59.87619047619048,93.92142857142858,82.13095238095238
D2_PHYSICAL_ORBIT,190,98.51481481481481,93.10000000000001,66.36944444444445,69.17619047619047,34.19166666666667,58.67738095238096,60.31666666666667,94.26547619047619,81.58928571428571
D2_PHYSICAL_ORBIT,200,98.50740740740741,93.15679012345679,66.75337301587302,70.60595238095239,34.23809523809524,59.85476190476191,59.832142857142856,94.24761904761904,81.74166666666667
D3_TANGENT,80,98.36666666666666,84.95432098765433,57.79821428571429,40.95357142857143,27.34404761904762,46.00119047619048,67.96309523809522,84.10238095238095,80.425
D3_TANGENT,90,98.42592592592592,87.89135802469134,64.37162698412698,54.770238095238106,37.39404761904762,60.050000000000004,59.37380952380952,91.05952380952381,83.58214285714287
D3_TANGENT,100,98.47037037037038,89.88765432098766,66.78472222222223,62.86666666666667,38.224999999999994,60.919047619047625,58.01547619047619,92.57142857142857,88.11071428571428
D3_TANGENT,110,98.45555555555555,91.19753086419753,67.1468253968254,70.14285714285715,34.69761904761905,61.23690476190476,58.93809523809524,93.86904761904763,83.99642857142858
D3_TANGENT,120,98.37407407407407,91.6962962962963,67.11746031746031,76.46309523809522,38.34642857142857,52.72380952380953,55.319047619047616,95.10714285714285,84.7452380952381
D3_TANGENT,130,98.42592592592592,92.21851851851852,66.59305555555557,68.31309523809524,35.01190476190476,56.30833333333334,60.87738095238095,94.54880952380951,84.49880952380953
D3_TANGENT,140,98.5037037037037,92.65185185185186,65.6952380952381,67.17619047619047,31.598809523809518,53.68214285714286,63.741666666666674,95.45,82.52261904761906
D3_TANGENT,150,98.42592592592592,92.96666666666665,67.94742063492062,70.1595238095238,35.31428571428572,61.30238095238095,61.01428571428571,96.35238095238095,83.54166666666667
D3_TANGENT,160,98.52962962962962,93.10987654320986,67.83452380952379,68.77499999999999,36.319047619047616,61.40952380952381,60.767857142857146,95.78214285714286,83.95357142857144
D3_TANGENT,170,98.46666666666667,93.2074074074074,68.10992063492064,72.20833333333333,37.246428571428574,59.366666666666674,59.47380952380953,96.05952380952381,84.3047619047619
D3_TANGENT,180,98.45555555555555,93.19259259259259,67.85992063492064,69.40714285714286,35.923809523809524,61.02261904761905,60.804761904761904,96.1892857142857,83.81190476190476
D3_TANGENT,190,98.48518518518519,93.32716049382715,67.62757936507937,71.85595238095237,35.51904761904762,58.69285714285714,60.45952380952381,96.13690476190476,83.10119047619048
D3_TANGENT,200,98.47037037037038,93.31481481481482,67.90892857142858,72.16904761904762,35.923809523809524,58.98571428571429,60.232142857142854,96.20119047619046,83.94166666666666
F3_R3_SWAP,80,98.58888888888889,85.85432098765432,59.3015873015873,42.96666666666667,29.425,50.57261904761905,65.19285714285715,85.61190476190477,82.04047619047618
F3_R3_SWAP,90,98.42222222222222,87.54444444444444,60.9765873015873,41.40952380952381,38.88809523809524,48.14523809523809,62.07380952380953,89.02142857142856,86.32142857142857
F3_R3_SWAP,100,98.51851851851852,90.04197530864197,64.43948412698414,55.22857142857143,22.269047619047615,66.7297619047619,69.25833333333334,90.85714285714285,82.29404761904762
F3_R3_SWAP,110,98.44444444444444,91.0962962962963,67.19305555555555,68.1595238095238,37.26190476190476,62.34047619047619,57.25119047619048,91.72380952380952,86.42142857142858
F3_R3_SWAP,120,98.56666666666666,91.7506172839506,64.98551587301587,62.48928571428571,35.48809523809524,52.661904761904765,61.64166666666667,93.07619047619046,84.55595238095238
F3_R3_SWAP,130,98.5925925925926,92.49753086419753,65.69821428571429,66.32261904761906,34.95833333333333,52.214285714285715,61.74285714285714,93.10119047619048,85.85000000000001
F3_R3_SWAP,140,98.54444444444445,92.78765432098766,66.98452380952381,73.68214285714286,33.65119047619047,54.21547619047619,60.05357142857142,95.00357142857142,85.30119047619048
F3_R3_SWAP,150,98.57407407407408,92.95308641975309,65.95654761904761,65.26309523809523,31.392857142857142,57.72619047619048,64.00833333333333,94.80952380952381,82.53928571428573
F3_R3_SWAP,160,98.6037037037037,93.26913580246912,66.73511904761905,68.67857142857143,32.47738095238095,54.88690476190476,63.29642857142858,94.80714285714286,86.26428571428572
F3_R3_SWAP,170,98.5962962962963,93.29506172839505,67.29761904761904,68.89285714285712,33.33214285714286,58.291666666666664,62.701190476190476,94.57619047619046,85.99166666666667
F3_R3_SWAP,180,98.6037037037037,93.3888888888889,67.19027777777778,70.73809523809524,33.90119047619048,56.86071428571429,61.94047619047618,95.13333333333333,84.56785714285715
F3_R3_SWAP,190,98.5925925925926,93.31975308641977,67.25615079365079,69.63095238095237,33.03452380952381,57.47619047619048,62.615476190476194,95.01428571428572,85.76547619047619
F3_R3_SWAP,200,98.6037037037037,93.28148148148148,67.08968253968254,68.52619047619048,33.496428571428574,57.56428571428571,62.67142857142858,94.9654761904762,85.3142857142857
