class_index,source_delta,target_delta
0,2.2148148148148294,1.7630952380952465
1,2.829629629629622,4.047619047619051
2,-0.07407407407407618,-3.960714285714289
3,2.288888888888877,-1.960714285714289
4,0.25185185185186754,2.0761904761904617
5,0.15555555555556566,2.029761904761912
