method,class_index,scene,source_correct,source_total,source_accuracy,target_accuracy
B2_RC4_WEIGHT,4,leo_clear_weak,4439,4500,98.64444444444445,95.88214285714287
B2_RC4_WEIGHT,4,leo_low_elev_weak,4410,4500,98.0,93.66428571428571
B2_RC4_WEIGHT,4,leo_rain_weak,4404,4500,97.86666666666666,93.45
B2_RC4_WEIGHT,5,clean,4458,4500,99.06666666666666,95.74285714285715
B2_RC4_WEIGHT,5,leo_clear_weak,4456,4500,99.02222222222223,83.1
B2_RC4_WEIGHT,5,leo_low_elev_weak,4431,4500,98.46666666666667,84.61785714285715
B2_RC4_WEIGHT,5,leo_rain_weak,4451,4500,98.91111111111111,85.23214285714286
D0_NO_ORBIT,0,clean,4450,4500,98.88888888888889,92.42857142857143
D0_NO_ORBIT,0,leo_clear_weak,4003,4500,88.95555555555555,65.25357142857143
D0_NO_ORBIT,0,leo_low_elev_weak,3831,4500,85.13333333333334,63.87142857142857
D0_NO_ORBIT,0,leo_rain_weak,3754,4500,83.42222222222222,64.725
D0_NO_ORBIT,1,clean,4421,4500,98.24444444444444,44.80714285714286
D0_NO_ORBIT,1,leo_clear_weak,3919,4500,87.08888888888889,32.06428571428571
D0_NO_ORBIT,1,leo_low_elev_weak,3706,4500,82.35555555555555,30.22142857142857
D0_NO_ORBIT,1,leo_rain_weak,3711,4500,82.46666666666667,30.546428571428567
D0_NO_ORBIT,2,clean,4469,4500,99.31111111111112,75.60357142857143
D0_NO_ORBIT,2,leo_clear_weak,4407,4500,97.93333333333334,58.199999999999996
D0_NO_ORBIT,2,leo_low_elev_weak,4367,4500,97.04444444444445,54.40714285714285
D0_NO_ORBIT,2,leo_rain_weak,4368,4500,97.06666666666666,54.74285714285714
D0_NO_ORBIT,3,clean,4367,4500,97.04444444444445,69.38571428571429
D0_NO_ORBIT,3,leo_clear_weak,3757,4500,83.4888888888889,62.71785714285715
D0_NO_ORBIT,3,leo_low_elev_weak,3562,4500,79.15555555555555,58.510714285714286
D0_NO_ORBIT,3,leo_rain_weak,3514,4500,78.08888888888889,57.00357142857143
D0_NO_ORBIT,4,clean,4443,4500,98.73333333333333,99.74642857142857
D0_NO_ORBIT,4,leo_clear_weak,4403,4500,97.84444444444445,90.47142857142858
D0_NO_ORBIT,4,leo_low_elev_weak,4359,4500,96.86666666666666,87.89285714285714
D0_NO_ORBIT,4,leo_rain_weak,4354,4500,96.75555555555556,87.45
D0_NO_ORBIT,5,clean,4457,4500,99.04444444444445,84.89285714285715
D0_NO_ORBIT,5,leo_clear_weak,4441,4500,98.68888888888888,82.51428571428572
D0_NO_ORBIT,5,leo_low_elev_weak,4405,4500,97.88888888888889,82.75714285714287
D0_NO_ORBIT,5,leo_rain_weak,4432,4500,98.4888888888889,83.56071428571428
D1_THREE_VIEW,0,clean,4437,4500,98.6,92.45357142857142
D1_THREE_VIEW,0,leo_clear_weak,4195,4500,93.22222222222223,76.20357142857142
D1_THREE_VIEW,0,leo_low_elev_weak,4063,4500,90.28888888888889,74.43928571428572
D1_THREE_VIEW,0,leo_rain_weak,4053,4500,90.06666666666666,75.27857142857142
D1_THREE_VIEW,1,clean,4417,4500,98.15555555555555,46.00714285714286
D1_THREE_VIEW,1,leo_clear_weak,4069,4500,90.42222222222222,33.36071428571429
D1_THREE_VIEW,1,leo_low_elev_weak,3915,4500,87.0,32.1
D1_THREE_VIEW,1,leo_rain_weak,3931,4500,87.35555555555555,32.64285714285714
D1_THREE_VIEW,2,clean,4458,4500,99.06666666666666,73.38571428571429
D1_THREE_VIEW,2,leo_clear_weak,4426,4500,98.35555555555555,64.53571428571429
D1_THREE_VIEW,2,leo_low_elev_weak,4407,4500,97.93333333333334,60.71428571428571
D1_THREE_VIEW,2,leo_rain_weak,4407,4500,97.93333333333334,60.67857142857142
D1_THREE_VIEW,3,clean,4374,4500,97.2,67.00714285714285
D1_THREE_VIEW,3,leo_clear_weak,3942,4500,87.6,62.042857142857144
D1_THREE_VIEW,3,leo_low_elev_weak,3772,4500,83.82222222222222,58.61428571428572
D1_THREE_VIEW,3,leo_rain_weak,3757,4500,83.4888888888889,57.08928571428571
D1_THREE_VIEW,4,clean,4448,4500,98.84444444444445,99.65
D1_THREE_VIEW,4,leo_clear_weak,4433,4500,98.5111111111111,96.33571428571429
D1_THREE_VIEW,4,leo_low_elev_weak,4405,4500,97.88888888888889,94.10357142857143
D1_THREE_VIEW,4,leo_rain_weak,4402,4500,97.82222222222222,94.075
D1_THREE_VIEW,5,clean,4459,4500,99.08888888888889,96.05714285714285
D1_THREE_VIEW,5,leo_clear_weak,4456,4500,99.02222222222223,84.65357142857142
D1_THREE_VIEW,5,leo_low_elev_weak,4436,4500,98.57777777777778,85.96785714285714
D1_THREE_VIEW,5,leo_rain_weak,4449,4500,98.86666666666666,86.625
D2_PHYSICAL_ORBIT,0,clean,4431,4500,98.46666666666667,91.13214285714287
D2_PHYSICAL_ORBIT,0,leo_clear_weak,4163,4500,92.5111111111111,71.275
D2_PHYSICAL_ORBIT,0,leo_low_elev_weak,4031,4500,89.57777777777778,69.51785714285714
D2_PHYSICAL_ORBIT,0,leo_rain_weak,3978,4500,88.4,71.025
D2_PHYSICAL_ORBIT,1,clean,4418,4500,98.17777777777778,45.98571428571429
D2_PHYSICAL_ORBIT,1,leo_clear_weak,4110,4500,91.33333333333333,35.23571428571429
D2_PHYSICAL_ORBIT,1,leo_low_elev_weak,3964,4500,88.08888888888889,33.517857142857146
D2_PHYSICAL_ORBIT,1,leo_rain_weak,3962,4500,88.04444444444445,33.96071428571428
D2_PHYSICAL_ORBIT,2,clean,4462,4500,99.15555555555555,71.50357142857143
D2_PHYSICAL_ORBIT,2,leo_clear_weak,4431,4500,98.46666666666667,62.10714285714286
D2_PHYSICAL_ORBIT,2,leo_low_elev_weak,4409,4500,97.97777777777777,58.596428571428575
D2_PHYSICAL_ORBIT,2,leo_rain_weak,4411,4500,98.02222222222223,58.86071428571429
D2_PHYSICAL_ORBIT,3,clean,4370,4500,97.11111111111111,68.48928571428571
D2_PHYSICAL_ORBIT,3,leo_clear_weak,3918,4500,87.06666666666666,62.410714285714285
D2_PHYSICAL_ORBIT,3,leo_low_elev_weak,3734,4500,82.97777777777777,59.239285714285714
D2_PHYSICAL_ORBIT,3,leo_rain_weak,3719,4500,82.64444444444445,57.846428571428575
D2_PHYSICAL_ORBIT,4,clean,4456,4500,99.02222222222223,99.59642857142858
D2_PHYSICAL_ORBIT,4,leo_clear_weak,4441,4500,98.68888888888888,95.48928571428571
D2_PHYSICAL_ORBIT,4,leo_low_elev_weak,4427,4500,98.37777777777778,93.71071428571427
D2_PHYSICAL_ORBIT,4,leo_rain_weak,4413,4500,98.06666666666666,93.54285714285714
D2_PHYSICAL_ORBIT,5,clean,4460,4500,99.11111111111111,91.57499999999999
