method,first_sat_ce_epoch,first_daot_epoch,grad_skip_epochs,ecrs_successful_steps_max,lr,train_daot_teacher_view_count,train_loss_daot_total,train_daot_consensus_rate,train_rc4_effective_weighted_coverage,train_pseudo_truth_available,train_w_loss_sat_cls_labeled
B0_FIXED,80,21,18,0.0,1.0000000000000002e-06,2.0,0.8316594593159787,0.9372536599099099,0.15000000354405996,0.0,1.7146487640875585
B1_TAIL_LR,80,21,17,0.0,1e-05,2.0,0.8309735784659514,0.9514006193693694,0.15000000354405996,0.0,1.4193789024432484
B2_RC4_WEIGHT,80,21,19,0.0,1.0000000000000002e-06,2.0,0.8318017468796121,0.9374296171171171,0.15000000394679405,0.0,1.736600941117341
D0_NO_ORBIT,80,,37,0.0,1.0000000000000002e-06,0.0,0.0,,0.1500000040139164,0.0,2.1983975717495823
D1_THREE_VIEW,80,21,18,0.0,1.0000000000000002e-06,3.0,0.8310489171260113,0.8852055180180181,0.15000000434952812,0.0,1.7510773724842783
D2_PHYSICAL_ORBIT,80,21,20,0.0,1.0000000000000002e-06,3.0,0.8308740642156687,0.8821438626126126,0.1500000040139164,0.0,1.726834211557231
D3_TANGENT,80,21,20,0.0,1.0000000000000002e-06,3.0,0.8838666903006064,0.8803842905405406,0.15000000347693762,0.0,1.7535227570632421
F3_R3_SWAP,80,21,18,0.0,1.0000000000000002e-06,2.0,0.8556275394585755,0.9376759572072072,0.006695028304265023,0.0,1.691451498139482
