k,seed,epochs,hidden_dim,lr,weight_decay,dropout,valid_row,invalid_reason,support_count,query_count,old_acc,macro_old_acc,min_old_class_acc,train_acc,support_query_overlap_count,invalid_classes
5,1,160,64,0.01,0.0001,0,True,,30,9570,0.68578892,0.68578892,0.18181818,1.00000000,0,
5,7,160,64,0.01,0.0001,0,True,,30,9570,0.68631139,0.68631139,0.16865204,1.00000000,0,
5,42,160,64,0.01,0.0001,0,True,,30,9570,0.68568443,0.68568443,0.16739812,1.00000000,0,
10,1,160,64,0.01,0.0001,0,True,,60,9540,0.69475891,0.69475891,0.31698113,1.00000000,0,
10,7,160,64,0.01,0.0001,0,True,,60,9540,0.69696017,0.69696017,0.30503145,1.00000000,0,
10,42,160,64,0.01,0.0001,0,True,,60,9540,0.69622642,0.69622642,0.31572327,1.00000000,0,
