candidate_id	receiver	seed	new_class_count	k_shot	old_before	old_after	direct_old	delta_before_direct	delta_after_direct	seen_new	H_old_new	min_old_after	avg_forgetting	mean_views	coverage	rollback	verdict
effective8-v14-rx7-7-s713102-n10-k1	7-7	713102	10	1	0.788889	0.661111	0.813889	-0.025000	-0.152778	0.443333	0.530688	0.150000	0.127778	2.391667	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k10	7-7	713102	10	10	0.836111	0.680556	0.813889	0.022222	-0.133333	0.533333	0.597778	0.300000	0.155556	2.327083	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k20	7-7	713102	10	20	0.836111	0.697222	0.813889	0.022222	-0.116667	0.516667	0.593480	0.400000	0.138889	2.260417	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k5	7-7	713102	10	5	0.833333	0.686111	0.813889	0.019444	-0.127778	0.531667	0.598781	0.200000	0.147222	2.304167	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n20-k1	7-7	713102	20	1	0.788889	0.613889	0.813889	-0.025000	-0.200000	0.391667	0.478190	0.150000	0.175000	2.610256	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n20-k10	7-7	713102	20	10	0.836111	0.677778	0.813889	0.022222	-0.136111	0.550833	0.607399	0.300000	0.158333	2.411538	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n20-k20	7-7	713102	20	20	0.836111	0.697222	0.813889	0.022222	-0.116667	0.552500	0.616227	0.400000	0.138889	2.415385	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n20-k5	7-7	713102	20	5	0.833333	0.683333	0.813889	0.019444	-0.130556	0.545833	0.606296	0.200000	0.150000	2.389744	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n5-k1	7-7	713102	5	1	0.791667	0.688889	0.813889	-0.022222	-0.125000	0.536667	0.603278	0.150000	0.102778	2.103030	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n5-k10	7-7	713102	5	10	0.841667	0.705556	0.813889	0.027778	-0.108333	0.636667	0.667569	0.300000	0.136111	1.787879	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n5-k20	7-7	713102	5	20	0.836111	0.711111	0.813889	0.022222	-0.102778	0.643333	0.673881	0.400000	0.125000	1.775758	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n5-k5	7-7	713102	5	5	0.836111	0.700000	0.813889	0.022222	-0.113889	0.643333	0.668667	0.250000	0.136111	1.778788	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n10-k1	8-8	713105	10	1	0.900000	0.675000	0.786111	0.113889	-0.111111	0.498333	0.571944	0.100000	0.225000	2.225000	3/3	REQUIRED	PERFORMANCE_FAIL
