accuracy_ci95_high,accuracy_ci95_low,accuracy_max,accuracy_mean,accuracy_min,accuracy_n,accuracy_std,method,transmitter
0.6759950224018062,0.6344049775981938,1.0,0.6552,0.05,375,0.205456059811749,dadda_sda,14-10
0.665505754064552,0.6294275792687815,1.0,0.6474666666666667,0.15,375,0.17822725783874963,dadda_sda,14-7
0.8670190648092895,0.8343142685240439,1.0,0.8506666666666667,0.1,375,0.1615626675431921,dadda_sda,20-15
0.6621365891835893,0.6234634108164108,1.0,0.6428,0.05,375,0.19104665275636673,dadda_sda,20-19
0.9269551701430755,0.9021114965235911,1.0,0.9145333333333333,0.25,375,0.12272848748325997,dadda_sda,6-15
0.9181201885531739,0.8898798114468262,1.0,0.904,0.3,375,0.13950830385650806,dadda_sda,8-20
0.745240532950915,0.7038261337157515,1.0,0.7245333333333333,0.15,375,0.20458836547318013,mrior_sda,14-10
0.6937951983709286,0.653671468295738,1.0,0.6737333333333333,0.1,375,0.19821242138894796,mrior_sda,14-7
0.9148288605966082,0.888371139403392,1.0,0.9016000000000001,0.0,375,0.13070193056112986,mrior_sda,20-15
0.6803035924044891,0.6396964075955109,1.0,0.66,0.15,375,0.20060070217033127,mrior_sda,20-19
0.878971008439234,0.8420956582274325,1.0,0.8605333333333333,0.15,375,0.18216532813249214,mrior_sda,6-15
0.9391056368598452,0.9136943631401546,1.0,0.9263999999999999,0.3,375,0.1255324488804593,mrior_sda,8-20
0.5794900892235524,0.5311765774431143,1.0,0.5553333333333333,0.0,375,0.2386701868908577,protonet_cda,14-10
0.5840564266772849,0.5426102399893818,1.0,0.5633333333333334,0.0,375,0.2047453964362907,protonet_cda,14-7
0.7802164079771464,0.739516925356187,1.0,0.7598666666666667,0.0,375,0.2010566561099928,protonet_cda,20-15
0.6303615279823289,0.5757718053510044,1.0,0.6030666666666666,0.0,375,0.2696748553892882,protonet_cda,20-19
0.7951282863035976,0.7547383803630692,1.0,0.7749333333333334,0.15,375,0.1995273380899878,protonet_cda,6-15
0.8362455633011404,0.7949544366988598,1.0,0.8156000000000001,0.0,375,0.20397939499588602,protonet_cda,8-20
