before_accuracy,delta,k_shot,method,receiver,scenario,seed,target_old_accuracy
0.6916666626930237,-0.07499998807907104,1,dadda_sda,20-1,leo_clear_weak,713101,0.6166666746139526
0.7250000238418579,-0.07500004768371582,1,dadda_sda,20-1,leo_low_elev_weak,713101,0.6499999761581421
0.675000011920929,-0.008333325386047363,1,dadda_sda,20-1,leo_rain_weak,713101,0.6666666865348816
0.6916666626930237,0.016666650772094727,1,mrior_sda,20-1,leo_clear_weak,713101,0.7083333134651184
0.7250000238418579,-0.03333336114883423,1,mrior_sda,20-1,leo_low_elev_weak,713101,0.6916666626930237
0.675000011920929,-0.008333325386047363,1,mrior_sda,20-1,leo_rain_weak,713101,0.6666666865348816
0.6916666626930237,-0.008333325386047363,1,protonet_cda,20-1,leo_clear_weak,713101,0.6833333373069763
0.7250000238418579,-0.28333336114883423,1,protonet_cda,20-1,leo_low_elev_weak,713101,0.4416666626930237
0.675000011920929,-0.3083333373069763,1,protonet_cda,20-1,leo_rain_weak,713101,0.36666667461395264
0.6916666626930237,0.1499999761581421,10,dadda_sda,20-1,leo_clear_weak,713101,0.8416666388511658
0.7250000238418579,0.06666666269302368,10,dadda_sda,20-1,leo_low_elev_weak,713101,0.7916666865348816
0.675000011920929,0.09999996423721313,10,dadda_sda,20-1,leo_rain_weak,713101,0.7749999761581421
0.6916666626930237,0.2666666507720947,10,mrior_sda,20-1,leo_clear_weak,713101,0.9583333134651184
0.7250000238418579,0.16666662693023682,10,mrior_sda,20-1,leo_low_elev_weak,713101,0.8916666507720947
0.675000011920929,0.22499996423721313,10,mrior_sda,20-1,leo_rain_weak,713101,0.8999999761581421
0.6916666626930237,0.008333325386047363,10,protonet_cda,20-1,leo_clear_weak,713101,0.699999988079071
0.7250000238418579,-0.1416667103767395,10,protonet_cda,20-1,leo_low_elev_weak,713101,0.5833333134651184
0.675000011920929,0.02499997615814209,10,protonet_cda,20-1,leo_rain_weak,713101,0.699999988079071
0.6916666626930237,0.06666666269302368,2,dadda_sda,20-1,leo_clear_weak,713101,0.7583333253860474
0.7250000238418579,-0.10833334922790527,2,dadda_sda,20-1,leo_low_elev_weak,713101,0.6166666746139526
0.675000011920929,-0.05833333730697632,2,dadda_sda,20-1,leo_rain_weak,713101,0.6166666746139526
0.6916666626930237,0.13333332538604736,2,mrior_sda,20-1,leo_clear_weak,713101,0.824999988079071
0.7250000238418579,-0.03333336114883423,2,mrior_sda,20-1,leo_low_elev_weak,713101,0.6916666626930237
0.675000011920929,0.09166663885116577,2,mrior_sda,20-1,leo_rain_weak,713101,0.7666666507720947
0.6916666626930237,-0.02499997615814209,2,protonet_cda,20-1,leo_clear_weak,713101,0.6666666865348816
0.7250000238418579,-0.27500003576278687,2,protonet_cda,20-1,leo_low_elev_weak,713101,0.44999998807907104
0.675000011920929,-0.23333334922790527,2,protonet_cda,20-1,leo_rain_weak,713101,0.4416666626930237
0.6916666626930237,0.18333333730697632,20,dadda_sda,20-1,leo_clear_weak,713101,0.875
0.7250000238418579,0.1083332896232605,20,dadda_sda,20-1,leo_low_elev_weak,713101,0.8333333134651184
0.675000011920929,0.17500001192092896,20,dadda_sda,20-1,leo_rain_weak,713101,0.8500000238418579
0.6916666626930237,0.30000001192092896,20,mrior_sda,20-1,leo_clear_weak,713101,0.9916666746139526
0.7250000238418579,0.19999998807907104,20,mrior_sda,20-1,leo_low_elev_weak,713101,0.925000011920929
0.675000011920929,0.21666663885116577,20,mrior_sda,20-1,leo_rain_weak,713101,0.8916666507720947
0.6916666626930237,0.03333336114883423,20,protonet_cda,20-1,leo_clear_weak,713101,0.7250000238418579
0.7250000238418579,-0.03333336114883423,20,protonet_cda,20-1,leo_low_elev_weak,713101,0.6916666626930237
0.675000011920929,0.016666650772094727,20,protonet_cda,20-1,leo_rain_weak,713101,0.6916666626930237
0.6916666626930237,0.125,5,dadda_sda,20-1,leo_clear_weak,713101,0.8166666626930237
0.7250000238418579,0.008333325386047363,5,dadda_sda,20-1,leo_low_elev_weak,713101,0.7333333492279053
0.675000011920929,0.14166665077209473,5,dadda_sda,20-1,leo_rain_weak,713101,0.8166666626930237
0.6916666626930237,0.14166665077209473,5,mrior_sda,20-1,leo_clear_weak,713101,0.8333333134651184
0.7250000238418579,0.15833330154418945,5,mrior_sda,20-1,leo_low_elev_weak,713101,0.8833333253860474
0.675000011920929,0.125,5,mrior_sda,20-1,leo_rain_weak,713101,0.800000011920929
0.6916666626930237,-0.008333325386047363,5,protonet_cda,20-1,leo_clear_weak,713101,0.6833333373069763
0.7250000238418579,-0.03333336114883423,5,protonet_cda,20-1,leo_low_elev_weak,713101,0.6916666626930237
0.675000011920929,-0.06666666269302368,5,protonet_cda,20-1,leo_rain_weak,713101,0.6083333492279053
0.7083333134651184,-0.041666626930236816,1,dadda_sda,20-1,leo_clear_weak,713102,0.6666666865348816
0.6666666865348816,0.016666650772094727,1,dadda_sda,20-1,leo_low_elev_weak,713102,0.6833333373069763
0.675000011920929,-0.05833333730697632,1,dadda_sda,20-1,leo_rain_weak,713102,0.6166666746139526
0.7083333134651184,0.07500004768371582,1,mrior_sda,20-1,leo_clear_weak,713102,0.7833333611488342
0.6666666865348816,0.0,1,mrior_sda,20-1,leo_low_elev_weak,713102,0.6666666865348816
0.675000011920929,0.0,1,mrior_sda,20-1,leo_rain_weak,713102,0.675000011920929
0.7083333134651184,-0.2749999761581421,1,protonet_cda,20-1,leo_clear_weak,713102,0.4333333373069763
0.6666666865348816,-0.008333325386047363,1,protonet_cda,20-1,leo_low_elev_weak,713102,0.6583333611488342
0.675000011920929,-0.25833335518836975,1,protonet_cda,20-1,leo_rain_weak,713102,0.4166666567325592
0.7083333134651184,0.050000011920928955,10,dadda_sda,20-1,leo_clear_weak,713102,0.7583333253860474
0.6666666865348816,0.03333330154418945,10,dadda_sda,20-1,leo_low_elev_weak,713102,0.699999988079071
0.675000011920929,0.06666666269302368,10,dadda_sda,20-1,leo_rain_weak,713102,0.7416666746139526
0.7083333134651184,0.15000003576278687,10,mrior_sda,20-1,leo_clear_weak,713102,0.8583333492279053
0.6666666865348816,0.22499996423721313,10,mrior_sda,20-1,leo_low_elev_weak,713102,0.8916666507720947
0.675000011920929,0.21666663885116577,10,mrior_sda,20-1,leo_rain_weak,713102,0.8916666507720947
0.7083333134651184,0.06666666269302368,10,protonet_cda,20-1,leo_clear_weak,713102,0.7749999761581421
0.6666666865348816,-0.050000011920928955,10,protonet_cda,20-1,leo_low_elev_weak,713102,0.6166666746139526
0.675000011920929,-0.03333336114883423,10,protonet_cda,20-1,leo_rain_weak,713102,0.6416666507720947
0.7083333134651184,0.0,2,dadda_sda,20-1,leo_clear_weak,713102,0.7083333134651184
0.6666666865348816,0.008333325386047363,2,dadda_sda,20-1,leo_low_elev_weak,713102,0.675000011920929
0.675000011920929,0.041666626930236816,2,dadda_sda,20-1,leo_rain_weak,713102,0.7166666388511658
0.7083333134651184,-0.008333325386047363,2,mrior_sda,20-1,leo_clear_weak,713102,0.699999988079071
0.6666666865348816,0.04999995231628418,2,mrior_sda,20-1,leo_low_elev_weak,713102,0.7166666388511658
0.675000011920929,0.11666667461395264,2,mrior_sda,20-1,leo_rain_weak,713102,0.7916666865348816
0.7083333134651184,-0.041666626930236816,2,protonet_cda,20-1,leo_clear_weak,713102,0.6666666865348816
0.6666666865348816,-0.03333336114883423,2,protonet_cda,20-1,leo_low_elev_weak,713102,0.6333333253860474
0.675000011920929,-0.04166668653488159,2,protonet_cda,20-1,leo_rain_weak,713102,0.6333333253860474
0.7083333134651184,0.15000003576278687,20,dadda_sda,20-1,leo_clear_weak,713102,0.8583333492279053
0.6666666865348816,0.16666662693023682,20,dadda_sda,20-1,leo_low_elev_weak,713102,0.8333333134651184
0.675000011920929,0.13333332538604736,20,dadda_sda,20-1,leo_rain_weak,713102,0.8083333373069763
0.7083333134651184,0.20833337306976318,20,mrior_sda,20-1,leo_clear_weak,713102,0.9166666865348816
0.6666666865348816,0.2666666507720947,20,mrior_sda,20-1,leo_low_elev_weak,713102,0.9333333373069763
0.675000011920929,0.22499996423721313,20,mrior_sda,20-1,leo_rain_weak,713102,0.8999999761581421
0.7083333134651184,0.06666666269302368,20,protonet_cda,20-1,leo_clear_weak,713102,0.7749999761581421
