adaptation_latency_sec_ci95_high,adaptation_latency_sec_ci95_low,adaptation_latency_sec_max,adaptation_latency_sec_mean,adaptation_latency_sec_min,adaptation_latency_sec_n,adaptation_latency_sec_std,before_accuracy_ci95_high,before_accuracy_ci95_low,before_accuracy_max,before_accuracy_mean,before_accuracy_min,before_accuracy_n,before_accuracy_std,delta_ci95_high,delta_ci95_low,delta_max,delta_mean,delta_min,delta_n,delta_std,k_shot,losses,method,target_old_accuracy_ci95_high,target_old_accuracy_ci95_low,target_old_accuracy_max,target_old_accuracy_mean,target_old_accuracy_min,target_old_accuracy_n,target_old_accuracy_std,ties,wins
13.172637500079551,12.656618830276452,14.123812723749628,12.914628165178001,11.86480302689597,25,0.6581870788304832,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.01267107254673099,-0.03999560429246171,0.05555554231007894,-0.026333338419596352,-0.08333333333333333,25,0.03485271906343205,1,20,dadda_sda,0.7665354442680112,0.6850201050356792,0.899999996026357,0.7257777746518452,0.574999988079071,25,0.1039736469800154,0,5
13.235484190712866,12.737363690641525,13.92687317651386,12.986423940677195,12.00455530003334,25,0.6353577807032429,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.007586883692202881,-0.03130200784578133,0.04166668653488159,-0.019444445768992104,-0.0666666825612386,25,0.0302488828489521,2,19,dadda_sda,0.7731394139640714,0.6921939206408275,0.8944444457689921,0.7326666673024494,0.5611111124356588,25,0.1032468027082193,0,6
13.204735078638109,12.816940669528833,13.987712612841278,13.010837874083471,12.019465716710934,25,0.494635725904689,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.03088297858780114,-0.00021632050420331873,0.10277777910232544,0.01533332904179891,-0.06944445768992107,25,0.03966747333163834,5,10,dadda_sda,0.8049222625164841,0.7299666217099968,0.8972222208976746,0.7674444421132405,0.5777777632077535,25,0.09560668470215226,0,15
13.293706663844311,12.911122256383475,13.948440786451101,13.102414460113893,12.183224897676459,25,0.4879903156388212,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.05938062008463712,0.02350827240702142,0.11388889948527019,0.04144444624582927,-0.022222240765889485,25,0.045755545507162876,10,5,dadda_sda,0.8260626171222437,0.7610485015122982,0.9083333412806193,0.793555559317271,0.6305555701255798,25,0.08292616786982847,1,19
13.389208304289358,13.026312591678522,13.942433605125794,13.20776044798394,12.45712286916872,25,0.4628771844525951,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.09595373652445519,0.052046257435607486,0.16388889153798422,0.07399999698003133,0.0055555303891499834,25,0.056004437613326144,20,0,dadda_sda,0.8549306901033688,0.7972915299995772,0.9222222169240316,0.826111110051473,0.6666666666666666,25,0.0735193368670811,0,25
16.561529968335044,15.858001123886496,17.628596206506092,16.20976554611077,14.634895856647441,25,0.8973582199598844,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.03418983025046385,-0.07247683244255983,0.02500001589457194,-0.05333333134651184,-0.1888888676961263,25,0.04883546197971425,1,22,mrior_sda,0.7377313519540241,0.6598242114958355,0.8611111243565878,0.6987777817249298,0.5388888915379842,25,0.09937135262524048,0,3
17.45310170568031,16.335182744815924,20.7126324637793,16.894142225248117,14.151559700102856,25,1.4259170419188631,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.003323338427896715,-0.0333233431962683,0.07500000794728597,-0.015000002384185791,-0.09722222884496053,25,0.04674321635735333,2,17,mrior_sda,0.7706830454592132,0.7035391759152986,0.8499999841054281,0.7371111106872559,0.575000007947286,25,0.08564269074478895,1,7
17.15460091561113,16.210806887298485,19.120289425365627,16.682703901454808,14.29034967161715,25,1.2038189136640882,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.060754609773854426,0.01835649423768122,0.14166665077209473,0.039555552005767824,-0.061111112435658775,25,0.054079229000220934,5,6,mrior_sda,0.8210582614212791,0.7622750687331399,0.8888888955116272,0.7916666650772095,0.6277777949968973,25,0.07497856210221854,0,19
17.209335392147235,16.2224858167346,20.12476399121806,16.715910604440918,15.227839443987856,25,1.258736703332444,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.1214260854251638,0.0643516884319529,0.2305555542310079,0.09288888692855835,-0.05277778704961141,25,0.07279897575664655,10,3,mrior_sda,0.8720145415888926,0.8179854584111074,0.9361111124356588,0.845,0.6972222328186035,25,0.06891464691044037,0,22
17.36341855732086,16.42795579177655,19.78771376935765,16.895687174548705,14.695225451917699,25,1.1931923029901876,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,0.16217101797937364,0.09982898170273494,0.3027777870496114,0.1309999998410543,-0.0027777751286824546,25,0.07951790341407998,20,1,mrior_sda,0.9055347346474548,0.860687491177537,0.9555555582046509,0.8831111129124959,0.7611111203829447,25,0.05720311667081356,1,23
0.0235936538048981,0.02227559305296358,0.02786229954411586,0.02293462342893084,0.021292752120643854,25,0.0016811999386919863,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.13863753354031177,-0.17625135704399814,-0.05833331743876139,-0.15744444529215496,-0.25,25,0.04797681569347748,1,25,protonet_cda,0.6444348862129367,0.5448984493456367,0.8333333532015482,0.5946666677792867,0.4416666626930237,25,0.12695974090216838,0,0
0.03731912366087997,0.035065441029411906,0.045163700357079506,0.03619228234514594,0.03309329692274332,25,0.002874595193199057,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.07966153238105289,-0.11100514636548844,-0.019444445768992107,-0.09533333937327067,-0.17777778704961142,25,0.0399790994699433,2,25,protonet_cda,0.7059820991533823,0.6075734482429596,0.8527777791023254,0.6567777736981709,0.4611110985279083,25,0.12552123840615137,0,0
0.03752280759730908,0.03497503729741798,0.046781182599564396,0.03624892244736353,0.03338955653210481,25,0.0032497070151672265,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.03884998669504651,-0.05981668442210031,0.0027777552604675293,-0.04933333555857341,-0.125,25,0.026743236896752294,5,24,protonet_cda,0.7471525058885008,0.6584030491372356,0.8777777949968973,0.7027777775128682,0.5222222208976746,25,0.11320083769294047,0,1
0.037974060437236945,0.03471003549927998,0.05506335664540529,0.03634204796825846,0.03352008992806077,25,0.004163297114741027,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.030257582599173116,-0.05685353206172572,0.016666650772094727,-0.04355555733044942,-0.13055554032325745,25,0.03392340492672527,10,22,protonet_cda,0.7525219532360524,0.6645891582459321,0.875,0.7085555557409923,0.5166666805744171,25,0.11215917728331662,0,3
0.02910187153685174,0.016177985582072712,0.06495492315540712,0.022639928559462227,0.01120782426247994,25,0.016484548411707947,0.7928321133563534,0.7113901127865299,0.9111111164093018,0.7521111130714416,0.5972222288449606,25,0.10388010276763213,-0.009390527043951127,-0.03349837021607899,0.03888887166976929,-0.021444448630015055,-0.08611110846201579,25,0.0307497999644488,20,19,protonet_cda,0.7698344885734333,0.6914988403094199,0.8916666706403097,0.7306666644414266,0.5611111124356588,25,0.09991791870409873,0,6
