delta_ci95_high,delta_ci95_low,delta_max,delta_mean,delta_min,delta_n,delta_std,method,receiver,target_old_accuracy_ci95_high,target_old_accuracy_ci95_low,target_old_accuracy_max,target_old_accuracy_mean,target_old_accuracy_min,target_old_accuracy_n,target_old_accuracy_std
0.07403646943745834,0.015963532151998854,0.16388889153798422,0.045000000794728594,-0.05833331743876139,25,0.07407262408859627,dadda_sda,20-1,0.740602862967952,0.6760638036987145,0.8527777791023254,0.7083333333333333,0.5611111124356588,25,0.08232022865974147
0.03748327084157545,-0.003483271477358333,0.11944444974263509,0.01699999968210856,-0.06944445768992107,25,0.052253242753742074,dadda_sda,3-19,0.6640686331926842,0.6254869164288979,0.7527777751286825,0.644777774810791,0.574999988079071,25,0.04921137342319692
-0.0038653416760057336,-0.02013467040386894,0.024999996026357014,-0.012000006039937337,-0.05555556217829386,25,0.02075169480594797,dadda_sda,7-14,0.890423073789733,0.8733547035641895,0.9222222169240316,0.8818888886769612,0.8388888835906982,25,0.02177088038972368
0.0016257639536708494,-0.02540355084433654,0.05833331743876139,-0.011888893445332845,-0.08333333333333333,25,0.0344761668341931,dadda_sda,7-7,0.8324957019932807,0.8048376354726413,0.875,0.818666668732961,0.7472222248713175,25,0.03527814607224405
0.06819264980052367,0.02558512437448447,0.14722222089767456,0.04688888708750407,-0.06388888756434123,25,0.05434633345158062,dadda_sda,8-8,0.8134567693252456,0.7703210064392197,0.8861111203829447,0.7918888878822327,0.6805555621782938,25,0.05502010572197179
0.15442290214239993,0.07691043150882484,0.3027777870496114,0.11566666682561239,-0.04444444179534912,25,0.09886794723670292,mrior_sda,20-1,0.8203826480308309,0.7376173506976031,0.9361111124356588,0.778999999364217,0.5583333373069763,25,0.10556798129238225
0.07280214363084195,0.004975640239855063,0.16944446166356406,0.03888889193534851,-0.10555555423100789,25,0.08651339718238124,mrior_sda,3-19,0.7003225527038973,0.6330107814241644,0.7944444417953491,0.6666666670640309,0.5388888915379842,25,0.08585685112210821
-0.020384929002845702,-0.05183730222630062,0.027777791023254395,-0.03611111561457316,-0.12777777512868246,25,0.04011782298910067,mrior_sda,7-14,0.8726614757052145,0.8428940824994364,0.9166666865348816,0.8577777791023254,0.7833333412806193,25,0.03796861378288002
0.042197988604985484,-0.017753557935836724,0.11388885974884033,0.01222221533457438,-0.1888888676961263,25,0.07646880936329363,mrior_sda,7-7,0.8726280330871223,0.8129275219386141,0.9555555582046509,0.8427777775128682,0.6777777870496114,25,0.0761486111588117
0.09143337114878947,0.037455521978651936,0.16944444179534912,0.0644444465637207,-0.03611109654108683,25,0.0688492974108897,mrior_sda,8-8,0.836635798400855,0.7822530963160435,0.9111111164093018,0.8094444473584492,0.7055555582046509,25,0.06936569143470864
-0.03928350600432389,-0.0951609413541254,0.03888887166976929,-0.06722222367922465,-0.22499999403953552,25,0.07127223896658355,protonet_cda,20-1,0.626129702136126,0.5660925155826343,0.7138888835906982,0.5961111088593801,0.44166667262713116,25,0.07657804407333113
-0.07469920233230204,-0.11530079210459779,-0.02222222089767456,-0.09499999721844991,-0.18888888756434122,25,0.05178774205649969,protonet_cda,3-19,0.553296424748549,0.512259131071916,0.6222222248713175,0.5327777779102325,0.4416666626930237,25,0.05234348683244012
-0.039927026647702785,-0.06673964955570703,-0.019444445768992107,-0.05333333810170491,-0.18055556217829385,25,0.03419977411735237,protonet_cda,7-14,0.8539655532390624,0.8271455599913249,0.8916666706403097,0.8405555566151937,0.7305555542310079,25,0.034209175060889704
-0.07075636994249979,-0.11479920256726583,-0.02500001589457194,-0.09277778625488281,-0.25,25,0.05617708242954854,protonet_cda,7-7,0.7628123562852025,0.7127431955616197,0.8222222328186035,0.7377777759234111,0.5916666587193807,25,0.06386372541273316
-0.030327966547755845,-0.0872275953126466,0.030555566151936848,-0.058777780930201216,-0.2277777890364329,25,0.07257605709807492,protonet_cda,8-8,0.7148465389165974,0.6575979008124575,0.7638888955116272,0.6862222198645275,0.5249999860922495,25,0.07302122207160693
